评论,时间,点赞数,标签
这种视频就应该点赞收藏投币三连,2023-01-15 07:29:02,0,0
缓存了为啥只有五十集,2023-01-11 13:49:39,1,0
额没学过c语音直接学的c++你为啥不学学黑马,2023-01-11 09:56:06,0,0
兄弟们，如果学精通了能不能黑了其他人系统[doge],2022-12-25 12:49:52,1,0
OIer前来报到～[星星眼],2022-12-23 09:56:19,2,0
讲的很好，棒棒的,2022-12-19 13:42:43,1,0
为什么只有五十集,2022-12-14 11:01:40,0,0
这讲的还不错，有点c基础的学起来不费劲，我估计看完也能入个门了,2022-12-11 01:00:38,2,0
好棒，终于找到一个c到c++的课了,2022-12-04 11:17:04,1,0
计算机太卷了，难顶住哦，不要入这个行业了兄弟们,2022-11-28 14:18:46,2,0
就是找不到课本还嘴硬，感情我们记得是是人的恰好都留了课本，连六七十年代的课本都留了，觉得是斯人的都没留,2022-11-15 11:15:08,0,0
这个行业太难了，人才难得,2022-11-14 21:43:30,0,0
好,2022-11-13 04:17:36,0,0
这老师挺幽默啊,2022-11-11 07:51:17,2,0
比起Python那边人好少啊，无论如何感谢Up主的教授与分享,2022-11-10 03:44:42,3,0
老师讲话好好玩啊，感觉不困哈哈哈[呲牙],2022-11-07 17:11:55,1,0
[星星眼],2022-11-07 08:57:09,1,0
来了,2022-11-07 08:57:03,0,0
你是怎么知道的，神奇了，我趴着看，左脚放在右脚上[微笑],2022-10-30 13:02:13,0,0
这么热乎,2022-10-23 09:18:04,0,0
什么问题吗，大一第一学期直接就学的c++，网络空间安全专业的[跪了],2023-01-19 13:47:37,0,0
回复 @极岩PR :我的意思是他c语音和c++是连着的不是0基础,2023-01-19 14:29:06,0,0
那是学渗透的干的[doge],2022-12-26 07:46:59,1,0
感谢授之以渔之人，如有后续必当涌泉相报。,2022-10-30 11:02:22,0,0
up这是全部视频教程还是只是部分,2022-12-07 04:05:08,1,0
回复 @我是小布呀_ : 置顶评论获取全套教程哦,2022-12-07 05:28:44,0,0
感谢授之以渔之人，如有后续必当涌泉相报。,2022-10-30 11:02:22,0,0
up这是全部视频教程还是只是部分,2022-12-07 04:05:08,1,0
回复 @我是小布呀_ : 置顶评论获取全套教程哦,2022-12-07 05:28:44,0,0
