评论,时间,点赞数,标签
P3这，按着按着，按F11直接弹出调试窗口了[微笑],2021-04-23 13:01:59,3,0
三连支持，冲冲冲[给心心][给心心],2021-04-06 03:13:35,3,0
单链表那一块，分配内存的时候malloc的参数应该就是sizeof（struct Node）而不是sizeof（struct Node*）吧，因为分配出来的内存是用来储存结构体本身而不是那个指针的，返回的只是这个区域的首地址,2022-02-12 08:49:57,3,0
我的运行一直是烫烫烫烫烫什么情况,2022-01-07 05:02:54,2,0
如果能过就回来投币还愿[狗子],2021-12-22 00:12:37,2,0
老师你多久更新一节,2021-10-04 08:17:05,2,0
我想问一下，再学c语言之前，需要先学什么吗,2021-08-05 13:03:32,2,0
有点像rua的声音是怎么回事[疑惑],2021-07-24 02:34:47,2,0
"好难啊,头大",2021-07-19 05:38:34,2,0
强基计划被信息与计算科学系录取了，假期里提前学学这个合适嘛,2021-07-06 08:57:05,2,0
为什么无法下载vs2019,2021-06-13 13:12:44,2,0
等待更新- -,2021-04-23 06:47:00,2,0
想看更多 哭哭,2021-04-12 03:58:33,2,0
老师讲课深入浅出，知识点讲解细致入微 理论和实践结合,2021-04-30 03:55:00,3,0
//2/10\nP52,2022-02-10 08:26:35,3,0
现学，写论文😭,2022-01-10 08:11:25,1,0
老弟啊  你这种行为 和考试没带笔 ，，没啥区别啊。,2022-01-04 07:56:57,1,0
大学大学，大不了自学[微笑],2022-03-13 08:32:45,5,0
数组溢出了,2022-02-25 08:49:23,0,0
不用了，c是最基础的,2021-08-17 12:06:52,0,0
回复 @会解梦的弗洛伊德 :汇编,2022-05-17 14:26:57,0,0
是doctor没错了,2021-07-26 08:16:09,0,0
学到现在就会个hello [热词系列_锤],2021-07-19 05:39:42,1,0
好晕啊,2021-07-26 09:57:28,0,0
回复 @请叫我奥特曼之父 :你们都为啥学这个啊？大学学的是C语言？？？？我是想开发外挂才想学的，现在我想放弃了,2021-08-23 03:50:12,3,0
这不是个数学专业吗？,2021-07-22 16:10:50,0,0
回复 @叶栢 :是嘞，但是通知书上说我是信息科学学院的人，可能也要学吧,2021-07-23 03:24:21,0,0
看打开安装程序报错什么，不懂的话查查单词，他一开始给我的报错require NET Framework然后我去下载了个NET Framework插件就好了。,2021-06-13 14:50:27,0,0
回复 @conner-康啦啦啦 :为什么😳42g姐姐,2021-07-14 15:39:09,0,0
啥意思,2022-01-21 12:03:45,0,0
搜索不到 隔断时间再搜索 多搜索几次,2022-11-10 05:05:17,6,0
搜索不到 隔断时间再搜索 多搜索几次,2022-11-10 05:05:17,6,0
