评论,时间,点赞数,标签
讲的太好了  赞👍,2022-11-26 13:17:21,1,0
请问苹果里面安装了Windows系统，但是不知道怎么给Windows分区，安装起来都是一个盘子里面，该怎么处理？,2022-11-21 06:56:28,1,0
[歪嘴],2022-11-19 12:35:21,2,0
已购买，希望后续新增python，c++，java等课程[呲牙],2022-11-15 09:25:01,1,0
C++的话可以按这种思路吗,2022-11-14 16:21:58,1,0
用的2022版本的，创建新项目之后没有控制台选项怎么办,2022-11-13 04:35:12,1,0
相比那种录屏视频显然这种更加让人有学习下去的欲望,2022-11-12 07:09:47,2,0
这个课程真的很不错，讲的很清楚很清晰，没有废话！！！强烈推荐和支持！！,2022-11-12 06:59:16,5,0
对于专升本的同学 会有题目刷吗？,2022-11-12 02:05:56,2,0
什么时候出python,2022-11-09 15:29:34,2,0
你这视频制作的技术也够nb了,2022-11-09 05:02:50,1,0
这样看，感觉C语言很好理解,2022-11-08 12:43:16,3,0
你这套C语言视频讲得真好，连我这种反应慢的人都能理解，读懂，多谢(o^^o),2022-11-08 11:35:49,2,0
感谢大佬讲解,2022-11-11 06:30:17,2,0
谢谢你,2022-11-21 11:54:47,1,0
针不戳，卷c语言针不戳[脱单doge],2022-12-15 13:52:28,1,0
求出qt教程[星星眼],2022-11-19 01:40:51,1,0
疫情在家，老师把我们放弃了，书不给不开播，自学第一天，杨建增你看见就抓紧学马上期末了，顺手去我主页给我点个赞[脱单doge],2022-11-21 06:23:40,2,0
我的页面怎么跟这个不一样的？[大哭],2022-11-18 16:54:27,1,0
学过c#的表示简直一模一样，不过我们用的Dev[微笑],2023-02-15 15:09:03,0,0
求分享[微笑],2023-03-02 08:03:47,0,0
回复 @超级C语言 : 先出个java和py的吧，求你辣,2022-11-18 04:55:47,0,0
好的，之后会陆续出的,2022-11-15 11:30:26,0,0
之后会出C++的课程哦,2022-11-15 00:40:38,1,0
回复 @超级C语言 :[星星眼],2022-11-22 16:28:48,0,0
我知道了，安装时少了c++的程序,2022-11-13 05:30:10,0,0
说明安装不太对,2022-11-13 05:09:37,0,0
b站最强，不开玩笑,2022-11-13 00:44:06,2,0
回复 @超级C语言 :有没有选择题之类的,2022-11-12 10:43:30,0,0
有的,2022-11-12 05:23:20,0,0
努力努力再努力,2022-11-09 15:34:41,0,0
哈哈哈哈哈，谢谢,2022-11-09 05:58:58,0,0
我们的课程的确简单易懂哦,2022-11-08 13:14:15,0,0
必须的，这类的课程，真的只此一家，简单易懂哦,2022-11-08 12:11:12,0,0
[呲牙],2022-12-16 05:35:46,1,0
好哦，之后会出,2022-11-19 03:31:45,1,0
回复 @饼干夹饼干 : 怎么下2019的？只有2022的,2022-12-03 12:18:39,1,0
回复 @超级C语言 :好,2022-11-22 07:17:04,1,0
有可能是安装的不太对哦，仔细看看课程,2022-11-19 00:21:01,1,0
微信公众号：你好编程,2022-11-08 12:10:42,4,0
真就这么注销了？,2023-02-05 13:13:09,1,0
微信公众号：你好编程,2022-11-08 12:10:42,4,0
真就这么注销了？,2023-02-05 13:13:09,1,0
