评论,时间,点赞数,标签
纯粹就好奇进来看看，结果发现确实不错哎[调皮],2022-10-23 05:58:43,0,0
4号不见了？,2022-10-22 00:47:45,0,0
期待kafka讲解,2022-10-20 13:58:54,1,0
搞个MySQL的 队列的 这才有意思 加油UP,2022-10-20 09:19:48,0,0
有趣,2022-10-19 13:12:59,0,0
全量数据,2022-10-19 12:41:27,0,0
很赞,2022-10-19 12:37:11,0,0
我只记得是使用哈希槽。[嗑瓜子],2022-10-19 08:51:35,0,0
太酷了，pu主,2022-10-19 02:14:04,0,0
通俗易懂，非常感谢,2022-10-18 04:27:02,0,0
币留不住了,2022-10-17 23:10:34,0,0
个人感觉语速可以稍微慢点[给心心],2022-10-17 17:24:11,0,0
终于等到了[大哭],2022-10-17 13:07:49,0,0
扩容这一步要怎么实现呢，重新计算slot分配，重新分配完，数据如何同步呢,2022-10-16 15:45:35,1,0
up主，你这个语音是怎么弄的呀，看到你制作的视频，我也有想发视频的冲动了[呲牙],2022-10-16 13:29:19,0,0
催更。这一期拖了好久啊,2022-10-16 12:46:12,0,0
美中不足，主从同步数据不一致问题没涉及,2022-10-16 07:14:43,2,0
讲的非常有趣 支持支持！[喜欢],2022-10-16 05:16:27,0,0
居然完结了，期待下一个,2022-10-16 05:04:38,0,0
如果写数据写到一半断电了咋办,2022-10-16 04:36:13,0,0
回复 @linhieng :槽位应该是不变的，扩容可能是硬件或集群吧，猜的,2022-11-05 14:40:18,0,0
"会不会是增加那个数组的大小呢？
原本只有16384，当快不够用时，就增加这个值，然后引入新的Redis负责。
不知道是不是这样[思考]，没学过Redis，勿喷[笑哭]",2022-10-17 00:00:56,0,0
回复 @Nullean : 是的，主从异步复制，主机宕机导致数据不一致的这个问题,2022-11-25 13:59:09,0,0
指的是主机突然宕机，从机没来的及同步的问题吗还是？,2022-11-08 02:01:53,0,0
可以看看第二个视频哦,2022-10-16 06:54:12,0,0
从门电路开始，指令集、缓存技术、指令流水线、分支预测、乱序执行、原子操作、内存管理、中断与异常、NUMA架构、超线程技术、SIMD、DMA、零拷贝、总线技术···公众号写了很多啦，一个一个视频化，做成一个有趣的CPU系列视频,2022-10-15 13:18:22,32,0
回复 @编程技术宇宙 :他奶奶的，考个408学了一大半[笑哭],2022-10-16 15:08:12,1,0
从门电路开始，指令集、缓存技术、指令流水线、分支预测、乱序执行、原子操作、内存管理、中断与异常、NUMA架构、超线程技术、SIMD、DMA、零拷贝、总线技术···公众号写了很多啦，一个一个视频化，做成一个有趣的CPU系列视频,2022-10-15 13:18:22,32,0
回复 @编程技术宇宙 :他奶奶的，考个408学了一大半[笑哭],2022-10-16 15:08:12,1,0
