评论,时间,点赞数,标签
现在不用硬啃这些了， C++ 有尾随返回类型， C23 有 typeof 把类型括起来。,2022-08-21 14:38:38,1,0
c陷阱与缺陷,2022-08-21 07:42:11,2,0
up能出一期C#的吗,2022-08-21 06:18:51,2,0
没有废话，讲的真好,2022-08-21 05:22:12,2,0
我记得有人说过const，默认修饰其左，否则修饰其右。基于这个语法规则可以解释更复杂的const声明。,2022-08-21 02:17:31,2,0
右顾左看,2022-08-20 13:27:28,2,0
通俗易懂，一下子明白了[打call],2022-08-20 07:42:07,1,0
哇~好实用！这是总结出来的吗？还是编辑器也是这样的解析规则,2022-08-20 06:13:04,1,0
怪不得看不懂，原来是C,2022-08-20 04:33:23,2,0
"int (*v［］)();
这个在gnu-gcc 8.2.0上过不了编译，提示缺少数组大小
int (*(*v)［］)();
用于指向函数指针数组时，因其自身不包含外层数组的元素个数信息，所以无法使用++、--等以元素单位移动指针指向的运算符",2022-08-20 02:21:00,2,0
好耶，我5年级也能懂,2022-08-20 02:13:20,1,0
其实就是书写逻辑没有单向递归，所以看起来混乱，指针和整型改为右侧书写就容易理解了,2022-08-19 17:43:17,4,0
char (*a)【10】 和 char a【10】 是等价的吗？a都是指向包含十个char类型的数组？,2022-08-19 16:16:55,1,0
用编译原理怎么看，可以出一期视频[脱单doge][脱单doge],2022-08-19 15:24:44,2,0
应该根据编译原理的方法来看最不会错,2022-08-19 13:31:14,1,0
儒雅随和的大佬[抱拳],2022-08-19 12:03:58,1,0
感谢up，解决了一直以来的疑惑[向晚2.0_点赞],2022-08-19 11:31:41,1,0
支持up,2022-08-19 08:33:29,1,0
在加个typedef[脱单doge],2022-08-19 07:43:45,1,0
投币！,2022-08-19 05:15:44,2,0
这是给人方便读的规则，编译器是按语言标准实现的，不过最终效果是等价的。,2022-08-20 06:16:31,0,0
"v【n】【i】 == *(*(v+n)+i)
-----
有几个*就有几个存址的__",2022-08-20 07:12:41,0,0
见 int是一类，见int【】是另一类，见int * 是另另一类与 int【】 有一半相通，轻松全解,2022-08-20 06:47:32,0,0
"令我感到意外的是编译器允许第二种写法编译，只是不能以元素为单位去移动指针指向
光看封面我读出来了这个声明的意义，但我以为缺省元素个数过不了编译",2022-08-20 02:22:44,0,0
原来我连初中生都算不上,2022-08-21 15:33:32,1,0
"回复 @HexUp :    char a【2】= {'a','b'};
    std::cout <<""&a="" << &a << std::endl;
    char (*b)【2】 = &a;
    std::cout << ""&b【0】="" << &b【0】 << std::endl;
    std::cout << ""*(*b)="" << *(*b) << std::endl;
    std::cout <<  ""*(*b+1)=""   << *(*b+1) << std::endl;

执行完成，耗时：0 ms
&a=0x7ffe3c554da0
&b【0】=0x7ffe3c554da0
*(*b)=a
*(*b+1)=b",2022-08-20 06:23:33,2,0
回复 @我是冰冰棒 :对，你的理解是对的，只不过前者中a本身不能被赋值，只能对数组元素赋值。,2022-08-20 06:56:39,0,0
回复 @HexUp :请up帮忙看下。个人理解char a【2】中a的类型是指向数组首元素的指针， char(*b)【2】为指向包含两个元素数组的指针，类似char b【任意数字】【2】 中的b。,2022-08-20 06:30:14,0,0
回复 @asdfqwerzxcvasdf :那他的复合运用呢？,2022-08-19 23:53:35,0,0
幸好我不学c，我学java和js,2022-08-21 12:26:26,2,0
没有中文的博客吗up，看不懂呀[笑哭],2022-09-26 11:03:46,1,0
幸好我不学c，我学java和js,2022-08-21 12:26:26,2,0
没有中文的博客吗up，看不懂呀[笑哭],2022-09-26 11:03:46,1,0
