评论,时间,点赞数,标签
C语言大佬[阴险][阴险][阴险],2022-12-21 01:28:23,6,0
好了好了，关注了关注了,2022-12-02 14:29:12,2,0
很牛，听的非常明白，已关注[高田熊和高田狗_了解],2022-12-01 05:53:49,2,0
你的视频播放量跟粉丝量不对等呀，很多僵尸小号只关注了你,2022-11-22 10:40:19,6,0
视频配套资料文档免费领取攻略：https://gaoneng.bilibili.com/tetris/page/?pageId=670204954926804992&mid=83473346&buvid=7D2FEF8D-6A05-CB95-6C06-DDD0586C18FD99056infoc,2022-09-07 02:46:20,5,0
"视频配套资料文档免费领取攻略：cv17918476
点击可享超多权益：免费公开课、1对1答疑解惑、与群内大咖随时交流、学科实战研讨、专属就业指导以及不定期活动福利等！
更多优质视频：
全套
嵌入式物联网：BV1FA411v7YW
基础
C语言：BV1n34y1k7Y8
C++：BV1gS4y1872b
QT   ：BV1Li4y1x7fe
进阶
Linux C语言：BV1uA411w7UT
C++STL:BV1UT4y1R7Yv
高级
STM32：BV19v411A7oC
RT-Thread：BV1Cb4y1m7W5",2022-09-06 10:59:04,5,0
"视频配套资料文档免费领取攻略：https://www.bilibili.com/read/cv17918476
点击可享超多权益：免费公开课、1对1答疑解惑、与群内大咖随时交流、学科实战研讨、专属就业指导以及不定期活动福利等！
也可以添加千千学姐QQ：2377443170 领取~
更多优质视频：

一套掌握——
嵌入式物联网：BV1FA411v7YW

基础入门——
C语言：BV1n34y1k7Y8
QT   ：BV1Li4y1x7fe

热门技术——
Linux C语言：BV1uA411w7UT
C++STL:BV1UT4y1R7Yv
STM32：BV19v411A7oC
RT-Thread：BV1Cb4y1m7W5",2022-08-04 06:19:23,11,0
绝对的全站最好c语言入门教程，给赵老师点赞,2022-07-16 02:23:40,7,0
下载链接过期了[藏狐],2022-07-05 02:04:50,6,0
有c++的教程吗？,2022-05-13 04:07:34,2,0
upup，听完这课程可以自己编写程序了吗,2022-04-21 12:23:11,2,0
老师，Mac系统是安装visualstudio for Mac吗,2022-03-31 12:07:14,2,0
没有函数的嵌套和递归函数嘛[脸红],2022-03-27 14:40:11,2,0
看了三天了 讲的真好 学完再打个卡,2022-03-16 05:40:17,2,0
那个百度网盘链接没了，可以再发一次吗,2022-03-11 04:40:55,5,0
强烈建议，不要在网上与老师联系，最好找熟人，或者去当地的教学地方,2022-03-09 11:33:47,5,0
3月8日第一天[打call],2022-03-08 03:45:58,4,0
真的细，绝绝子，yyds,2022-03-04 15:55:44,2,0
老师老师 C语言二级考试需要全部看完吗，我只有一个月了,2022-03-04 15:30:30,2,0
B站上最好的C语言视频了，强！,2022-03-04 14:20:13,2,0
赞,2022-12-04 09:35:44,1,0
【笔芯】,2022-12-01 08:57:28,1,0
到学校宣传强制学生关注的,2022-12-04 01:59:54,5,0
[疑惑]还在这等操作？,2023-02-28 01:48:07,0,0
刚看完,2022-08-19 06:01:44,0,0
新版C++安排：BV1gS4y1872b,2022-08-31 07:40:59,1,0
认真听课没问题的[给心心],2022-04-22 02:50:05,0,0
回复 @千锋教育 :谢谢老师，我现在用的是 for Mac版本的,2022-04-05 02:26:08,0,0
同学，有mac版本的，是可以的，也可以在mac中装虚拟机，虚拟机里再装vs软件,2022-04-01 02:14:43,0,0
你看一下视频内容哈[给心心],2022-03-28 02:24:51,0,0
回复 @灯妖酱 :学完打卡,2022-03-29 07:29:55,1,0
"回复 @千锋教育 :前面看的挺快的,学到指针那里感觉有点吃力,但是讲的很好,打卡P82,明天继续",2022-03-18 13:25:08,1,0
回复 @不微度意 :早上9点到晚上9点或者10点，中间吃饭和休息时间差不多1个多小时,2022-05-22 15:10:35,0,0
置顶评论群同学[给心心],2022-03-11 08:22:26,0,0
同学，千锋有试听课，可以体验一下呢[脱单doge],2022-03-10 01:16:54,1,0
fighting[给心心],2022-03-09 01:52:46,0,0
[doge]入门到入土,2022-03-05 04:39:48,0,0
跟着这套教程学，二级妥妥拿下[呲牙],2022-03-05 04:41:38,1,0
[给心心],2022-03-05 04:44:28,0,0
