评论,时间,点赞数,标签
难道这样写不酷吗？我觉得这太酷了…后面的我忘了,2022-08-16 00:57:54,25,0
我要是code review看到这种代码，直接reject pull request[喜极而泣][喜极而泣],2022-08-15 23:25:54,25,0
这段或运算太逆天了[热] 稍微有点C语言编程的人都不会这么写,2022-08-15 16:41:34,44,0
面向观众编程,2022-08-15 19:27:54,74,0
拿十进制来做位运算的水平，我就想知道他视频里那个炫酷的键盘是怎么做出来的？他这个到底是c语法，还是c++语法？,2022-08-15 16:22:01,24,0
你说的那个何同学，是画PCB走直角，电源全用一堆1117并联的那个人吗,2022-08-15 23:34:58,42,0
"圈外使劲夸，圈内看笑话。
一堆的位或意义不明，函数为嵌套而嵌套",2022-08-15 18:40:49,67,0
为了回回评论，我斥八块巨资，买了塔女妖的表情包。[永雏塔菲_星星眼][永雏塔菲_星星眼][永雏塔菲_嘻嘻喵],2022-08-15 23:07:46,41,0
虽然我挺喜欢何的，但是做了这么多年硬件连或运算都搞不明白。。。emmmmm,2022-08-15 17:03:05,23,0
"乔布斯不如何同学的几点论证: 
1.提起5g，我们首先想到的就是何同学，何同学对于5g得贡献，就如同丁真之于理塘，谷爱凌之于cn滑雪。而乔布斯只是3g时代中沧海一粟罢了，其含金量远远不如何同学。
2.乔布斯只有苹果这一个小小倚靠，而何同学背后拥有哔哩哔哩、微博、小红书和豆瓣几大商业帝国。其影响力可想而知。
3.何同学能在乔布斯死后跟市值第一的科技公司CEO库克连线，而乔布斯本人只能活着的时候和库克连线，高下立判。
4.何同学给全世界的人们做视线频科普5G无线充电桌子和3D打印，而乔布斯只给US高级学生上课。何子胸怀天下有教无类，境界已经拉开乔布斯太远了。
5.乔布斯没用过5g，远远落后了时代。而何同学引领了5g时代，走在了时代前沿。",2022-08-16 02:41:42,64,0
这东西大概率是团队做的，之前有消息说他工作室招聘会编程，pcb，视频剪辑等各种技能的只给10k工资，然后被骂惨的,2022-08-15 16:49:20,65,0
打这么多英文，何同学还不厉害？（我学会计，看不懂[傲娇]）,2022-08-15 23:22:08,45,0
比起这键盘 何同学的控评能力才是一绝,2022-08-15 18:08:07,63,0
😡😡何家菌，集合！冲了这个up！,2022-08-16 02:02:43,36,0
你觉得有问题那就有问题了吗？好歹我也是个c语言大佬[阴险]我觉得一点问题也没有,2022-08-15 22:59:17,36,0
这下把我从热门撤下来了[永雏塔菲_嘻嘻喵][永雏塔菲_嘻嘻喵],2022-08-16 05:24:39,21,0
会不会是故意这样炒炒流量[思考]他应该是个团队吧,2022-08-15 17:21:53,41,0
可是何同学的视频看起来真的很酷捏[打call][打call][打call],2022-08-15 22:55:48,28,0
"一的阶乘，五的阶乘
我们藏族人常说，一行代码里都有十万个bug。
嗝～",2022-08-16 03:37:49,54,0
何同学发明了5G，不许你说何同学[傲娇],2022-08-16 01:20:46,51,0
[永雏塔菲_我帅吗],2022-08-16 01:00:11,0,0
别尬黑，小何不会用git[永雏塔菲_NO喵!],2022-08-15 23:26:17,11,0
回复 @摸鱼摸摸鱼鱼 :难怪不开源，原来是这个原因，哈哈.,2022-08-16 00:11:44,1,0
我直接merge毕竟是何同学[给心心],2022-08-16 02:00:55,0,0
确实逆天，只要学过编程就不敢这么写。。,2022-08-23 00:57:43,0,0
我大一学的c语言，现在都快忘光了，当然我自己的问题很多[笑哭],2022-08-16 02:51:14,0,0
都不用限定到c，只要学过编程，我都不信有几个逆天能这么用,2022-08-15 18:10:03,0,0
面向对象程序设计(对象=观众)[doge],2022-08-16 01:36:44,0,0
肯定是团队做的啦，他就走个过场。,2022-08-15 16:23:50,0,0
回复 @Tonyguo1999 :有没有一种可能，他不懂开关电源，开关电源layout也讲究，我认为他不懂EMC,2022-08-16 04:55:10,0,0
1117并联可真是有点离大谱了，要大电流直接dcdc不就好了，转换效率还能高点[笑哭],2022-08-16 04:44:44,0,0
难绷[辣眼睛],2022-08-16 04:20:54,0,0
本来感觉他挺厉害的，也粉了他几个月，直到他的视频涉及到了大家的专业，真就是圈内看笑话了,2022-08-15 19:04:12,17,0
套盾是吧，已加入雏草姬仇恨教育[永雏塔菲_喵喵拳],2022-08-15 23:48:30,5,0
回复 @叫我幽荧 :[猫雷Nyaru_汗],2022-08-17 08:33:27,0,0
回复 @摸鱼摸摸鱼鱼 :是hiiro这个猫猫[Hiiro二周年_两眼一黑],2022-08-17 08:20:12,0,0
搞明白怎么测速了。,2022-08-15 17:03:30,11,0
回复 @摸鱼摸摸鱼鱼 :测速的软件都是现成的[脱单doge],2022-08-16 02:22:11,0,0
回复 @摸鱼摸摸鱼鱼 :hhh艹,2022-08-15 17:03:59,0,0
省流：何已经赢他太多了,2022-08-16 03:15:57,0,0
正确的喵[永雏塔菲_哈哈哈][永雏塔菲_哈哈哈],2022-08-16 02:42:53,0,0
校内辅导员还帮转了他工作室的招聘信息[热]，说实话坑同学这一手我是没想到,2022-08-15 16:55:37,20,0
这种薪水对于普通本科毕业搞嵌入式很正常吧。北邮是没人去，但是低一点档次的能找到一大堆人。反正他这些东西技术含量也就那回事，也不用非得找太好出身的员工。,2022-08-16 00:30:06,5,0
要求里还包括收发快递，就离谱,2022-08-16 01:43:13,1,0
确实。[永雏塔菲_亲嘴][永雏塔菲_亲嘴],2022-08-15 23:23:01,3,0
回复 @第三人称ヾ :能是真爱吗[笑哭],2022-08-16 03:32:18,1,0
一时没看出是反串还是真爱粉,2022-08-15 23:29:02,1,0
确实,2022-08-15 18:28:46,1,0
投稿带何同学的都投不了,2022-08-16 04:36:40,0,0
[永雏塔菲_尴尬],2022-08-16 02:02:58,1,0
回复 @起昵称太难233 :关注永雏塔菲喵,2022-08-17 20:08:13,0,0
回复 @摸鱼摸摸鱼鱼 :[永雏塔菲_嘲笑],2022-08-16 04:27:52,0,0
回复 @左手wo右手 :都说c语言大佬了还看不出来？,2022-08-16 00:58:43,5,0
[阴险][阴险][阴险]好歹我也是个c语音大佬[阴险][阴险],2022-08-15 23:02:34,3,0
是c语言系列大佬[doge]，缺字扣分[滑稽],2022-08-16 04:55:16,2,0
回复 @帥-哥 :不如说平台会控，因为删除评论不是up的专权，系统（平台）、up“任命”的骑士都能删除评论和弹幕,2022-08-16 05:34:44,3,0
回复 @tukinonamida_ :一直都有，现在播放量涨得老慢了，我不好说[永雏塔菲_有鬼][永雏塔菲_有鬼],2022-08-16 06:12:25,2,0
何同学是不是会控评啊[tv_无奈],2022-08-16 05:32:23,1,0
挺好，让我也蹭到了,2022-08-15 17:23:38,12,0
回复 @墨川OwO :确实有哈哈哈,2022-08-20 23:02:11,0,0
回复 @空前绝后之剑 :[永雏塔菲_NO喵!],2022-08-16 04:34:55,0,0
很酷[永雏塔菲_我帅吗][永雏塔菲_我帅吗],2022-08-15 22:57:32,3,0
去当特效区up可能更合适[打call],2022-08-16 00:29:15,1,0
[来古-呆滞][来古-沉思],2022-08-16 04:47:06,0,0
说藏话了,2022-08-16 03:40:53,2,0
小黑子[嗑瓜子],2022-08-16 02:04:50,1,0
雏草姬还是很有用滴捏！[星星眼],2022-08-16 23:01:52,1,0
撅鱼鱼,2022-08-17 07:35:04,0,0
雏草姬还是很有用滴捏！[星星眼],2022-08-16 23:01:52,1,0
撅鱼鱼,2022-08-17 07:35:04,0,0
