评论,时间,点赞数,标签
老公我来辣！,2022-08-21 14:28:16,3,0
为什么不能被其他进程共享？,2022-08-21 11:59:38,4,0
所以dll/so算二进制文件吗？如何保护他们防止被反编译？,2022-08-21 10:22:31,4,0
在windows下生成动态库，不光是会生成.dll文件，也会生成.lib文件，一直好奇.lib文件是干啥的，感觉类似于动态库索引表[思考]，有些教程用了动态库的.lib有的没用，动态库的.lib到底是个啥？[思考],2022-08-21 08:49:04,7,0
强烈建议up创建合集！[给心心]去主页翻相关系列好费劲[笑哭],2022-08-21 08:30:05,3,0
妙啊[打call][打call],2022-08-21 07:47:28,3,0
up什么时候讲一下贪心[doge],2022-08-21 06:33:55,4,0
之前学 CTF  pwn 的时候这段知识很多文章讲的非常复杂，感谢 UP 用如此易懂的方式教会什么是 PIC [打call],2022-08-21 06:31:36,3,0
我有个问题，如果我的软件用到了像vulkan这样的库，但某一次系统更新这个库也被更新了，会不会由于新版本与旧版本的某些差异，导致调用该动态库的程序发生异常？,2022-08-21 05:47:07,3,0
有的时候只能动态编译，如果静态编译，要么编译时出错，要么运行时间=出错，这是为啥呢,2022-08-21 05:33:32,3,0
棒蛙！[tv_点赞],2022-08-21 05:22:21,4,0
大哥，等你好久了，多久一更啊,2022-08-21 05:10:39,3,0
视频前半段还能听懂，后半段就不知所云了[笑哭],2022-08-21 03:35:25,4,0
dll是不是相当于java的class文件。但dll是编译好的，class是文本文件。[尴尬],2022-08-21 03:26:23,9,0
[打call]求讲解so文件,2022-08-21 02:55:45,4,0
我tm莱纳！[脱单doge],2022-08-21 02:08:56,3,0
我啪一下就点进来了，很快啊[脱单doge],2022-08-21 02:07:55,3,0
up主讲的太好了，每期都收获很多， 更新的都不够看了[打call],2022-08-22 17:25:04,3,0
罗斯粉[脱单doge],2023-03-03 10:19:09,2,0
好久没更新了,2023-02-18 11:29:45,2,0
加壳,2022-08-21 13:36:52,2,0
回复 @galing2333 :不一样被dump，除非你自己写一个host,2022-08-21 20:20:56,1,0
回复 @断水流 :确实，但有点吃性能，还是简单混淆下关键函数得了,2022-08-21 16:28:42,1,0
lib文件存放导出函数相关信息，静态库包含完整代码和调试信息，动态库只有声明，动态库编译的文件需要加载dll才能运行,2022-08-21 13:36:32,3,0
再讲下动规也行[doge],2022-08-31 08:47:58,0,0
理论上会，但是这些成熟的库应该会考虑到兼容性的问题。所以实际上应该不会遇到这种问题。比如Windows和Intel就是兼容大师[跪了],2022-08-21 07:38:31,1,0
"有一种测试叫做 Binary Compatibility 测试，测试新 api 和旧的有什么不一样的，保持向前兼容。
也就是我们学的开闭原则",2022-08-22 23:53:19,0,0
Class也是编译好的二进制文件吧,2022-08-21 03:40:01,4,0
dll就是jar差不多的感觉，你可以import jar包函数，也可以include dll函数,2022-08-21 16:38:20,1,0
dll so应该对应java的jar包,2022-08-21 09:36:06,1,0
