评论,时间,点赞数,标签
等着收何🥚吧你[微笑],2022-08-16 01:32:38,55,0
@老师好我叫何同学,2022-08-15 13:56:22,51,0
好奇何真同学代码逻辑有问题为什么结果不会错捏[星星眼],2022-08-15 20:08:24,37,0
"up太善良了草，专门写个解释器证明何同学没错，你可真是铁粉啊[给心心]
反转了，何同学自己用更简单的c语句重写了代码[doge]所以他根本没发现自己以前的代码把所有0-68键都改了嘛，怪不得改造完小拇指还痛呢[笑哭]",2022-08-15 22:53:31,46,0
WSL还是,2022-08-15 09:35:53,14,0
好活，跟着cyberdingzhen的bug蹭迟早破万粉，你这样搞以后小何都不敢露源码了[妙啊],2022-08-16 00:56:30,41,0
"[永雏塔菲_嘻嘻喵][永雏塔菲_嘻嘻喵][永雏塔菲_嘻嘻喵]
https://b23.tv/HtWj5UG",2022-08-16 18:30:50,34,0
能跑就行  毕竟cyber dj,2022-08-15 17:58:59,25,0
人家一个团队搞了几个月，你怎么两天就整出来了,2022-08-16 12:04:36,44,0
你这相当于为了把大象装进冰箱，所以直接做了一个容量和大象一样大的冰箱。,2022-08-17 07:15:13,10,0
有一个问题，他连c语言的或运算都能搞错。他前面的单片机是怎么编程实现的[思考],2022-08-16 06:58:47,26,0
u8莫不是unsigned 8位！[大哭]何 同 学 没 错[大哭]。（我装的,2022-08-15 23:18:20,10,0
何同学DSL v0.0.1 pre-release,2022-08-16 04:31:42,25,0
懂不懂乔布斯转世的含金量啊[给心心],2022-08-16 05:07:26,20,0
为了让一坨能吃，up辛苦了,2022-08-16 02:06:32,25,0
怎么把这个视频冲上热门呀？何发了个纠正的评论，然后还有一堆人觉得他技术很牛逼就离谱。[笑哭][笑哭],2022-08-19 12:02:04,25,0
面相何同学编程了属于是,2022-08-18 03:49:53,9,0
笑死我了 他真不应该给代码特写哈哈哈哈哈哈哈哈哈哈哈哈哈,2022-08-17 18:11:11,9,0
最新的内部情报，代码是何同学用AI.Pilot++编译器运行的，可以智能识别错误代码替换为正确运行。,2022-08-16 00:35:38,25,0
何同学可能觉得写个循环太low了，要是能用一行代码把好几行的循环语句给替代了，那别人肯定觉得我很nb，所以他甚至还给了这行代码一个特写[星瞳_耶],2022-08-17 14:42:28,18,0
[doge]何🥚可还行,2022-10-17 17:34:46,0,0
[永雏塔菲_我帅吗],2022-08-16 01:33:23,0,0
回复 @小小怪的大大怪- :哈哈哈[星星眼],2022-08-16 04:41:36,0,0
虾仁猪心,2022-08-16 04:41:22,0,0
因为是示例代码呢[哦呼]真正的代码是外包小哥写的哦[星星眼],2022-08-15 22:19:19,37,0
1丨2丨6丨22这个东西。。只是和我们希望得到的的结果不同，而不是程序的语法错误。他这么写，总归会有一个值被算出来的，而这个代码是跟按压力度有关的。拍视频根本看不出来。只有你拿着实物去按压你才能发现问题。只要何不说。视频肯定拍不出来,2022-08-16 17:50:40,16,0
此项目依赖本bug运行[傲娇],2022-08-16 06:21:12,9,0
[永雏塔菲_尴尬][永雏塔菲_尴尬],2022-08-15 22:54:32,2,0
回复 @okyan123 :谢谢😊,2022-08-16 03:01:35,1,0
回复 @Polaris-official :貌似是，主要从微软商店下载下来的不知道文件存储在哪里,2022-08-15 23:59:17,1,0
回复 @程旭厡 :可以的,2022-11-03 04:10:12,0,0
他本想的放代码装逼一下，哪知道这么多专业的人看他笑话[妙啊],2022-08-16 01:40:42,13,0
回复 @倒影池中水 :这种情况，最乐的永远是专业人士，毕竟能看出每一个笑点🤣🤣🤣🤣🤣,2022-08-17 09:31:06,4,0
[永雏塔菲_令人兴奋],2022-08-16 00:57:39,0,0
[tv_流汗],2022-08-18 09:57:55,1,0
[永雏塔菲_尴尬],2022-08-16 12:06:54,1,0
我还专门做了一个放大象的冰箱，看看新视频[永雏塔菲_令人兴奋][猫雷Nyaru_我永远爱你][猫雷Nyaru_猫雷最强],2022-08-17 07:18:24,0,0
你忘记了，何同学是有团队的，只不过视频里表现好像全都是他亲自做出来的,2022-08-16 23:55:34,4,0
谁知道呢[永雏塔菲_呼呼喵],2022-08-16 06:59:33,0,0
u8和uint8_t，我搞嵌入式的经常见。,2022-08-16 14:42:08,4,0
按我以前写单片机程序的印象来说，u8都是用define自定义的,2022-08-16 01:37:15,1,0
一般在老版本的程序里，u8指的是unsigned char，不过那得是多老了,2022-08-16 00:06:44,1,0
绷不住了[永雏塔菲_嘲笑][永雏塔菲_嘲笑],2022-08-16 04:32:07,0,0
把雪做成巧克力也不能吃罢（恼）,2022-09-30 08:36:13,0,0
你是懂矢的👍,2022-08-16 03:17:31,0,0
我是找__大王是吧[永雏塔菲_尴尬],2022-08-16 02:08:01,0,0
