评论,时间,点赞数,标签
我不打地基你敢住高层吗[doge],2022-04-19 05:42:26,0,0
还有那种看车只看牌子的， 拜金都拜不明白[辣眼睛],2022-04-19 01:18:01,0,0
空中阁楼是吧 啊？,2022-04-19 01:15:00,0,0
底层架构感觉最难啊。。,2022-04-18 07:16:29,0,0
看这发量不太像啊，不会是假发吧？,2022-04-17 21:11:08,0,0
底层程序员再升级就是高能物理，量子力学或者光刻机了[OK],2022-04-16 19:29:53,0,0
你好，我是博士后，博士后啊，什么时候博士前啊。,2022-04-16 01:51:16,0,0
架构工程师？,2022-04-14 14:07:29,0,0
我是设计师，我会装修淘宝店铺。[doge][喜极而泣],2022-04-13 23:13:03,0,0
你好，我是程续缘弟弟，程续命[doge],2022-04-12 05:28:58,0,0
脑溢血了,2022-04-11 08:29:31,0,0
我在设计院做超高层设计的[doge],2022-04-11 08:10:08,0,0
经典,2022-04-11 08:02:20,0,0
典型仙女,2022-04-09 11:27:25,0,0
我叫老八，你叫我八就好[doge][doge][doge],2022-04-08 11:19:54,0,0
做底层都是大佬了,2022-04-08 11:05:28,0,0
博士后啊，你得往前整，憋老在后面呆着[doge],2022-04-08 09:54:43,0,0
我是网络工程师，你说我是网管，我觉得也不是没道理[doge],2022-04-07 12:04:48,0,0
找女的至少找个文凭高点的,2022-04-07 07:40:42,0,0
程序员越底层越牛逼,2022-04-07 03:31:26,0,0
111111111可以发地狱火吗,2022-04-05 04:07:52,10,0
111大哥真的吗,2022-04-05 16:18:40,2,0
666,2022-04-22 09:50:53,1,0
111111111可以发地狱火吗,2022-04-05 04:07:52,10,0
111大哥真的吗,2022-04-05 16:18:40,2,0
666,2022-04-22 09:50:53,1,0
