评论,时间,点赞数,标签
下载地址：https://pan.baidu.com/s/1BM_OKMXXAGxMNqaBN_7tRg ，提取码：afyt,2021-09-06 06:33:57,12,0
看完了，认真跟着老师把每一行代码都敲了一遍。感谢李立超老师，老师讲的深入浅出，很好理解，十分感谢！,2019-09-07 12:57:13,45,0
一觉醒来发现播完了[微笑],2021-01-22 02:55:30,17,0
假期学习打卡,2021-01-07 06:47:50,18,0
最怕老师说但是，有但是肯定又头疼的事,2020-04-10 05:45:12,8,0
一天看完10集完成！打卡,2020-04-07 12:19:28,8,0
"一款免费的web调试工具 给学友们分享一下，不谢哦：
https://gitee.com/axiba2019/webdebug",2020-03-02 10:51:59,8,0
"new个对象，超哥针扎马超版巫毒娃娃之事起末:
超哥new个对象，结果马超也来抢这个对象，两个人都有对象的地址。马超通过地址给对象寄了一堆螺丝粉，对象沉迷，满身螺蛳粉味。超哥无奈痛恨马超，就有了制作巫毒娃娃扎马超的故事。
        超哥把马超的行为告诉了一朋友，朋友也在巫毒娃娃身上贴了马超的生辰八字，通过生辰八字指向马超的地址针扎马超，那朋友实性情中人，针起针落弄折了马超的腿。超哥见马超腿已断，便撕下了娃娃身上马超的生辰八字，不再针扎马超。谢谢超哥对对象的透彻讲解!",2020-11-25 05:35:29,17,0
"讲的真的好,又细节又容易让人记住(ノ≧∇≦)ノ",2018-07-30 13:25:10,10,0
"JS教学（✘）
西游记之勇闯js（✔）",2022-01-21 07:33:22,20,0
历时一个月，140集看了80多集，老师思路清晰，有条理，讲的也非常好，谢谢老师，两币送上，我还推荐了身边的同学一起来看[惊喜],2021-11-02 22:54:37,7,0
"w3school 帮助文档
https://pan.baidu.com/s/1UUSZmPs7AHGbifyYsNiIkA
提取码：5sel",2021-05-12 06:53:40,16,0
学完css3按照路线准备先吃透js再去学bootstrap,2020-03-28 02:12:12,7,0
"var count = 0;
        var sum = 0;
        for (i = 0; i <=100; i++) {
            if (i % 7 == 0) {
                count++;
                sum += i;
            }
        }
        document.write(""1-100之间7的倍数的个数是："" + count + ""<br>"" + ""1-100之间7的倍数的总和："" + sum);

这个为什么就说是15呢？？为什么多一个呢？？？初始化，i=0，为什么最后计数的时候就多1个？？？",2019-11-22 03:42:49,16,0
完了，那个播放量多的那个没了，好不容易找到这个,2019-07-17 06:29:00,7,0
她还是那么爱笑~,2021-07-05 08:25:09,16,0
初一学生前来学习,2020-06-21 08:28:47,9,0
"求问一下，这个函数运行结果为什么是y = undefined？请问哪里出错了，麻烦帮我解答下，谢谢！
var obj = {
			 name:'张三',
			 age:18,
			 gender:'男',
			 address:'济南' 
		 }
 function xinxi(o){
			 console.log('我是'+o.name+',我今年'+o.age+'岁了,'+'我是一个'+o.gender+',我住在'+o.address);
		 }
function fun(y){
			console.log('y = '+y);	
		}
fun(xinxi(obj));",2021-02-17 09:53:55,31,0
"新手要学JS建议先从HTML5再到CSS。因为他们3个是组成网页的整体
HTML就是相当于人的骨头
CSS就是皮肤
JS就是衣服
你没骨头衣服怎么穿对吧
而且这老师讲的想要听的非常明白要基于CSS的基础和HTML。
不难只需要知道那个标签代表什么意思，理解了就懂了",2021-07-14 02:12:13,19,0
建议：如果真的不是完全听不懂了，就别开弹幕，宁愿多看一边，有时候弹幕也没啥帮助，大多时候也只是用来分心。,2022-08-18 07:38:39,5,0
你这个是哪一年的啊,2022-11-15 12:53:04,0,0
请问这个是什么文件啊？,2022-07-08 12:11:29,0,0
回复 @胡搅蛮缠的胡图图 :别听胡说，基础学完之后学JS高级，然后jQuery，Ajax,2019-10-24 01:47:17,10,0
回复 @文明青年_ :谁告诉你的 ，网页动画都是用的JQ，只要用原生，必用JQ,2021-04-21 18:10:10,2,0
回复 @琥珀bing :JQ这么老了，不用仔细学，了解了解就好了，学ajax,2019-11-05 13:33:42,2,0
+1   一觉醒来 还自动播过了2集,2021-11-05 08:57:38,0,0
哈哈哈哈哈,2021-01-25 09:08:18,0,0
01-30看至P115,2021-01-31 07:37:08,2,0
01-29看至P111,2021-01-29 15:27:28,2,0
后续呢[tv_可爱][tv_可爱],2021-11-13 03:18:35,1,0
回复 @杰哥萨日朗 : 看样子是只看了十集[打call],2022-07-15 08:55:49,1,0
多久看完的家人,2022-07-01 00:54:13,0,0
没错,2018-07-31 08:58:36,3,0
一开始看没懂你什么意思。然而在我不知道第几十次听见孙悟空、猪八戒、沙和尚的时候，突然顿悟，原来这就是西游记之勇闯js[笑哭],2022-10-09 05:56:39,0,0
回复 @1w8494837 :一点都不旧的，JS基础还得看超哥,2021-11-18 13:35:55,1,0
兄弟 请问现在看这个还可以吗 会不会有点旧了呀 我软件工程专业的 有一点点基础想巩固一下,2021-11-18 08:45:17,1,0
回复 @_初见-- :好的 了解,2021-11-18 13:45:22,0,0
十分感谢,2021-11-19 16:28:22,0,0
谢谢,2021-06-01 04:09:27,0,0
回复 @Jelly-zdb :还能发一下吗，失效了,2022-05-10 01:14:32,0,0
明天应该看完了 高级js 冲,2020-04-07 09:45:14,3,0
110[热词系列_打卡],2020-04-05 14:25:20,2,0
今天第一天冲呀,2020-03-28 02:12:21,2,0
i=0的时候也算上了，第一个for循环的时候，i=0，i%7也等于0，相当于加上了一个7的0倍，所以是15,2019-11-25 08:54:50,5,0
回复 @一点七七22 :是啊，都没看这个，谢谢,2019-11-26 13:07:07,2,0
一样，吓死我了，以为白看了,2019-07-21 12:14:19,1,0
啊，打卡结束了吗,2020-09-15 08:22:49,1,0
20集打卡,2020-06-21 09:26:35,1,0
函数fun只是定义了形参y，但是接收实参，需要在函数xinxi里加一条  return o;  这样函数xinxi执行完的返回值就会作为函数fun的实参,2021-02-17 10:34:49,11,0
A,2022-04-28 08:43:46,0,0
"回复 @AHaaedk :html是人体骨架
css是人体外貌身材
js是人的动作行为[doge]",2021-10-15 13:55:02,6,0
"讲的很好，但是还可以更形象。
js是人的各种行为，有了js让人有了动态感",2021-07-19 01:34:33,3,0
谢前辈指明方向！,2022-07-13 03:01:08,0,0
推荐最新 高口碑的2023年web前端教程：av96953550,2023-03-24 10:19:13,1,0
推荐最新 高口碑的2023年web前端教程：av96953550,2023-03-24 10:19:13,1,0
