评论,时间,点赞数,标签
后面的两个阶段的学习视频请问在哪可以学到呢？很喜欢老师的讲课，讲的很细。,2021-05-27 04:57:12,2,0
"这个学完真的能就业吗
大神求指点",2021-04-18 12:03:23,2,0
第二阶段的课程有吗,2021-01-06 03:14:23,4,0
有没有看完了的告诉我怎么样,2021-01-03 07:05:13,2,0
有没有课堂笔记,2021-01-02 08:35:48,2,0
请问[哦呼]这个是html，css，js和jQuery一起学的吗,2020-12-29 13:01:44,4,0
虽然每一集视频感觉都挺长的，不过都是干货，真的很好。,2020-11-26 13:01:52,2,0
大学学过，但是仅仅是被动接收，缺少主动练习，专项练习。现在再学。,2020-11-24 03:25:10,5,0
感谢老师[滑稽],2020-10-29 13:05:38,2,0
后面的课程什么时候更新？,2020-10-24 03:07:35,7,0
什么时候更新呢,2020-10-18 12:34:37,5,0
讲的非常好,2020-08-26 14:06:35,2,0
课程是别人推荐的，看了两天说的很细，点赞,2020-07-28 15:11:54,2,0
什么时候有JS教程呀？期待[呲牙],2020-06-04 05:52:32,5,0
视频能快点更新吗？视频很好，就是有点慢,2020-05-31 12:40:11,2,0
励志学完,2020-05-14 23:59:59,4,0
老师讲的真好，学到很多东西。这里提一个疑问：为什么老师在用div的时候总是喜欢用类选择器？还不是用ID选择器？感觉那些只用了一个地方的选择器，用ID选择器是不是更合理一点?,2020-05-01 13:12:40,2,0
只有第一阶段的前端视频吗？,2020-03-31 02:28:31,4,0
加油,2023-01-05 06:26:53,2,0
纯萌新学着太有成就感了(・ω< )★,2023-01-01 05:44:42,2,0
同问,2021-07-21 12:07:23,1,0
就业有点难啊  这些只是打基础而已,2021-12-06 13:17:40,1,0
js就多了，现在用的是es6，当然，可以直接看typescript ，语法有序，直接搜中文官网就有教程,2021-01-27 10:43:56,1,0
id选择器的主要作用是为了js拿到当前dom节点用的 在正常网站应用中样式主要由类选择器负责,2021-05-12 04:50:29,0,0
如果有100个项，你用100个id，那假如有50个项在某方面属性一样，用class只用打一次，用is得打50次,2020-08-21 12:50:17,0,0
类选择器比较常用,2020-07-28 06:31:19,0,0
会一直更新,2020-03-31 04:02:00,10,0
搜索不到 隔断时间再搜索 多搜索几次,2023-03-10 13:33:24,1,0
搜索不到 隔断时间再搜索 多搜索几次,2023-03-10 13:33:24,1,0
