评论,时间,点赞数,标签
记不得不要紧，以后多写多敲这些都会记得的[doge],2023-03-07 07:27:23,3,0
我已经学完目录了，催更下一个[嗑瓜子],2023-03-07 07:16:49,3,0
网上都是在制造焦虑，实际上根本没那么严重，我中专毕业，一年经验，深圳面了8848家，拿了8080个offer，最高500k，最低404k 404k是外包，还有个200k的自研可以考虑一下，不说了，明天还要两个面试， 寒冬年年有，年年都是计算机，结果计算机工资不是还是轻轻松松月入过w， xdm，有一说一，现在不学前端开发，以后就没机会了，趁着现在的红利，狠狠的赚一笔[打call][打call][打call],2023-03-07 14:26:01,4,0
天宇老师好,2023-03-11 12:46:16,1,0
这个老师的声音真好听,2023-03-11 14:58:06,1,0
太赞了,2023-03-11 12:37:21,1,0
66666,2023-03-11 07:50:12,1,0
打卡打卡,2023-03-11 06:14:53,1,0
太赞了,2023-03-12 00:22:12,1,0
跟禹神学前端，呦吼[热词系列_肥肠自信],2023-03-12 00:34:47,1,0
好想天禹老师讲js啊（可惜不是他讲了） 还有vue和react的项目啊 前端的内容都讲了多好啊 太喜欢天禹老师的课啦 讲得非常好[奥比岛_击爪][奥比岛_击爪],2023-03-09 02:49:13,1,0
给喜欢禹哥的都赞一遍,2023-03-11 06:46:17,1,0
老师的vue正在学，没事过了看这个，当做短视频刷刷消磨平时的零碎时间,2023-03-07 07:42:21,3,0
已学完[脱单doge],2023-03-07 08:31:28,4,0
我是小白,2023-03-07 12:36:59,2,0
有笔记吗[脱单doge],2023-03-08 07:51:49,1,0
终于看完啦！感谢天禹老师！讲得太好了。[脱单doge],2023-03-08 14:30:11,1,0
太有才了！！！！,2023-03-25 16:30:42,1,0
我今下午刚刚学完张老师的react的教程，尚硅谷又出了老师的其他教程，这是不是巧合[脱单doge][脱单doge],2023-03-07 09:06:08,4,0
等一波js教程，哈哈哈哈[调皮],2023-03-07 08:30:56,2,0
键盘敲烂月薪过万，键盘落灰狗屎一堆[笑哭][嗑瓜子],2023-03-11 13:31:12,0,0
不要介个样子嘛[喜极而泣],2023-03-11 13:33:20,0,0
[大哭][大哭][大哭],2023-03-08 12:51:02,0,0
“禹”宙无敌[呲牙][呲牙],2023-03-11 12:56:48,0,0
绝绝子,2023-03-12 04:06:47,0,0
嘿嘿，超棒滴[给心心],2023-03-12 06:09:57,0,0
给你点个赞💪💪,2023-03-11 12:59:21,0,0
嘿嘿，来波[热词系列_三连],2023-03-11 13:01:29,0,0
今天呢[吃瓜],2023-03-12 06:14:04,0,0
记得三连呀[吃瓜],2023-03-12 06:08:56,0,0
学起来~~[呲牙],2023-03-12 06:08:32,0,0
[给心心][给心心],2023-03-11 13:10:07,0,0
好滴好滴，我喜欢[给心心],2023-03-12 06:13:35,0,0
资料中没笔记吧,2023-03-11 11:57:25,1,0
尚硅谷公众号“前端入门”是暗号[热词系列_肥肠自信],2023-03-11 13:18:44,2,0
已收到！十分感谢,2023-03-12 14:57:32,0,0
别闹~是看完第一集了嘛[笑哭][调皮],2023-03-11 13:15:31,0,0
你康康，这不巧了嘛[呲牙],2023-03-08 08:20:55,0,0
推荐最新 高口碑的2023年web前端教程：av96953550,2023-03-24 10:16:59,2,0
推荐最新 高口碑的2023年web前端教程：av96953550,2023-03-24 10:16:59,2,0
