评论,时间,点赞数,标签
客户端个屁,2022-03-29 01:45:08,0,0
阿姨我阿，以前可是很强的,2022-03-29 01:36:13,0,0
这不就是前端最基础的知识吗404都不知道还程序员？,2022-03-28 13:06:13,0,0
404咋能是客户端问题呢,2022-03-28 12:48:57,0,0
干软件的不知道404就像是开车的不知道红绿灯。,2022-03-28 06:05:49,0,0
up好好干 以后也能干保洁[doge],2022-03-28 03:44:36,0,0
400-500客户端问题，500-600服务器,2022-03-27 17:34:34,0,0
跟客户端有什么关系,2022-03-27 15:53:06,0,0
搞笑也没必要乱讲吧 404是客户端的错误？[辣眼睛],2022-03-27 15:35:12,0,0
谁告诉你404是客户端的问题？不能是服务器的问题？,2022-03-27 13:41:26,0,0
白痴  服务端的问题,2022-03-27 12:59:42,0,0
专业对口,2022-03-27 12:42:21,0,0
我浏览网站的时候也经常404[嗑瓜子],2022-03-27 11:12:05,0,0
ingress路由没加吧[doge],2022-03-27 10:19:32,0,0
Nginx,2022-03-27 06:32:40,0,0
404不是服务器的问题？,2022-03-27 03:41:42,0,0
404   请求资源找不到,2022-03-27 01:36:01,0,0
搞测试的水平差距这么大吗？我们公司的测试，业务搞得透、文档写得溜、代码看得懂、数据库玩得熟……,2022-03-27 01:05:25,0,0
也不一定，xml文件是前端还是后端写的？,2022-03-26 23:28:58,0,0
.....？404是基本错，就是地址问题[藏狐],2022-03-26 19:24:27,0,0
"不懂就别瞎评论

状态码 404 Not Found 代表客户端错误，指的是服务器端无法找到所请求的资源。返回该响应的链接通常称为坏链（broken link）或死链（dead link），它们会导向链接出错处理(link rot)页面。

404 状态码并不能说明请求的资源是临时还是永久丢失。如果服务器知道该资源是永久丢失，那么应该返回 410 (Gone) 而不是 404 。",2022-03-30 08:07:23,0,0
或者其他状态码被重定义为404也不是没有可能,2022-04-02 07:00:22,0,0
404本质是服务器找不到这个文件，要说服务器原因其实也没什么问题,2022-04-02 06:58:39,0,0
服务端是5打头吧,2022-03-30 09:19:27,0,0
大神分享个能用的,2022-03-30 06:25:06,0,0
那还干什么测试啊 有工资高的开发岗不干干工资低的,2022-03-27 11:42:03,0,0
俺们公司也是,2022-03-27 11:02:15,0,0
总有一些牛逼的人做简单的事，而且做的淋漓尽致的那种。,2022-03-27 05:40:24,0,0
一起做个程序员[奋斗],2022-03-30 08:37:58,0,0
一起做个程序员[奋斗],2022-03-30 08:37:58,0,0
