评论,时间,点赞数,标签
HTTP和你都是为他人做嫁衣的工具人，你暗恋的人通过你来牵线搭桥认识隔壁小黑，人家连接上就不需要你这个舔狗了[给心心],2023-01-11 19:29:42,0,0
sse呢？,2022-12-31 06:13:46,0,0
你他喵的是句句诛心啊[doge],2022-12-18 15:43:41,0,0
学习了！[热词系列_可以],2022-12-18 08:04:45,0,0
那websocket如何抓包呢，f11开发者选项抓不到找不到,2022-12-18 07:09:48,1,0
有一个一直想问的小问题 websocket真的是服务器主动发消息吗 如果是 现在不是所有客户端都有公网ip 服务器又是如何找到客户机的呢 希望知道的可以解答一下[tv_微笑],2022-12-18 06:09:19,0,0
多么痛的领悟[偷笑],2022-12-18 05:39:39,0,0
[脱单doge][脱单doge]加油up [打call][打call]。,2022-12-18 04:38:34,0,0
"听up讲解完我理解下一句话总结就是
因为虽然都是基于支持双工通信的 TCP 协议，但是 websocket 才真正实现了双工通信， http 只实现了半双工通信，这样能让 websocket 协议能应用于一些需要服务端主动向客户端发消息的场景(比如网页游戏，即时通讯软件等)，所以需要websocket。

再展开说为什么 http 当时不实现双工通信，是因为当时人们设想的传输网络文本的场景不需要 http 实现这个功能。[doge]",2022-12-18 03:18:47,0,0
讲挺好，但是完全是用的小林coding的文案，还是说一下比较好,2022-12-18 02:52:50,0,0
发现鱼皮也关注了[doge],2022-12-17 19:01:27,0,0
为什么有了websocket还要rtmp，为什么有rtmp还要rpc，为什么有了rpc还要有grpc，为什么有了grpc还要mqt[滑稽][滑稽],2022-12-17 02:25:36,0,0
粘包警察呢?,2022-12-16 11:20:58,0,0
"那长轮询的后端怎么写呢
两个请求, 一个是浏览器的长轮询, 一个是用户手机的扫码
长轮询里是一个while循环, 检测有没有收到用户手机扫码后携带的标识?
如果长轮询没有收到, 就一直循环, 直到长轮询超时?
我比较菜, 我想问问请求超时后, 比如到了30秒后, 后端的while循环会咋样, 需要后端主动去计算30秒时间吗?",2022-12-16 02:35:27,0,0
uoup，你这视频有文字版的文案吗，三连求一份笔记[热词系列_三连],2022-12-15 09:00:44,0,0
牛哇,2022-12-14 12:30:55,0,0
以前是勾引，现在主动出击,2022-12-13 12:15:25,0,0
作为科普视频来说，做的很好,2022-12-12 10:50:11,0,0
不够具体。。。 再具体点就好了,2022-12-12 09:29:33,0,0
本来是想给你投币的，可是太痛了，我的手按不下去了,2022-12-11 10:08:17,0,0
痛，实在是太痛了,2023-01-11 23:01:44,0,0
回复 @主神的恩赐 :谢谢[tv_微笑],2023-01-03 09:07:25,0,0
网络这块我不太熟悉，参考这篇知乎文章https://www.zhihu.com/question/314143449,2023-01-02 16:50:07,0,0
回复 @主神的恩赐 :可是现在有很多是一个路由器下的用户共用一个公网ip呀 服务器是怎么知道是哪个用户发起的请求呢,2023-01-02 09:57:57,0,0
原来是小林哥的粉丝，友军了。你文章往上翻翻，应该能看到我名字哈[tv_斜眼笑][tv_斜眼笑],2022-12-18 03:20:01,1,0
回复 @RobbieArnett :[脱单doge][脱单doge][脱单doge],2023-02-13 11:43:32,0,0
这种自己开公众号还发b站的up主绝大多数没有敢抄袭的，或者把别人的当自己的，这个你可以放心,2023-01-30 02:41:52,0,0
嘿嘿，感谢鱼皮大佬给我带的流量！！,2022-12-18 03:21:52,1,0
有的，在公粽号「小白debug」里,2022-12-15 12:02:05,0,0
回复 @HXDOvO :谢老板支持！,2022-12-11 11:21:30,0,0
回复 @小白debug : 就不投一个就不投一个，我就投两个,2022-12-11 11:03:13,0,0
还是投一个吧[doge][doge],2022-12-11 10:25:51,0,0
