评论,时间,点赞数,标签
专科可以学吗？java,2022-05-21 08:05:53,12,0
"都说JAVA开发很赚钱， 我苦心专研了两年，其中参加了不少的培训。
刚培训完两个星期我就收到了美团网的offer , 我承认我不是班里学习最好的。
但我却是班里第一个找到工作的， 而且还是个大厂我一-直相信勤能补拙。
只要有决心什么事都是可以做到的，今天入职一个星期了。
公司的人对我都很好，还给我配了电动车和头盔还有大衣。
不说了又接了个外卖。",2022-07-21 15:11:02,20,0
"学习笔记：
在敲第57P的练习时，老师写的是i / 10 % 10 == 7,我觉得很奇怪，因为我在老师敲代码之前，自己也先敲了一遍，我的是i /10 == 7，没有% 10。
于是研究了半小时，没明白区别在哪，结果最后发现是我钻了题目条件（100以内）的牛角尖了。
老师的i / 10 % 10 == 7包含了所有的十位上是七的正整数。只是题目里只体现了70-79这十个数字。
然后我又把for循环里的100改成了1000。然后我就写了if (i % 10 == 7 || i / 10 == 7 || (i % 100) % 10 == 7 ||(i % 100) / 10 == 7 || i % 7 == 0)。
在100以内，%10其实是可以省略的，在100以上，i / 10 % 10 == 7，又有点不够。
在我美滋滋认为自己很聪明时，突然没来由的有点慌，于是去检查了代码。
结果发现我写的1000以内跟7有关的代码，没办法识别到大部分7开头的三位数。而且我又看了一下代码，先其余和取整100麻烦不说，还不够全面。
然后我又回去看了老师的i / 10 % 10 == 7。
我把第一个10，改成了100。这次7开头的三位数都能被识别到了。
最后终结了一下，i % 10 == 7，能抓到所有个位数是7的数，i % 7 == 0，能抓到所有7的倍数。这俩条件永远不变，剩下的，你要抓100以内的，就写i / 10 % 10 == 7，你要抓1000以内的就加一个i / 100 % 10 == 7，你要抓10000以内的就加一个i / 1000 % 10 == 7，以此类推。
到这算是暂时结束。",2022-07-14 09:13:39,57,0
我玩游戏会上瘾，学java也会上瘾[脱单doge],2022-06-14 09:32:08,23,0
"阿玮老师我这个按视频教程写的编译后,这个注释怎么是错的呢
ValueDemo1.java:3: 错误: 编码 UTF-8 的不可映射字符 (0xC4)
            //???: ???????????????????????????????д???
                                                    ^
ValueDemo1.java:5: 错误: 编码 UTF-8 的不可映射字符 (0xD5)",2022-05-04 11:35:15,32,0
学会了800多币都是你的[doge],2022-07-19 09:19:43,19,0
"看完接口了,老师是用动物类和青蛙类,狗类,兔子类进行举例的,我根据自己的理解再举一个游戏中的例子(我原神玩的比较多,就用它举例吧):假如原神是由Java写成的(假如,假如,假如),那其中的人物为Person类,抽取的角色为Person类的子类-Character类,而绫华和莫娜这两个角色是Character类中特有的能遁地的角色,因此我们可以写一个规定遁地方法的接口,并在莫娜类(Character类的子类)和绫华类(Character类的子类)中实现这个接口;而莫娜类或绫华类在使用接口中的遁地方法时,会有水元素/冰元素特效,这些特效可能就是由private method实现的",2022-10-10 09:45:29,21,0
片头太友好了，作为CXY，在公司打开此视频直接社死了[doge],2022-05-30 14:51:23,19,0
完结撒花[藏狐],2022-04-27 01:06:27,21,0
"我学过各种课程，什么老师我都见过。
像你这种讲课又快，吐字又清晰，又没有废话，逻辑条理清楚，偶尔还能皮一下，简直是神仙一样的老师。[打call][打call][打call]",2022-05-22 19:45:57,19,0
这一百五集四天就看完了，催更催更[脱单doge],2022-06-17 17:10:45,10,0
老师讲的python很详细思路非常的清晰，希望老师也能出个Java的教材[doge],2022-05-23 07:47:40,19,0
"Java第19期-day13

修饰符  返回值类型  方法名(形参列表)
{方法体代码(需要执行的功能代码)

//  打印3行Hello World（使用方法）
public static void print(){
System.out.println(""Hello World"");
 System.out.println(""Hello World"");
System.out.println(""Hello World"");}
       return 返回值;

如果方法不需要返回结果，返回值类型必须申明成void（无返回值）,  此时方法内部不可以使用return返回数据。
方法如果没有参数，或者返回值类型申明为void可以称为无参数、无返回值的方法，依次类推。",2022-06-26 11:13:32,19,0
来催更啦[星星眼],2022-05-13 14:55:02,9,0
"其他的课不想学,这个课不够学",2022-07-01 02:30:03,19,0
催更 其他视频都没看 就等着看这个视频呢,2022-07-07 07:06:02,8,0
哥们儿yyds，听我哥们儿的课感觉很有趣，注意力也很容易集中，讲课方式太喜欢了，在这炎热的夏日也不会感觉到枯燥[脱单doge],2022-07-14 15:53:09,19,0
老师，有时间的话出一期PPT制作教学的课程吧，您的PPT做的太棒了，俺想跟着学学做PPT[打call][打call],2022-09-16 12:44:20,19,0
我发布了一篇笔记，快来看看吧~,2023-01-01 08:12:31,6,0
小学生都能学[墨镜],2022-07-30 10:30:26,1,0
回复 @EasonNuce :你好，可以发给我吗,2023-03-01 11:00:31,0,0
回复 @MSKDID :你怎么知道,2023-01-12 15:32:46,0,0
秀儿同学请坐下，你挡着后面同学看黑板了~,2022-07-22 14:20:27,0,0
[doge],2022-07-22 01:15:28,0,0
官方点赞~,2022-07-15 12:13:19,2,0
请问这个视频有没有ppt资料,2022-08-21 02:59:25,1,0
回复 @第一控卫斯蒂芬库里 :应该是没得吧？最多是视频资料[doge],2022-08-24 06:09:41,0,0
那很优秀[doge],2022-06-14 09:47:33,3,0
推荐一套：BV1LU4y1q7w6,2022-08-01 06:59:39,1,0
老师讲的太好了，看了都会上瘾,2022-09-12 13:05:34,0,0
编译方式改成：javac -encoding gbk xxx.java就可以了,2022-10-03 14:55:39,7,0
我有一个朋友让我问问为啥设置好了也不能写中？要加上-encoding gbk xxx这个才行,2023-01-10 16:39:31,1,0
回复 @向起风 :我还是没用啊.都设置了还是不行,2022-05-12 05:15:08,1,0
就冲这个，私聊我，一对一辅导~[doge][doge][doge],2022-07-22 14:33:35,6,0
[doge],2022-07-20 07:37:51,1,0
回复 @看电视3 :和视频里一样的吗？主要担心到时候下载出问题卸载又不干净，以前下载过这种类似的软件，卸载贼麻烦,2022-11-03 06:20:57,0,0
这下子大家都知道你是一个认真学习的人了[doge],2022-06-01 07:40:44,3,0
[tv_微笑][tv_微笑],2022-05-31 01:19:10,1,0
"回复 @ads白 : 你没有把那个jdk弄进环境变量中,弄进环境变量中就行了",2023-01-29 08:11:50,0,0
？？？刚发布[doge],2022-04-27 01:51:14,5,0
[OK]你可以把阿玮认为哥们~,2022-05-23 16:44:01,6,0
谢谢小伙伴的支持[给心心],2022-05-23 01:12:24,0,0
兄弟你每天看几个小时啊，四天看完150集。。。我不理解但我大为震撼[呆],2022-08-15 08:23:26,2,0
我三天看完，万花丛中过，片叶不沾身[滑稽],2022-08-19 01:13:38,1,0
牛逼,2022-06-18 00:06:52,1,0
[doge]你好皮,2022-05-23 08:22:08,2,0
[脱单doge],2022-05-23 16:43:06,1,0
[打call][打call],2022-06-27 01:22:48,0,0
[给心心],2022-05-16 01:14:28,2,0
