评论,时间,点赞数,标签
后续课程什么时候更新呀？[兔年]@黑马程序员,2023-01-23 08:31:49,3,0
"感谢老师,花了这么多精力录制",2023-01-22 12:58:57,3,0
请问什么时候能全部更新完呀。,2023-01-20 06:43:36,3,0
摩尔定律，差不多明年还可以嫖一套[doge],2023-01-06 06:32:16,3,0
idea是有中文插件的，右上角齿轮->plugin->marketplace->搜索中文语言包。如果不喜欢默认的theme可以安装VS code theme插件（更多高亮，更方便看），然后把设置->外观里的主题改成vscode dark即可,2023-01-06 03:06:00,3,0
咸鱼了5年的java程序员，前来巩固。,2023-01-06 01:03:48,3,0
撒花完结[打call][打call][打call],2023-01-06 01:04:02,3,0
2021收藏到2023。[脱单doge],2023-01-06 06:09:36,3,0
这个还没更新完吧,2023-01-31 05:32:07,3,0
idea以前安装过，现在看视频安装企业版，可安装完后打不开该怎样弄？谁会弄[大哭],2023-03-21 10:26:49,1,0
黑马的课不错，但我最喜欢听赵珊珊老师的java课[脱单doge],2023-03-17 03:25:24,1,0
马子哥更新吧！！！,2023-01-29 09:24:38,3,0
爱了！！！[给心心][给心心][给心心],2023-01-11 08:37:52,3,0
黑马能不能出几期用Java做游戏的课程，你看MC也是用Java做出来的，你们是不是要挑战一下，虽然游戏引擎不支持Java，但可以做一些页游和安卓小游戏程序，给我们练练手，因为很多人也有编程做游戏的想法，但C和C++太难了，只能用用Java做点小玩意这样子，所以黑马老师，出一期专门用Java做页游和小程序游戏的课程吧，非常感谢，三连加关注！,2023-03-24 10:24:13,2,0
我觉得是讲师知道java出路窄，希望各位能够迷途知返，因此才不更新了,2023-03-09 07:25:08,2,0
催更崔更！！！[给心心],2023-03-09 03:39:32,2,0
催更,2023-03-09 01:57:47,2,0
请问各位巨佬们，学了C语言可以跳过Java编程基础不，比如循环判断那些,2023-02-18 03:57:16,2,0
"哇感觉这个好适合我哎,老师这种方式最棒了",2023-01-25 08:25:52,4,0
老师讲课挺不错的，就是说重点的时候有点用力过度了[笑哭],2023-01-20 04:24:30,2,0
哈哈哈哈 大家满意就好 [保卫萝卜_哇],2023-02-07 09:59:17,5,0
一年学一套，一套学一年[脱单doge],2023-01-06 08:33:36,2,0
你是懂定律的[呲牙],2023-01-06 08:33:24,1,0
跟我一模一样[微笑],2023-01-06 10:55:38,0,0
直接搜中文就行了,2023-01-06 07:47:24,0,0
你别光收藏啊 你看呀！[保卫萝卜_哭哭],2023-02-07 09:58:31,0,0
不要光收藏，不开始学习呦。,2023-01-06 07:20:23,0,0
是的，还在更新中呢~,2023-02-01 01:22:43,1,0
用旧的就行，没必要跟视频版本一样,2023-03-22 15:29:19,0,0
收到！！！,2023-01-30 02:02:15,0,0
[热词系列_燃起来了],2023-01-12 01:08:05,1,0
你小子,2023-03-09 15:18:40,0,0
不需要跳过，可以开高倍数，过一遍总是好的,2023-02-21 09:31:03,0,0
这些都一样的肯定可以跳过,2023-02-19 12:22:09,0,0
记得三连支持我们呀[给心心],2023-01-29 01:22:11,2,0
回复 @黑马程序员 : 之前大一学过Java，大二回来复习一下，发现这套课程是真的全是干货，真的超好。,2023-01-31 13:10:43,1,0
哈哈哈哈 被认可了（开心脸）,2023-02-07 09:58:10,0,0
[保卫萝卜_哭哭] 怕你困嘛,2023-02-07 09:59:32,0,0
