评论,时间,点赞数,标签
鱼皮我滴鱼皮🤤🤤🤤,2022-06-25 10:11:22,5,0
java亡了[大哭],2022-06-25 10:10:05,5,0
鱼总终于有时间发视频了,2022-06-25 10:09:59,5,0
推荐个git学习的网站，有动态图非常直观  https://learngitbranching.js.org/?locale=zh_CN,2022-06-25 16:17:38,8,0
一见三连[歪嘴],2022-06-26 03:23:08,4,0
我一直想学,2022-06-25 17:58:10,4,0
实习刚开始用git[呲牙],2022-06-25 10:10:08,8,0
求星球账号,2022-06-25 12:04:32,3,0
今天你两个视频上推荐主页,2022-08-19 05:58:27,3,0
思维导图能分享么,2022-07-13 04:54:45,2,0
[doge]什么时候介绍下CI/CD工具,2022-07-03 16:58:53,2,0
GitHub的入门教程在哪进[大哭],2022-07-03 04:53:27,2,0
有用+1,2022-06-28 01:08:02,2,0
已三连[热词系列_三连],2022-06-26 14:39:45,2,0
三连 三连了,2022-06-26 03:38:20,3,0
我去，看了你那么多技术文档，今天才知道你也在B站,2022-06-26 02:49:22,3,0
git push -f,2022-06-25 14:54:29,3,0
先三连后看[脱单doge][惊喜],2022-06-25 11:19:17,3,0
我想要这个思维导图,2022-06-25 10:16:24,2,0
鱼皮鱼皮，快帮帮我，我不知道GitHub的官方文档去哪里看，救命[大哭],2022-06-26 03:23:16,3,0
只是使用率不是最高了，瘦死的骆驼比马大，C/C++使用率那么低  不照样好好的。,2022-08-07 05:06:09,1,0
你没了Java都不会没,2022-06-25 23:31:14,1,0
怎么了？,2022-06-26 15:18:34,0,0
回复 @程序员鱼皮 : 确实，几个星期没更新了,2022-06-25 10:33:33,1,0
夹缝生存,2022-06-25 10:27:26,1,0
回复 @晚安奈德丽cc :找个详细的教程，花几个小时 跟着练习一下 做做笔记，一个下午或者半个下午就能学会，很简单的。  然后你就会发现真香 相见恨晚。,2022-08-07 04:10:15,1,0
学一下挺快的,2022-07-15 02:56:23,1,0
实习也需要会git吗？我很慌，没接触过,2022-07-02 06:37:49,0,0
yupi.icu，可以了解下哈，理性加入,2022-06-25 15:30:45,1,0
回复 @0Element0 :非常感谢小伙伴的支持，一起加油！,2022-08-19 13:17:32,0,0
回复 @eeeeesonnn :在https://yupi.icu，希望对你有帮助~,2022-07-13 13:41:49,2,0
回复 @程序员鱼皮 :[高考加油],2022-07-04 19:09:53,1,0
回复 @G7南通俱乐部 :谢谢小伙伴的建议，水平还不够，继续加油，之后会出的,2022-07-04 14:24:01,1,0
回复 @程序员鱼皮 :好的，谢谢您,2022-07-04 02:13:56,0,0
回复 @艾奇冫 :在https://yupi.icu/ 的星球资料下面，希望能帮到你~,2022-07-04 01:36:03,0,0
回复 @是苏沐橙哦 :感谢支持，如果觉得视频有帮助，可以给鱼皮一个三连不，非常感谢！,2022-06-28 13:57:28,1,0
回复 @程序员鱼皮 :祝你越来越好！,2022-06-27 04:28:14,1,0
回复 @富兰克林-吕 :非常感谢小伙伴的支持，一起加油！,2022-06-26 14:42:07,1,0
回复 @丶寒鸦 :您的支持就是我更新的动力，谢谢~,2022-06-26 14:35:34,1,0
回复 @苏por :一起加油！,2022-06-26 14:37:24,1,0
回复 @那就叫我小肖叭 : 谢谢大佬 用完之后我被人打了，你能来医院看看我吗，我当面谢谢你哦,2022-10-06 02:14:46,1,0
回复 @自控狗 :谢谢大神,2022-06-26 02:31:35,0,0
回复 @自控狗 :[doge],2022-06-25 15:30:32,0,0
[脱单doge],2022-06-25 13:12:13,1,0
学习路线图请看：https://yupi.icu，希望能帮到你~,2022-06-25 10:39:00,0,0
回复 @程序员鱼皮 :谢谢鱼皮！,2022-06-26 15:46:05,2,0
回复 @五河柚子 :https://docs.github.com/cn，希望对你有所帮助~,2022-06-26 14:36:51,2,0
回复 @五河柚子 :百度第五个 谷歌第一个,2022-06-27 17:53:34,1,0
不想给你一个 给了你俩[嗑瓜子],2022-06-25 10:33:07,24,0
希望做好星球，不要管这个哔站的付费,2022-06-25 10:32:56,50,0
回复 @恶意白嫖 :的确是这样，谢谢支持。。我自己的精力和能力也做不起两个付费 [笑哭] 还是以免费分享 + 付费指导为主,2022-06-25 10:36:24,63,0
不想给你一个 给了你俩[嗑瓜子],2022-06-25 10:33:07,24,0
希望做好星球，不要管这个哔站的付费,2022-06-25 10:32:56,50,0
回复 @恶意白嫖 :的确是这样，谢谢支持。。我自己的精力和能力也做不起两个付费 [笑哭] 还是以免费分享 + 付费指导为主,2022-06-25 10:36:24,63,0
