评论,时间,点赞数,标签
我现在正在自学前端，我看了很多关于程序员视频下面的评论都不要进外包公司，是因为外包技术比较落后学不到技术吗？如果是的话我一直拿空余休息时间自学，也补不上技术吗？,2023-02-17 05:42:00,6,0
程序员竟能修仙？？@程序员韩道友,2023-03-10 02:40:19,1,0
临近毕业，会的东西太少了，根本不知道该学什么该找什么工作，要是5年前看到这个就好了，现在已经焦虑的要死，完全不知道该怎么办,2023-03-16 01:59:45,0,0
00:26 分的时候 我希望老师回答一下  我现在是连面试30家的机会都没有 我真不怕面试 但是真没机会,2023-03-15 01:36:52,0,0
怎么没有php呢,2023-02-17 04:58:01,4,0
"目前所有的人 应该感谢 现如今面试人才方法很low的社会环境 这其实就是社会bug
只要利用好了 就可以过 ，就是因为这种面试流程的出现 才出现了一些 水平很水的 人出现",2023-03-07 00:35:39,1,0
我还活在以前吗，我觉得5000-8000都很高了...........[大哭],2023-03-10 01:10:59,0,0
我个人认为业务型的好点，技术性的怎么说呢，感觉学不完呀,2023-02-14 08:36:43,5,0
确实，前端天花板较低，往高处发展还得是后端或全栈,2023-02-22 01:35:47,1,0
都是铁，你怎么那么锈,2023-02-14 08:53:18,5,0
目前大四双非非科班，是选择跨考双非计算机强校，还是去培训班？[笑哭],2023-02-16 14:20:16,2,0
马士兵确实很厉害！推荐大家看！,2023-02-18 05:54:18,3,0
5年PHPer已经在转GO了,2023-02-19 07:46:44,2,0
我985大三想去鹰角实习被刷了[翻白眼],2023-02-17 05:08:40,2,0
我一个行外的觉得他讲得很有道理这正常吗,2023-02-22 15:55:30,1,0
别再吹程序员了谢谢🙏，如果从头再来我不会再选程序员。回老家每月67千工作我觉得比这好,2023-03-10 08:31:26,1,0
"我现在测试, 想转开发, 能不能不学Java, 直接学Go 呢 ?",2023-03-01 07:11:24,0,0
网络安全方向有什么岗位呀,2023-02-28 08:50:55,0,0
网工行不行现在，未来两三年呢,2023-02-28 14:16:11,0,0
6,2023-03-24 14:06:36,0,0
[笑哭]前端东西真的好多,2023-02-17 11:09:18,2,0
有没有可能就是因为 外包没有空闲时间[doge],2023-02-21 04:21:01,1,0
进外包你还想有空闲休息时间？,2023-02-20 23:57:09,1,0
回复 @棋手づ :添加小助理详细分析一下,2023-03-16 05:07:15,0,0
回复 @马士兵com :现在学什么是最快入行的呀。看到现在前端测试要的都很少了，游戏untiy这方面还来得及吗。,2023-03-16 03:05:22,0,0
现在学也来得及，最主要的是找到工作！,2023-03-16 02:14:44,0,0
添加小助理详细分析一下,2023-03-15 01:38:09,0,0
做小网站常用[doge],2023-02-23 16:34:45,0,0
我们同学在中小厂差不多12-15k,2023-03-10 01:14:44,0,0
确实,2023-02-22 01:46:08,0,0
为什么 非要干程序猿呢[笑哭]，你是很讨厌你的专业吗  ？,2023-02-17 10:42:11,1,0
回复 @只想吃饱喝足睡大觉 :本科生物，感觉找不到满意的工作，不如趁着年轻去转码赚钱[笑哭],2023-02-17 11:09:19,0,0
现在大四？二战风险很高的，到时候你就不是当年应届生了。计算机双非强校一个都不好考。扪心自问一下，你赌得起吗？,2023-02-18 13:00:57,5,0
yj纯手工作坊又不缺程序员，被刷很正常。干策划或美术的很可能会要,2023-02-17 16:51:31,0,0
我一个计算机本科生也觉得有道理，他现在说的是包装自己，跟专业技术关系不大,2023-02-28 12:10:29,0,0
扫码找小助理可详细规划一下,2023-03-01 09:17:59,0,0
同学们可以添加小助理哈免费规划学习路线，或者跳槽！,2023-02-28 08:52:03,0,0
添加小助理让老师给你分析一下未来就业前景,2023-02-28 14:19:07,0,0
"年龄：
工作经验：
最近一次工作了多长时间：
薪资：
毕业院校：
专业：
学历：
目前掌握的技术简述：
你最想达成的短期诉求：
特殊情况：",2023-02-23 02:51:06,2,0
回复 @马士兵com : 以上是规划模板填完整即可添加小助理 ikt4435 或视频中扫码，就能获取一次老师简历指导，一对一规划呢,2023-02-23 02:51:18,0,0
"年龄：
工作经验：
最近一次工作了多长时间：
薪资：
毕业院校：
专业：
学历：
目前掌握的技术简述：
你最想达成的短期诉求：
特殊情况：",2023-02-23 02:51:06,2,0
回复 @马士兵com : 以上是规划模板填完整即可添加小助理 ikt4435 或视频中扫码，就能获取一次老师简历指导，一对一规划呢,2023-02-23 02:51:18,0,0
