评论,时间,点赞数,标签
讲得挺不错的，比那位姓马的有诚意多了（我是真纯路人，不是托）,2022-07-18 09:17:27,0,0
最近刚好面试，复习一波,2022-07-18 06:56:07,0,0
三连再看，养成习惯,2022-07-18 06:55:03,0,0
学会是不是就可以面试大厂了,2022-07-18 06:54:33,0,0
"不去考虑大厂,进不去",2022-07-18 06:54:02,0,0
收藏从未停止，学习从未开始,2022-07-18 06:52:10,0,0
已经裸辞，准备面大厂,2022-07-18 06:51:38,0,0
卷起来[doge],2022-07-18 06:50:24,0,0
别发了，我的收藏夹都快满了,2022-07-18 06:51:02,0,0
真的牛逼，我是刚刚一年的程序员，帮助很大，就是有些东西真的没用过，所以记不牢。,2022-07-18 06:49:54,0,0
面试牛逼吹上天，进了公司，拧螺丝,2022-07-18 06:49:24,0,0
别发了，我的收藏夹都快满了,2022-07-18 06:47:51,0,0
打算全部看完去面试。不知道要几个小时呢[doge],2022-07-18 06:48:53,0,0
已经裸辞，准备面大厂,2022-07-18 06:48:21,0,0
请问课件和代码可以共享下不呢,2022-07-18 06:47:21,0,0
面试造火箭，工作拧螺丝,2022-07-18 06:46:20,0,0
收藏从未停止，学习从未开始,2022-07-18 06:45:49,0,0
三连三连下周要去面试了,2022-07-18 06:46:51,0,0
现在就想跳槽,2022-07-18 06:44:48,0,0
最近面试就有问到过这一块  早点来看视频就好了,2022-07-18 06:45:19,0,0
回复 @老乡人的奶瓶 :对，没错，你很聪明[嘘声],2022-07-31 00:57:41,0,0
马是谁？马云吗[妙啊],2022-07-30 14:48:02,0,0
感谢支持，对你有帮助就行[脱单doge],2022-07-18 11:57:08,0,0
加油，好好复习,2022-07-18 06:58:26,0,0
好习惯，继续保持。我看你很有前途[doge],2022-07-18 06:57:30,0,0
大厂不是主要考算法题吗,2022-07-30 14:47:32,0,0
兄弟加油！！！！！,2022-07-25 02:18:49,0,0
可以的，好好复习。冲击大厂[打call],2022-07-18 06:56:48,0,0
有机会的，可以冲一冲。好好复习,2022-07-18 06:55:39,0,0
现在立刻马上去学习[辣眼睛],2022-07-18 06:56:02,0,0
加油，好好复习,2022-07-18 06:56:11,0,0
好好学[doge],2022-07-18 06:55:09,0,0
满了清理下灰尘,2022-07-18 06:55:26,0,0
对你有帮助就行[doge],2022-07-18 06:51:11,0,0
好好学[吃瓜],2022-07-18 06:57:08,0,0
清理清理灰了[滑稽],2022-07-18 06:52:34,0,0
看你需要多久[滑稽],2022-07-18 06:51:24,0,0
冲一冲，早日进大厂[doge],2022-07-18 06:54:37,0,0
可以的简介获取评论置顶获取[高考加油],2022-07-18 06:51:00,0,0
好好复习[歪嘴],2022-07-18 06:51:40,0,0
现在立刻马上去学习[辣眼睛],2022-07-18 06:50:34,0,0
加油，好好复习,2022-07-18 06:55:49,0,0
加油，好好复习[高考加油],2022-07-18 06:53:07,0,0
[脱单doge]来的早不如来得巧,2022-07-18 06:52:57,0,0
