评论,时间,点赞数,标签
6,2023-01-01 12:06:43,0,0
我可以自己取标题再ai啊,2023-01-01 09:14:45,0,0
池沼对抗方式，不如必胜诉讼团队,2022-12-31 08:08:50,1,0
截个图之后还有用吗？,2022-12-31 04:35:06,0,0
果然任何东西都是互相对抗的,2022-12-31 01:01:34,0,0
这下有办法对抗换脸了,2022-12-31 01:01:17,0,0
降色阶，直接白搭,2022-12-30 14:55:29,0,0
"这简单，图片处理时灰白化，取色彩平均值的时候区块选大一点，再平均一下图片中熵比较大的部分
反正是人眼不敏感的修改，ai也学人类的视觉呗",2022-12-30 06:10:56,0,0
说明算法不够通用，回去返工吧。,2022-12-29 23:38:49,0,0
导弹>爆炸反应装甲>串联式导弹>主动反应装甲,2022-12-29 03:01:09,0,0
问题是对抗攻击通常只能针对一种模型，换一种模型可能有需要新的对抗攻击,2022-12-28 23:03:17,0,0
那用AI再降噪不行吗？,2022-12-27 09:08:43,0,0
直接blur一下了事,2022-12-27 02:19:13,0,0
[tv_白眼]不专业的人用不到，专业的人没用处,2022-12-26 11:47:51,0,0
防AI伪造技术，可以保证手动伪造技术人员的就业[脱单doge],2022-12-24 22:03:06,0,0
只能针对算法弱的，没啥用,2022-12-24 13:39:37,0,0
哇好有趣，以后的人工智能一定会腾飞，带来更多突破常人认知的东西,2022-12-23 09:20:40,0,0
我截图一下再p不行？🤔,2022-12-21 08:48:01,0,0
