评论,时间,点赞数,标签
@迷樱今天吃土了吗 他试图教会我,2022-11-17 16:12:49,2,0
@p-q-x 快看这个up主！！！[脱单doge],2022-11-17 10:46:56,2,0
@30号的拉文 [tv_白眼][tv_白眼][tv_白眼][tv_白眼][tv_白眼][tv_白眼][tv_白眼][tv_白眼][tv_白眼][tv_白眼][tv_白眼][tv_白眼][tv_白眼]，想要！,2022-11-16 16:57:06,2,0
完全比那个剧男主帅[脱单doge],2022-11-16 15:34:50,152,0
C真的能做到这玩意吗？？？正常人都不会用C去写这个的吧……,2022-11-16 13:21:19,89,0
为每一个深夜更新的技术类up点赞[脱单doge],2022-11-16 16:29:11,27,0
直接找你演就完事了，片酬和顾问的钱都省不少，你的下一步片酬也可能火箭式上升[tv_doge],2022-11-17 05:39:01,32,0
最后一句话是重点：出w找我[doge],2022-11-16 13:10:52,94,0
华子你才是这个剧我心里的男主！[奥比岛_喜欢],2022-11-16 13:53:50,27,0
笑死  要真来找你肯定不是找你当顾问哈哈哈哈哈哈哈哈那不直接男主,2022-11-16 13:12:05,80,0
你的声音和你的脸严重不符，我看了半天在想为什么要放个帅哥的视频还放这么长一段，后来发现是帅哥在说话。,2022-12-03 12:47:15,25,0
计算机专业的表示根本不敢看这种剧，怕脚趾扣地…,2022-11-19 07:21:18,75,0
感觉这个心缺少一些感情上的共鸣，不太还原。建议华子发我vx，我来促成一场撕心裂肺的感情[doge],2022-11-16 13:42:56,24,0
小華这不纯纯校园男主吗[脱单doge],2022-11-16 13:05:16,73,0
首页路过，这个up怎么这么帅啊？？？[哦呼][哦呼][哦呼],2022-11-18 01:17:28,21,0
原剧没有#include就算了，所谓的C语言作业还是.py文件[辣眼睛],2022-11-16 15:50:35,70,0
那颗血红色的心脏就是这样的吗，书粉枯了[辣眼睛],2022-11-16 12:58:57,21,0
无所谓，我就知道小华会出手[妙啊][妙啊][妙啊],2022-11-16 14:34:10,69,0
你给我的感觉好像一个漂亮的假人，但是你是真实的，呜呜呜。,2022-11-19 10:38:19,20,0
完全可以直接让小华去演啊[doge],2022-11-16 17:39:43,66,0
笑死了,2022-11-18 07:56:41,0,0
@晒太阳的小氷 安排,2022-11-19 02:12:53,1,0
甚至觉得不在一个级别上,2022-11-16 18:44:14,10,0
https://www.bilibili.com/read/cv19665488?spm_id_from=333.999.0.0,2022-11-18 13:40:18,2,0
理论上c可以做到，但所有函数如果都得自己写那真是不敢想象。,2022-11-17 09:21:49,10,0
现在的C好像都用在底层架构了[笑哭]因为运行高效，毕竟C是面向过程的语言[笑哭],2022-11-17 15:47:24,5,0
我想到的方法是用TXT字符画来实现，就跟以前做bad apple 那样，跳动效果是能做出来，但是流畅程度和像素都没有剧中的清晰,2022-11-17 06:53:14,4,0
谢谢，你是懂up主的,2022-11-16 16:39:13,16,0
回复 @超级小華 :能不能早点睡觉，别冲浪了[傲娇][傲娇],2022-11-16 16:39:41,1,0
回复 @超级小華 :[微笑][微笑][微笑],2022-11-16 16:39:26,1,0
真相了,2022-11-16 13:13:48,0,0
我已经脚趾扣地了，看了十几集不看了,2022-11-22 12:50:31,0,0
高富帅＋高智商都给他高完了,2022-11-16 14:06:48,19,0
回复 @沈南鹏のYuzuのJackson :腾讯平均高工资刚刚又上热搜了，虽然是参考，能看个大概，小华平时自媒体又接些推广，他的收入应该很优秀,2022-11-16 14:03:45,12,0
回复 @芜湖Tony马 :而且还是靠自己，小华的父母应该很欣慰有这么出色的儿子,2022-11-16 14:26:05,8,0
我第一次刷到他的时候困的要死，迷迷瞪瞪的，直到他的脸出来，真的一瞬间被帅醒了，满脑子卧槽[热],2022-11-18 01:42:22,8,0
笑死了，反正专业问题一大堆，学霸认真讨论的，貌似都是基础问题,2022-11-17 06:51:56,10,0
确实，我看了影视区的一些片段，老人地铁看手机.jpg,2022-11-18 13:00:38,1,0
回复 @闲云世外 :这就是专业hh,2022-11-19 07:04:05,0,0
我想象中是暗红色的心脏，但是现实中真要弄成心脏还是有难度的,2022-11-16 14:51:38,4,0
书粉➕1,2022-11-16 13:30:02,0,0
书粉还是别看剧，会高血压（炽道也是一样拉）,2022-11-16 13:08:07,0,0
回復 @真筝拙灼 :哈哈哈[脱单doge],2022-11-16 18:28:27,0,0
这个梗过不去了是吧[脱单doge],2022-11-16 14:34:46,0,0
值得热评[doge],2022-11-16 17:47:04,1,0
哥，嫂子们都是来看你的，没几个人像我一样过来看代码[委屈]跟我一样的兄弟真没几个,2022-11-16 13:06:46,1066,0
大众对程序员的误解就是这么一点一点培养起来的[笑哭],2022-11-17 02:28:59,56,0
回复 @vac20 :有没有可能，兄弟也是来看脸的[脱单doge],2022-11-17 15:15:27,77,0
哥，嫂子们都是来看你的，没几个人像我一样过来看代码[委屈]跟我一样的兄弟真没几个,2022-11-16 13:06:46,1066,0
大众对程序员的误解就是这么一点一点培养起来的[笑哭],2022-11-17 02:28:59,56,0
回复 @vac20 :有没有可能，兄弟也是来看脸的[脱单doge],2022-11-17 15:15:27,77,0
