评论,时间,点赞数,标签
当我三岁小孩呢，我才两岁半,2022-12-11 14:03:18,0,0
"[无语][无语]别展开

趁人少，欺负一下up[tv_doge]
{\__/}
( • . •)
/ >⚪️
你看到这个硬币了吗

{\__/}
( • - •)
⚪️< \
吃了也不给你

{\__/}
( • . •)
/ >⚪️
开玩笑啦给你给你

{\__/}
( • - •)
⚪️< \
诶，我又抢回来啦
{\__/}
( • . •)
/ >⚪️
给你啦给你啦不开玩笑辣

{\__/}
( • - •)
⚪️< \
诶，骗你的略略

Σ(っ °Д °;)っ
诶诶你怎么哭辣

{\__/}
( • . •)
/ >硬币 点赞
给你给你都给你
发现了：好吧，你展开了，那么在24个小时之内，把这句评论转发到10个作品，否则倒一辈子霉，我也是受害者",2022-12-11 13:49:26,0,0
@陪洛瑶长大,2022-12-11 13:43:48,0,0
如果都从方形的孔放进去，我觉得侮辱性会更强[doge],2022-12-11 13:21:30,0,0
说明不光前端要做检验，后端也要做检验，防止有人恶意调接口。,2022-12-11 13:20:04,0,0
生化危机里就有这个片段，你不怕被啃吗[doge],2022-12-11 13:13:05,0,0
这就好比有时手机需要卸载一个软件，但使用者格式化了[doge],2022-12-11 12:44:33,0,0
这届家长真难带,2022-12-11 12:40:50,0,0
智商超愛因斯坦,2022-12-11 12:20:46,0,0
孩子：我拆包,2022-12-11 10:40:42,0,0
你就说进没进,2022-12-11 10:39:18,0,0
这孩子打小就聪明。,2022-12-11 09:35:45,0,0
什么小黑子[疑惑],2022-12-11 15:18:11,0,0
回复 @怪哒 :第三部,2022-12-11 15:49:27,0,0
好家伙远古记忆攻击我，是那部来着？,2022-12-11 13:15:09,0,0
