评论,时间,点赞数,标签
三连了，求源码和资料大佬,2022-05-24 12:08:34,1,0
弄QQ的分分钟给你封了，微信不怎么管而已,2022-05-22 08:53:35,1,0
三连了三连了，求up分享一下文档，我来加你好友了,2022-05-19 17:13:39,0,0
想问一下博主 mac系统能弄出来吗,2022-05-19 04:55:03,0,0
运行了，不能回复，提示获取不到？大佬求指教,2022-05-18 11:45:01,0,0
"uiautomation==2.0.16
环境版本号",2022-05-16 20:25:27,0,0
"第27行代码。报错(TypeError: 'ListItemControl' object does not support indexing)。改为wx.ListControl(Name=""消息"").GetLastChildControl().Name可以正常运行。但是这个好像不能读取之前的消息吧？只能读取最后一条消息，如果对方同时发送好几条信息，是不是就GG了？",2022-05-16 20:22:57,1,0
大佬牛[支持],2022-05-16 10:01:49,0,0
[黑洞],2022-05-14 02:50:11,0,0
厉害厉害三连给了,2022-05-13 16:08:02,1,0
你这要是做个nlp的回复功能就更牛了,2022-05-11 16:01:12,0,0
加上nlp就完美了,2022-05-11 15:55:22,0,0
大神？！求文档！,2022-05-11 15:12:53,0,0
可以后台可以回复吗？,2022-05-10 16:08:10,0,0
牛逼啊,2022-05-10 04:28:00,1,0
"TypeError: dropna() got an unexpected keyword argument 'inplase'
但是我pandas已经最高版本了啊",2022-05-09 08:34:08,0,0
运行了，有关键词，但是不自动回复，咋搞,2022-05-09 05:53:15,0,0
👀汗。。。uiautomation啊。。。。pywinauto  pyautogui也可以。。。pywinauto甚至更简单一些。up可以试试,2022-05-08 15:42:32,0,0
你这不能后台回复啊，怎么实现后台消息回复,2022-05-07 16:02:16,0,0
干别的事情也不影响自动回复,2022-05-07 16:02:32,0,0
微信分分钟封，QQ没事,2023-03-18 17:14:23,0,0
QQ的么？你可以试下，,2022-05-22 09:14:00,0,0
好滴，等你哦,2022-05-22 03:47:10,0,0
可以，但是不是这个库了,2022-05-22 03:47:18,0,0
那你这应该是环境的问题了,2022-05-22 03:47:44,0,0
[黑洞],2022-05-17 06:45:16,0,0
也可以读取所有消息，需要另外的操作,2022-05-17 06:44:50,0,0
感谢夸奖,2022-05-17 06:44:16,0,0
[黑洞],2022-05-17 06:44:08,0,0
资料备好了,2022-05-17 06:44:01,1,0
等你来加呦,2022-05-13 03:31:13,0,0
nlp么，这不是等你来加,2022-05-13 03:31:03,0,0
查看置顶评论哦,2022-05-13 03:30:48,0,0
后台么，也可以，但是怕被封，哈哈哈,2022-05-11 05:36:12,0,0
一般般，傲娇,2022-05-11 05:36:28,0,0
emm，盲猜是不是inplace打错了？[思考],2022-05-09 13:23:48,0,0
没有正确读取文档内容,2022-05-11 05:37:03,0,0
那个限制太大了，这个用的爽一些,2022-05-11 05:37:38,0,0
回复 @紫禁之滇 :嗯   图片点击,2022-05-09 12:40:07,0,0
pyautogui好像找不了控件吧,2022-05-09 03:18:38,0,0
后台需要hook，容易封号,2022-05-11 05:38:30,0,0
[墨镜][墨镜]开个虚拟机？,2022-05-11 05:38:10,0,0
已添加 莫辜负,2022-12-12 08:10:17,0,0
这是微信号吗,2022-12-25 12:29:47,0,0
麻烦大佬通过一下,2023-02-19 06:21:10,0,0
已添加 莫辜负,2022-12-12 08:10:17,0,0
这是微信号吗,2022-12-25 12:29:47,0,0
麻烦大佬通过一下,2023-02-19 06:21:10,0,0
