评论,时间,点赞数,标签
老师用的是什么软件做的？,2022-01-31 23:29:50,3,0
写透视的时候非常有用,2022-01-31 05:24:54,4,0
麻烦把透视变换的部分补一下吧，就是想看这部分呀,2022-01-30 12:15:38,3,0
很好，已经三连，这个系列给我更到死好吗[doge][doge],2022-01-30 09:46:39,4,0
每次都能学到一点东西，感谢UP[脱单doge],2022-01-30 06:56:39,3,0
up讲得挺好，投影矩阵那部分展开讲讲就更好了,2022-01-30 06:04:42,3,0
计算机图形学学过这个,2022-01-30 05:45:07,3,0
"编程{3}分钟  0,0,0,8  {3}只是格式化占位符",2022-01-30 04:42:22,6,0
讲的太好啦！,2022-01-30 04:32:46,3,0
终于更新了,2022-01-30 02:59:24,3,0
看mit的教材那本，就有很多这种东西,2022-01-30 02:51:31,3,0
这告诉我们什么，线代很重要[OK],2022-01-30 02:35:54,10,0
宝藏up,2022-01-30 02:31:17,4,0
活了,2022-01-30 02:10:37,3,0
为什么！为什么！数不清第几次我刚在学某一个东西up就出了一个同领域相近的视频了[脱单doge],2022-01-30 02:04:03,5,0
终于更新了,2022-01-30 01:56:49,3,0
终于更新了,2022-01-30 01:46:03,3,0
讲得太清楚了,2022-01-30 01:45:26,3,0
梦回线性代数,2022-01-30 01:43:21,3,0
有没有可能是大数据潜移默化你去学的这些东西[脱单doge][脱单doge][脱单doge],2022-01-30 04:33:54,1,0
回复 @GamerOfLife :那也不是这样的 up我关注好久了 不是新粉哦,2022-01-30 03:30:50,1,0
大数据分析你的近期感兴趣的东西，就退给你呗,2022-01-30 02:48:31,1,0
