评论,时间,点赞数,标签
up，图形学看的啥书/视频呀，除了GAMES101还有什么推荐的书/视频吗?感谢（科班）,2021-10-18 08:41:07,0,0
up有学习路线的推荐吗，,2021-10-18 08:29:04,0,0
求学习路线图，2年也太强大了,2021-10-18 05:15:30,0,0
up现在c++学完后不知道干嘛  想学做游戏,2021-10-18 04:53:45,0,0
图形学怎么入门呢，本科生，大三,2021-10-18 00:44:07,0,0
有后端设计的么,2021-10-17 16:00:53,0,0
看标题来看学习路线的学渣,2021-10-17 15:27:50,1,0
有前端路线吗,2021-10-17 14:35:50,0,0
你3d模型自己做的？,2021-10-17 14:35:42,0,0
能不能分享一下学习方法路线经验[藏狐],2021-10-17 14:14:23,0,0
6666,2021-10-17 12:32:55,0,0
🌄思君如流水，何有穷已时,2021-10-17 10:20:36,0,0
up有学习路线吗？,2021-10-17 09:48:18,0,0
很棒,2021-10-17 09:39:36,1,0
up主有学习路线总结嘛，我还在苦恼到底先学c++还是去学phtyhon入门，还是先学其他的(,2021-10-17 09:20:06,0,0
六边形大佬,2021-10-17 08:59:14,0,0
不错不错,2021-10-17 05:49:24,0,0
大佬啊太强了，我学了一年了还是弱鸡[大哭]因为英语差的离谱，c++基本入门都难,2021-10-17 03:03:17,9,0
有书籍推荐吗？up，我也想学做游戏，科班,2021-10-17 02:04:59,0,0
好叼啊,2021-10-17 00:59:23,1,0
红宝或蓝宝是值得一看的,2021-10-18 09:22:23,0,0
已留言，谢谢关注,2021-10-18 08:37:15,0,0
学了c#才能学unity吧,2021-11-04 23:31:15,0,0
学unity,2021-10-19 17:20:53,0,0
[调皮],2021-10-18 07:16:10,0,0
如果基础不是很好的话，不建议直接图形，先把基础学好，再接触引擎，自己做些东西。图形学需要先固定管线，了解了概念，再可编程管线。当然也可以先使用unity的shader插件比较直观。我不知道 颔_首 同学的专业如果你有线性代数这门课的话，复习下矩阵。,2021-10-18 07:15:50,0,0
你有学习的原动力，那就是兴趣。学渣不学渣的无所谓。,2021-10-18 07:23:38,1,0
回复 @布麻夫子 :up我也要，目前大一,2021-10-18 04:53:04,0,0
回复 @布麻夫子 :现在大一新生 还只是在学c 想走这条路的话大学里要怎么规划 求指点！,2021-10-18 03:11:02,0,0
回复 @布麻夫子 :upup能给我也发一个嘛，大三cs好迷茫[大哭],2021-10-17 17:10:22,0,0
谢谢,2021-10-17 09:43:23,0,0
回复 @布麻夫子 :我也想要[打call][打call][给心心],2021-10-17 16:10:48,0,0
回复 @布麻夫子 :同求一份学习路线，现在已经迷茫了,2021-10-17 15:47:25,0,0
给你留言哈,2021-10-17 09:23:06,0,0
有一说一，编程可和英语没啥关系，大部分都是要新学的关键字，而且一共也没那么几个，建议反思一下是不是自己的选择性排斥[七海_沉了],2021-10-18 00:04:23,4,0
回复 @都是我干的啊 :但凡认识26个字母都能学程序，你这个借口找的不行,2021-10-18 03:38:01,1,0
其实编程和英语不挂勾，初中英语，知道些大路边的单词就够用。,2021-10-17 09:39:01,1,0
回复 @布麻夫子 :同求一下up的学习书籍与路线,2021-10-17 03:31:43,1,0
回复 @布麻夫子 :我也想要[微笑],2021-10-17 05:12:19,0,0
已单独留言，谢谢关注。,2021-10-17 02:11:43,0,0
回复 @忆大师 :他自己。。。,2021-10-17 08:13:52,1,0
回复 @布麻夫子 :夫子是谁？,2021-10-17 01:55:14,0,0
夫子的学生比较努力。,2021-10-17 01:05:52,0,0
你是在哪系统学习的c++的哦。。。,2021-10-18 06:23:09,0,0
回复 @睿典9 :一般是通过书籍、视频、专项练习（这个最重要）、技术贴吧深挖或扫盲，有条件报个班可以省很多事。,2021-10-18 07:22:30,5,0
有教程吗求，我也喜欢游戏开发,2022-02-06 10:06:35,1,0
你是在哪系统学习的c++的哦。。。,2021-10-18 06:23:09,0,0
回复 @睿典9 :一般是通过书籍、视频、专项练习（这个最重要）、技术贴吧深挖或扫盲，有条件报个班可以省很多事。,2021-10-18 07:22:30,5,0
有教程吗求，我也喜欢游戏开发,2022-02-06 10:06:35,1,0
