评论,时间,点赞数,标签
木糖那几期bug制造者视频，搞笑程度确实直线拉满，我上小学的妹妹看了好几期 给孩子笑的不行不行的 连日记都写这事，她妈都不知道咋回事。[笑哭][笑哭],2021-10-23 09:46:53,2,0
十七变化太大了,2021-10-23 05:33:00,2,0
技术胖洗过稿子，起码让学习变得像打王者那一集是洗的[辣眼睛],2021-10-23 05:28:39,13,0
水哥真的是被迫成为段子区[doge],2021-10-23 03:18:15,6,0
我的鱼皮呢？@程序员鱼皮,2021-10-22 18:01:37,10,0
艹,2021-10-22 13:49:38,2,0
@CodeSheep 推荐,2021-10-22 13:34:33,11,0
虽然说踩一捧一不好，但还是想说其他人跟稚晖君的差距太大了,2021-10-23 14:20:52,5,0
居然没有龙少…手搓8位cpu，写编译器的男人,2021-10-23 03:11:43,5,0
"假如有两个女生，
一个十七岁，青春可爱，长发飘飘，喜欢你摸她的头发，喜欢叫你欧尼酱，睡觉的时候一定要躺在你怀里哄她睡，会做可口的饭菜给你吃，尽管偶尔会失手糊掉。
另一个二十五岁，柳腰翘臀，非常疼你，工作累了给你泡杯茶，按按摩，每天晚上都做好饭菜在门口等你回家，晚上给你在浴室放好热水。也不对你有过高要求，平平安安回家就好，最开心的时候就是你夸她贤惠持家。
那么这两个女生……

  
                                                                             
   原来都是嫂子啊，是吧哥[脱单doge]",2021-10-23 09:42:49,6,0
哈哈哈，水哥  段子手实至名归啊，技术胖做视频的初衷原来是这个啊，正能量[脱单doge],2021-10-23 06:38:19,4,0
我真的是连小学生都不如了[笑哭],2021-10-23 04:34:27,4,0
稚晖君没有想把他和钢铁侠捆绑在一批,2021-10-22 13:54:28,4,0
B站时刻都在提醒我，我是个废物[呲牙],2021-10-23 09:13:18,4,0
没有何同学吗,2021-10-25 22:13:18,1,0
这个片段让我看到了大型颁奖典礼，就差线下颁奖了[tv_doge],2021-10-25 09:30:58,1,0
在稚晖君面前，一个能打的都没有[doge][doge],2021-10-24 15:58:09,3,0
总算知道电电灯电话电视电脑手机互联网汽车火车飞机超声ct磁共振pet（质子加速器）为什么不是我们发明创造勒[藏狐],2021-10-24 15:35:58,1,0
节日快乐，刚加完班回家，明天继续新项目,2021-10-24 15:21:53,1,0
css区up[doge],2021-10-23 07:55:20,0,0
羊哥[打call][打call],2021-10-23 08:06:20,0,0
羊哥主要还是今年现实原因拖更了，不然感觉今年也能有奖的,2021-10-23 08:34:54,1,0
实话实说这么就踩一捧一了，说话要有自己的判断啊，社会充满参差，有的人不敢承认，还不允许其他人提出来，不是很荒谬吗,2021-10-24 12:08:57,0,0
回复 @漫烟大剑 :qs。我说踩一捧一不好只是为了防喷[OK],2021-10-24 14:20:08,0,0
稚晖君！电信真神！！[打call],2021-10-24 19:34:01,0,0
