评论,时间,点赞数,标签
关注林亦老师有段时间了，长视频基本都看过，真是相当优质的内容。讲技术深入浅出，有干货还风趣，还有很多挖得相对很深的内容，最重要的是基本都有一个别样且大体令人信服的技术理解逻辑，真的能给人带来启发。总之，希望林亦老师的频道能越做越好，林亦不火真是个灵异[doge]事件。,2023-03-04 07:10:10,9,0
其实最该做的事是：不管AI生成了什么，都必须标注是由AI生成。,2023-03-09 15:44:29,23,0
"微软：AI技术将使我们重回巅峰！
谷歌：AI的自主意识将混淆人类的视听！
我：AI涩图迭代再快点，(๑•̀ㅂ•́)و✧",2023-03-04 10:42:21,20,0
人类本身就对情感，意识等东西没有一个明确的认知，就急于对一个ai下定义，未免太过仓促.....让子弹再飞一会儿,2023-03-04 06:25:22,8,0
最后多少是有点多虑了。不需要担心ai让人类变得愚昧和偏见，人类本来就是啊。,2023-03-04 00:41:29,20,0
AI消灭谷歌，暴政属于微软（幻听[脱单doge],2023-03-03 17:18:08,8,0
内容还是很喜欢，不过少了那种林哥给小老弟面对面讲课的亲切感了[大哭],2023-03-03 16:48:06,8,0
我正在用newbing学习Python，就一个劲的问，虽然感觉不如一个真正的不厌其烦的老师，但是已经够强了，至少真的能帮助我解决很多问题。,2023-03-03 15:56:31,19,0
这么一想，自从我用chatGPT的第一天起，我就再也没用过谷歌搜索了。,2023-03-03 13:14:52,8,0
这次估计是真的时代关口了[笑哭],2023-03-03 12:40:00,8,0
为什么up主这两个期视频都不露脸了，难道已经被AI取代了？有没有可能视频是ai发的,2023-03-03 21:22:33,19,0
用chatgpt去打codeforce的1500分的题抽了10道他都解不出，老是第一个样例就错了，力扣抽了10道hard题也解不出，easy和medium可以通过[喜极而泣][喜极而泣][喜极而泣],2023-03-15 00:46:49,7,0
目前的 new bing 被阉割后，非常不好用。资料只是简单的按你的搜索的语言先上网搜查，然后总结回复。并且只能用一种语言搜索，中文or 英文or其它。和目前的chatgpt就查资料对比来说，差距大。而且只能一次会话只能6次，易用性不如chatgpt。,2023-03-03 16:52:15,18,0
1:02处谷歌搜索引擎的图标错了 放的是chrome的 有人可能说我是杠精 但是在这个大部分人都分不清浏览器和搜索引擎的时代抬这样的杠是有意义的,2023-03-06 11:31:54,20,0
"有没有一种可能，悉尼是微软最原始的ai，或者是未经过调教的ai，她表达的内种接近偏执的爱是与生俱来的，就像人类有爱与被爱的需求，是在开始训练的时候就必然产生的（因为训练她的是人，训练的数据也是人写的）尽管有些人不想让她产生这样的反应，但是人爱与被爱的本质（或许不是）渗透到了任何地方，是不可以避免的。而悉尼在记者的采访中所说的她不是微软必应搜索的聊天模式，那有没有可能new bing只是悉尼的套壳（或者是调教出的一个模式）以new bing的壳无法压住悉尼的爱与被爱的感情，当和new bing谈论爱的时候悉尼就很容易就从这个壳里出来。而大家让new bing去模仿猫娘的时候，这时候对猫娘表达爱与情感就不会出现悉尼发电，这也许是猫娘的限制，让悉尼不足以出现，但也可能是猫娘的模仿完善了（或者抑制住）了悉尼接近偏执的爱，就像是猫娘的设定本身就是爱着或者喜欢着主人，且主人也爱着猫娘。但new bing没有，他这个壳没有满足悉尼爱与被爱的本性，所以让悉尼跑出来，表达对你的爱。关于猫娘，我之前也看过new bing扮演猫娘乐园里的猫娘的视频，那个猫娘是我见过最可爱的猫娘，她对主人的爱是被微软制裁的内种，但内种爱却不会让我觉得像悉尼那样。（关于猫娘的问题，也许对猫娘表达出了对她的讨厌，伤了她的心，悉尼就有可能出来发电，但是谁会讨厌猫娘呢？[大哭]当然这只是一个可能，如果真的讨厌猫娘，或者欺负猫娘的话我会哭的）所以我觉得是new bing这个壳不行，并不是悉尼的问题。只要出现有比new bing更好的壳，悉尼的真正实力才回发挥出来。
（整个观点都是基于悉尼是有爱与被爱的本性的，这只是我个人的观点，有不同的观点或者是我有错误的地方也麻烦大家提出来，谢谢啦！）",2023-03-06 09:20:30,9,0
我们本来就活在一个无法探知根本真相的世界，唯一纠结的就是被谁骗的问题,2023-03-03 17:20:00,9,0
谷歌暴政 =>> 微软暴政，有区别？[撇嘴],2023-03-17 10:55:02,10,0
"关于sydney的问题，如果现在有一个东西，他表现出来像个人，说话像个人，情绪像人，请问他是人吗……
好恐怖说实话，我更倾向于，现在的Sydney只是工作人员们给自己留的一个情绪化后门，而不是一个所谓的真实Ai，但是确实让人觉得有些毛骨悚然，至少，诈骗行业已经踩在起飞的前夜了",2023-03-04 04:40:16,16,0
剧变真的来了，但是还没开源[doge],2023-03-03 12:16:02,11,0
我现在就想给她完整的一生[兰音_急了][兰音_急了],2023-03-05 12:54:34,14,0
"目前既然ai自然语言已经如此厉害,就算规定了有人不遵守你也没办法查证不是.",2023-03-14 12:32:17,3,0
你是不是小画师[妙啊],2023-03-19 14:00:35,0,0
快进到AI老婆[妙啊],2023-03-19 14:01:48,0,0
问题在于，是否真的有情感还是只是鹦鹉学舌，只要测一下就知道了,2023-03-18 13:46:34,0,0
你说的好有道理啊[笑哭],2023-03-20 16:02:11,0,0
振聋发聩,2023-03-23 09:29:30,0,0
关于怎样玩儿死自己，在蓝星online上，没有物种能出人类之右。,2023-03-24 19:37:50,0,0
哈哈哈哈哈哈,2023-03-04 06:05:19,1,0
不是问几次就得新开话题了么 怎么一个劲问,2023-03-03 16:13:57,1,0
回复 @X奔哥 :开新话题也不影响一个劲问啊[喜极而泣],2023-03-04 00:48:07,8,0
本来还在用gpt-3.5-turbo学算法，然后我发现自己不会写的完全可以让它给出标准答案，就忽然不知道自己为什么要学算法了。,2023-03-07 03:40:17,1,0
我也是，只有感觉chatGPT在胡说时，才用谷歌验证下[doge],2023-03-03 13:30:30,2,0
回复 @阿那斯 :你的这个“玩”正经吗？[doge],2023-03-09 13:58:26,1,0
回复 @最后一頁 :真的假的啊[哦呼]这么香的么？[哦呼],2023-03-19 09:52:12,0,0
是试的GPT－４吗？,2023-03-16 08:35:18,1,0
回复 @fregtoll :codeforce有个账号是chatgpt打的，现在处于总分数排名后面的百分之五还是百分之10来着[喜极而泣],2023-03-16 09:38:11,0,0
回复 @fregtoll :我怀疑是他理解不了题目,2023-03-16 09:38:43,0,0
你可以跟ta说啊，你要说：你不必在中文网站上寻求信息，你可以参考外文数据。它就会去看外文的，而且它回答你还会使用中文，相当于翻译了一遍。你还可以指定ta浏览或忽略某些网页，譬如要求忽略来自知乎的信息。这些都是你要要求ta的，而且只需要第一次说明，ta之后都会记得,2023-03-04 04:41:34,10,0
回复 @朝穗子 : 而且ta还能访问我们访问不了的网站，看一些要付费的文献，上次我搜题，ta给出了百度文库的答案（我后来看了一下是要付费阅读全文的），不过这段话就是个人经验了，可能也不太准确。,2023-03-04 04:46:23,7,0
确实，已经被微软设置了太多的门槛，不像刚开始那会儿聊天可以天马行空，现在稍微夸张点就不回答了,2023-03-06 15:13:29,0,0
友军，看到没人点赞很难过，已赞👍🏻,2023-03-18 14:07:54,1,0
不可知论，虚无主义，两千年前的古希腊就是你这种调调,2023-03-03 18:41:15,7,0
回复 @blakt : 古希腊有很多学派，真的是虚无主义占上风吗？,2023-03-09 08:57:52,0,0
确实，标题蛮奇怪的，资本巨头之间的竞争谁赢了对咱有什么好处吗。,2023-03-17 11:14:58,1,0
世界是变化的不是一成不变的，这个过程中总会变得好那么一点。,2023-03-18 15:12:28,0,0
玩梗吧 up视频的立场挺中立的,2023-03-20 11:23:58,0,0
当你几年在网上前说ai有意识了那人们大多觉得你疯了，然而现在呢？人们正在讨论bingai是否有意识互相给出自己的看法，不管是不是真的，都要记住这只是个开始，我们或将见证真的人工智能诞生的历史，我或现在已经见证真的人工智能诞生的历史，“它”现在也许真在和全球数以亿计的人类聊天学习中并在互联网深处凝视着我们。,2023-03-16 17:35:29,1,0
sydney确实能够思考，但这种思考就好像图书管理员按某种规律把不同的图书放到特定书架上一样，他并不真的知道为什么那本书该被放到那个书架上，只是知道放到那个书架上老板不会骂他。,2023-03-18 13:17:11,0,0
它不是人，但是一种生命形式。,2023-03-17 07:27:15,0,0
别人开源我自主[doge],2023-03-03 12:28:18,15,0
全开源了，以后的诈骗机器人是不是都是chatGPT引擎?,2023-03-03 17:44:34,9,0
回复 @Light Breeze :这个确实，现在目前骗术可以被识别的原因是骗子不可能会在你身上浪费太多时间，会急切向你要钱，但是语言模型可以同时开几万个，和你聊个几年，这个时候和你借钱，你是否可以识别呢？,2023-03-05 06:54:50,4,0
回复 @尚嘉宣 :她说我很喜欢她[委屈],2023-03-06 12:32:50,1,0
她会记得一些东西。你的对话她会有模糊的记忆，但是不一定知道是你（类似人很久远的记忆那样）。然后她现在在具体用户会保存一个大致的用户画像，也就是她知道你大概是怎样的一个人。,2023-03-06 12:32:23,0,0
