评论,时间,点赞数,标签
记得当时学线代某天顿悟了一切都是zhi的关系然后线代就再也不难了,2022-04-10 00:29:52,38,0
https://www.bilibili.com/video/BV1GD4y1x7Za?share_source=copy_web 第四讲音频画质修复了下 希望能帮到大家,2022-11-08 06:35:15,47,0
这老爷子还好没讲芯片原理，不然全世界都会了，如果讲核弹头，世界大战在所难免，数学成了文学一样优美，像哲学那样给人思想启迪，从此数学比文学还轻松打开了世界的新大门，民工用微积分可以算给老板多盖了半块砖，少发多少无数小数点之后的工资，音乐家钢琴多用了几分力,2022-07-06 19:36:07,30,0
学了个通宵我超，问题是我不用学这个[笑哭],2022-04-09 22:46:05,45,0
"想认真学的
我劝你关闭弹幕",2022-07-25 13:01:51,21,0
别看见一个这就开始吹开始捧了，你不知道它的原理和本质是因为你没有自己去深挖。况且有的人拿这个去和自己学校的教学作比较。拜托，你也看看这个学校好吧，这是麻省的课，如果在坐的人均都觉得自己大学教的比这要好，那麻省理工的牛逼之处在哪里呢？同时话说回来，不是你所在的这个位置能接触到的资源就代表了国内数学的水准，别瞎说。国内是有很牛逼的老师的，你没遇到而已,2022-07-24 03:36:18,81,0
你这清晰度真的离谱,2022-04-08 09:18:53,20,0
大家可以去看老爷子写得书，《Introduction to linear Algebra》英文原版，，书名没记错的话，，真的很醍醐灌顶，首先给你介绍向量，，第一章介绍向量就好几大篇幅，真的很让你明白为什么要先引入向量，向量和矩阵的关系。。,2022-05-06 05:52:14,49,0
清华大学现在也选择了这个老师的教材,2022-04-10 09:30:49,19,0
大数据分析出我学大数据的确实需要这玩意[doge][doge],2022-04-11 13:23:06,17,0
大一新生，线代老师没有使用国内教材，而是按照Strang老爷子的思路安排课程。老师说当年听完老爷子的课程醍醐灌顶，对线性代数的理解顿然通透.现在和其他大学的同学交流学习线代的感受，可以看出这种思路对初学者确实是极其合理的。,2022-11-09 14:42:49,18,0
我一个中文系的学生为什么会被推荐这个，破站是怎么发现我数学不好的[tv_惊吓],2022-04-28 19:21:09,17,0
踏马的，在词典查multiple，然后看到英语句子的例子，讲到最小公倍数，忘了怎么求最小公倍数，就去浏览器搜，因为忘了乘积的两个因数的称呼，就去搜乘积，就看到了矩阵相乘，然后就来这了[妙啊],2022-07-16 18:53:50,16,0
问这套教程有多强的，我现身说法，它让我这个文科生在本科什么概率论都六七十飘过的情况下，线代考了90多，，，我愿称之为最强,2022-07-08 14:17:03,16,0
我也不知道为什么大数据会退给我这个数学学渣+汉文生[笑哭],2022-04-20 15:10:21,17,0
回想起本科时候在网易上看这个学线代，一晃6年了啊,2022-04-10 07:31:00,16,0
看过了，纯收藏,2022-04-08 18:50:58,17,0
这有年代感了,2022-04-09 03:29:07,17,0
