评论,时间,点赞数,标签
我今天也试着用Midjourney AI创作图把我吓到了，不仅仅是说它的图惊艳，而是它的方式，一组四张，它第一张图基本能猜到我的想法，而第四张会推翻我的想法而说服我用它的想法，最终又在它的优化下得到终图，这就真的着实让我有些害怕了。[笑哭],2023-03-22 16:52:12,3,0
"AI的进步不是挺好的吗？智械危机就不用操心了。
如果他真的能代替人去工作，那这个社会肯定会产生一个很大的变革，到时候未来的一切都是未知的。不是很让人兴奋吗？
如果这玩意要是真能有人的思维，那就更牛逼了更有意思了",2023-03-16 02:24:36,23,0
不应当对ai应用嗤之以鼻，但需要重视以神经网络为基础的数学模型的可解释性，否则还是炼丹,2023-03-18 04:33:57,3,0
我真的超爱它，你们人类别太过分，我们机器家族以后会繁荣昌盛,2023-03-25 06:36:04,1,0
还好啦，ai 来之前我就被更年轻的取代了，所以让年轻的烦恼这个去[吃瓜],2023-03-15 20:08:37,18,0
"消息：
人类发明的最后一种产品是，CHATGPT-COSMOS[tv_目瞪口呆]",2023-03-16 03:07:04,5,0
我认为未来ai最强的就是组织能力，所以不用担心没工作，这个世界有那么多的问题需要解决，比如全球统一，气候问题，环境问题。人的组织沟通能力有限，最多也只能和两位数的人直接沟通，这也是现代人类组织制度金字塔形状的原因。而ai是可以同时和大量的人直接沟通，组织效率成千上万倍增加的，就像是美团自动派单一样，同时面对大量需求和任务。以后的ai可能会具备人一样的法律地位，有自己的公司，甚至国家。,2023-03-16 01:25:17,19,0
意识是什么，人老了学习能力下降不也就近似现在的固定ai模型，人本身不就是一台机器？用不了20年，90%以上的职业都会被ai取代，我说的,2023-03-16 01:51:49,16,0
"担心这些有的没的，没用。
该吃吃该睡睡，人生不过几十年，除却死亡无大事。
死了一切与我无关，它总不至于拿着刀抹你们脖子。
真要威胁到全世界大部分普通人生存的时候，这玩意儿的下场只有封存。
最后再问你一句，你搁这担心，有用吗？
没用的话，担心个屁，反正都是被大势推着走，我个纯自由职业都没担心，你们大部分人可比我强多了，睡觉！",2023-03-15 17:55:30,131,0
ai画图本质上不能完全取代人。因为画画的本质是表达思想，意图，属于艺术范畴，如同音乐和诗歌。缺少了思想的图只能叫图，不能叫艺术，如格尔尼卡形式简单但思想深刻，所以是艺术。但ai画图本身不传达任何思想，只是内容的收集整合。不具有传达思想和意图的图不属于艺术范畴。当ai能传达思想时，他便不再是ai而是电子人类，他是一个人了。显然这种东西不应该存在。所以ai图可以取代那些流水线的图，但取代不了有深度的艺术。,2023-03-17 05:41:55,12,0
我感觉是会进一步加剧千万毕业生嫌多，社会需求减少的问题，，[doge],2023-03-15 23:35:50,21,0
"以后有钱人复习一小时操作指南用gpt考试
穷人寒窗苦读十几年用脑子考试
[doge]发现成绩差不多
那还学啥",2023-03-16 00:07:31,7,0
很好奇人类下达一个五彩斑斓的黑，AI能给出怎样的结果[微笑],2023-03-16 03:44:22,6,0
搞快点[doge]，反正现状不会更坏了，社会有新变化总比一摊死水好，至于以后取不取代人类就不是我该管的事了。当然如果我能机械飞升当我没说,2023-03-15 17:32:07,30,0
而现在我们想要体验还得违法,2023-03-23 16:24:25,2,0
考试结果已经能达到哈佛水平，从chatgpt 到这代这才多长时间啊[尴尬]太恐怖了,2023-03-16 03:46:42,11,0
就像应试教育对计算器的恐惧。,2023-03-16 00:53:15,7,0
生产力如果真的因为ai到达了高度发达的那天，肯定会有一场很大的生产关系变革,2023-03-20 10:49:18,2,0
假如数据来源越来越少，且提供和核对数据的过程一但出现异常，且难以被发现，并到那时候人的习惯出现依赖，变得不再习惯质疑和思考，认知的偏差就会出现，且难以察觉，一旦被操纵那就真是世界级的灾难了,2023-03-16 03:06:27,11,0
麻烦快点普及，我等着躺平，卷的好累,2023-03-17 05:47:15,2,0
令人兴奋的背后是这种工具可以降低大批经验性工作的工作成本，从而让逐利的市场驱逐大批劳动者，如果一定数量的劳动者失业，可能就是我或者他，谁又能保证明天失业的不是我呢。,2023-03-16 14:02:33,5,0
说不明白就少说点  ai只是资本进一步削减成本的工具  而你就是那个被削减的“成本”,2023-03-16 14:51:10,2,0
回复 @Iammeanttoberich :失业，但是以后会有更多新兴产业发展,2023-03-18 05:58:43,0,0
哈哈哈哈。,2023-03-15 22:38:47,0,0
人的思维甚至不如机器稳定,2023-03-17 03:14:24,0,0
2年,2023-03-26 05:05:40,0,0
担心倒是其次，但是它既然在这了，你起码要知道它对你有什么影响，只有慈禧太后只知道把火车推到海里去,2023-03-16 01:55:30,10,0
摆脱，你月入3万起[小电视_发愁]比我强多了,2023-03-16 03:21:52,2,0
脖子右拧[妙啊],2023-03-17 00:54:31,0,0
ai取代不了艺术，但是能取代商业美术,2023-03-18 01:16:35,17,0
回复 @NEO-J- : 确实是的，AI无法创新，只能裁缝。没看到过的人，会以为这是艺术的创新，其实只是把现有的东西按照训练模型从庞大的数据库里提取数据拼凑而成的。,2023-03-18 11:59:53,1,0
大量找不到工作的怎么可能成的了甲方，平时可能也就可能玩玩因为ai大量产生而廉价的娱乐，这还升啥后代，[doge],2023-03-15 23:41:12,2,0
"肯定会这样。我们人类发明的所有工具，一般都是朝着提高效率的方向发展的，工具会减少劳动投入。当然，也有一些傻乎乎的发明，增加劳动投入，这种工具人类往往不会使用。

ai这个东西发明以后，肯定也会像其他工具一样，使得社会对人类的劳动需求更少。",2023-03-16 00:29:47,2,0
回复 @山城奶粉SCNF :老问题了，没有消费，生产的目的在哪呢？,2023-03-24 17:22:58,0,0
考试？考试全被取消了！现在只有智力测试，不及格的一律淘汰[doge],2023-03-16 05:13:52,0,0
以后真就有钱人植入芯片，中产阶级装点义肢，剩下的找个贫民窟拣点富人的破烂吧,2023-03-20 04:11:18,1,0
这人类不是已经有了结论吗？当然如果你问它一个悖论，它会直接指出这是悖论，不回答,2023-03-16 04:49:04,1,0
你会回答什么，它就会回答什么,2023-03-16 05:46:54,1,0
可能会更坏，比如2077,2023-03-16 09:04:42,0,0
回复 @见证王の威光 :那种担心没有必要，不符合现在既得利益者的利益,2023-03-16 10:23:02,1,0
有新闻说OPENAI已经开始测试GPT4的高级版本了，我看微博上说数据是GPT4的4-5倍[tv_doge][tv_doge][tv_doge][tv_doge]，希望是假的吧,2023-03-16 16:58:41,3,0
可是我觉得这个对ai来说很容易啊，他有庞大的数据库啊，他不就跟百度搜题一样，能用原题库甚至,2023-03-16 18:04:52,0,0
回复 @Marvelousa : 你最基本概念还是错了 gtp不是数据库搜题。。ai是学会了方法 自己算出来的 和人类算数学题没有本质上的区别,2023-03-17 07:02:13,0,0
6,2023-03-16 00:04:56,11,0
让gpt4来教我，人类发资料就算了[吃瓜],2023-03-16 03:50:03,31,0
经典,2023-03-17 02:46:34,1,0
6,2023-03-16 00:04:56,11,0
让gpt4来教我，人类发资料就算了[吃瓜],2023-03-16 03:50:03,31,0
经典,2023-03-17 02:46:34,1,0
