评论,时间,点赞数,标签
C语言没基础的话，看这个会劝退,2021-07-29 10:21:03,10,0
up主，这课程的资料没找到啊，关注公众号了，没看到对应的资料,2021-07-20 10:25:24,4,0
嵌入式开发，从入门到入土,2021-07-19 03:19:34,4,0
非常感谢up，这个思维导图对刚入行的小白有了非常系统和直观认知[给心心]一键三脸了,2021-07-18 11:53:03,4,0
宝藏up冲,2021-07-13 13:53:37,4,0
日志框架19行报错的是因为buf是变长数组，VS和C99之前的编译器都是不支持的。可以修改成下图这样。,2023-02-06 07:07:01,4,0
[大笑]刚入行嵌入式快半年，看完感觉自己要继续学的东西还是挺多的，也感谢up的免费指点，三连加关注了,2023-01-24 07:05:45,4,0
up能不能说一下学嵌入式要先学哪些基础课程，我就学了js，c忘得差不多了。,2022-07-27 16:01:54,4,0
机械工程的液压方向研二学生开始学习，之前可能唯一的基础就是玩过51开发板，目标毕业进个小公司做嵌入式工程师,2022-04-05 07:21:09,8,0
22届毕业生在这集合[吃瓜],2022-04-01 06:55:37,8,0
up主，公众号找不到视频中的思维导图了，比如1.基础接口思维导图，2.主控和模块的接口，还有3.主控间通信接口的思维导图，以及freertos的思维导图呀，up能分享下吗？,2022-03-27 07:42:04,5,0
uop能配个字幕吗？倍速播放听的有点不清[大哭],2022-05-22 12:13:51,4,0
请问应届生学完这些可以去实习了吗,2021-12-29 05:42:35,7,0
爱了爱了,2021-08-14 16:46:26,7,0
up主你好，想问问你可以分享一份视频里面，你的结构图笔记吗？,2021-07-21 07:09:26,2,0
up，我准备做智慧大鹏，用kell。这个课程匹配吗[脱单doge],2023-02-03 03:58:37,2,0
看了几节课，感觉只不是从零开始，而是在你有一定的c基础，对嵌入式有那么一点了解的前提下，进行学习的。不然你都不知道他在讲什么，在干什么，为什么要这么去做，看起来就会很吃力。,2022-10-20 01:52:24,2,0
感谢学长，非常受用！里面相关的presson的流程图在哪里获取呀？可以分享吗，求指路[脱单doge][脱单doge],2022-08-21 10:13:16,2,0
可以用vs code + platformio代替keil5吗？,2022-07-21 03:23:42,2,0
