评论,时间,点赞数,标签
那让它算上通胀再试试呢[doge],2023-03-06 08:31:57,4,0
我问得多少他告诉我得28[微笑][微笑],2023-03-06 07:36:37,2,0
假如一个人一东的收入是一个大锤，那么他挣一爽需要多少坤,2023-03-06 17:45:08,1,0
加一碗苏格兰面条多少钱，不要卤子[傲娇],2023-03-06 04:44:41,7,0
"00:27 省流：100

但是确实牛逼，这是赵丽蓉老师的经典啊！",2023-03-06 09:54:21,5,0
渣渣辉玩了几坤年传奇？,2023-03-07 11:40:14,1,0
微软还不给我哄这玩意,2023-03-06 01:51:59,3,0
直接嘿Siri，答案比你这快多了[doge],2023-03-06 11:41:47,2,0
1450狂喜啊[吃瓜][吃瓜][吃瓜],2023-03-06 06:51:25,1,0
妈妈生的,2023-03-06 06:46:58,2,0
这小逼崽子自己算错了还嘲讽我？[脱单doge],2023-03-07 07:13:13,1,0
问它一爽可以买多少份宫廷玉液酒[doge],2023-03-06 08:50:21,1,0
"他会搜，所以相当于开卷考试
只是说明他的现场理解能力已经达到了足够的水平",2023-03-23 15:29:51,0,0
都学会抢答了[doge],2023-03-06 07:12:29,1,0
我都忘了这两个梗了[笑哭],2023-03-06 01:07:52,7,0
"答:宫廷玉液酒与大锤线性无关，故答案为【宫廷玉液酒 , –大锤】",2023-03-21 00:59:02,0,0
"“我是来自北方的网友，我想问”
“等等，宫廷玉液酒减大锤等于多少”
“100”
“老外别来碰瓷”
老外百思不得其解，赶紧问了一下路人。
路人:“你是不是有什么大病”[doge]",2023-03-06 11:03:51,1,0
一百,2023-03-07 02:46:57,0,0
wc难不倒它,2023-03-06 09:54:16,0,0
刚刚用百度自带的ai试了一下，回答和视频里的一样，好像是有这个数据库的。,2023-03-15 03:28:18,0,0
上面有个楼层说了，一百八十AI理解为108，减去80就只剩28了,2023-03-06 08:15:28,0,0
怎么能不要卤子呢，不差钱，卤子要双份[吃瓜],2023-03-06 07:19:38,2,0
不要面[给心心],2023-03-06 08:25:12,1,0
再加仨辣根[doge],2023-03-06 06:52:42,0,0
回复 @___----_____ :写材料不要太好用[doge],2023-03-06 05:41:45,0,0
回覆 @抒情专辑 :用来玩确实贵，不过用来工作就很便宜了，毕竟一个adobe全家桶，几w,2023-03-06 05:11:15,0,0
回复 @抒情专辑 :对于有工作需求的，一个月20刀也不算很离谱，毕竟是生产力工具,2023-03-06 04:34:15,0,0
回复 @赤雅 :难以想象80 90后能忘 哎[辣眼睛],2023-03-08 04:02:08,0,0
回复 @杨教授的电击枪 :[呲牙]确实确实，我 89 年的还是偏年轻了些，忘了也正常,2023-03-07 23:38:19,0,0
回复 @杨教授的电击枪 :[呲牙]确实，我 89 年的，年纪有点偏小了,2023-03-07 23:37:23,0,0
