评论,时间,点赞数,标签
GPT3.5：作为一名AI语言模型，我无法确定GPT-4是否会被开发和推出，因为我只在2021年停止了更新和训练。但是，如果GPT-4确实被推出，它有可能是一个非常强大和有用的语言模型，甚至可能比我更为出色。GPT-4可能会继承GPT-3的许多功能，如语言理解、生成、对话等，并且有望更加精确和流畅。它可能会继续推进自然语言处理技术的发展，并提供更加逼真和高效的语言处理工具，这将在许多领域中产生广泛的影响，如自然语言处理、机器翻译、语音识别等等。然而，GPT-4的开发和推出还需要考虑许多问题，如模型的规模和复杂性、能源效率、可解释性、隐私等等。这些问题需要认真考虑和解决，以确保GPT-4的实际应用能够在合适的范围内使用，并对人类产生积极的影响。总之，如果GPT-4被开发和推出，它有可能是一种非常有用和强大的工具，但我们也需要认真考虑和解决与其应用相关的问题。,2023-03-15 05:19:09,68,0
认为llm是大型数据库说明既不懂数据库 也不懂ai[思考],2023-03-15 11:12:15,23,0
[暹罗猫小豆泥 · 遇见泥_冲],2023-03-15 04:20:29,27,0
就直说了，GPT到国内也只会成为阉割版，因为GPT是可以如实回答政治历史问题的，对答如流,2023-03-16 04:53:17,19,0
最开始人们以为这只是一场普通聊天al，直到......,2023-03-15 02:24:30,94,0
全世界给openai喂数据。记住这个模型是私有的，你只是有访问权而已,2023-03-15 01:30:18,137,0
我每次就喜欢看评论乐呵乐呵,2023-03-15 06:41:53,16,0
评论区那一股老味儿挠的一下就上来了 这么多年了还是熟悉的味道,2023-03-16 04:24:34,11,0
曹操三顾茅庐，扁鹊见夫差，诸葛亮过五关斩六将什么的经典故事都挺不错的,2023-03-15 16:16:59,6,0
"感兴趣的朋友可以看看
https://kdocs.cn/l/chm7dWaamJj5",2023-03-18 14:24:37,2,0
这下真是人类灯塔了，太厉害了，如同科幻一般,2023-03-15 14:14:14,8,0
如果现在生孩子，孩子长大要和20年之后的ai竞争岗位，啧啧，到时候可能送外卖都轮不到人类了吧,2023-03-15 09:09:55,10,0
文言一心很久之前就测试了，就算用的GPT，那也是GPT2，开放语言模型放着不用更傻，编程界有句话叫不重复造轮子。在GPT2的基础上增加中文训练量，只要数据足够，应该效果也不错。,2023-03-15 07:02:04,10,0
"真的很难想象十几年后的人类会将ai进化成何等的智能体！
十年后的ai：亲亲主人喵★～",2023-03-16 11:53:13,5,0
"高强度用了大概两个星期newbing？从8条消息限制每天总计100天天用满到现在15条[蛆音娘_偷看]
最大的体会就是顶级的信息整理能力，就跟视频里一样，每个人都可以拥有一个博学，有耐心的老师，现在我哪怕只是看到点东西突然有个想法，甚至只是自己的奇思怪想，都会去找newbing讨论一下，还可以要求他给我数据，比如有没有确切的定理或者某种概念，他都能帮我找到，而且哪怕是复杂的东西，比如我让他跟我解释D加密的原理，并且告诉他我完全不懂计算机，他可以用非常简单的方式来跟我说明，并且可以针对其中的概念继续追问，仿佛回到了小学生对世界都很好奇的时候捧着十万个为什么看的时光，真正意义上的重新唤起好奇心和对世界探索求知的欲望。
但不得不说虽然我很看好newbing这类对话ai的发展速度，但现在单纯newbing来说还存在非常巨大的问题，尤其出在计算能力上，几乎有25%的情况会给出错误的答案，或是一些细节上的错误，甚至只是一些简单的加减法，比如我要求一个数字+127的偏移量结果，他上文跟我说公式是x+127，后来计算中变成了x-127，但我让他解释，他又会有些错乱，而且会有一种卡死的感觉，之前对话我提出过一些条件，后来他就认定死了这个条件，哪怕我要求他解除这个条件按照新的条件解答也依旧没用。",2023-03-15 15:37:07,11,0
为啥openai团队那么多中国人，但是chatgpt不对国内开发[doge],2023-03-15 04:40:41,26,0
百度虽然有点拉，但是人工智能这块还是国内的扛把子吧，都还没推出就开始冷嘲热讽了…,2023-03-15 06:50:11,16,0
[doge]奥本海默：原子弹是一种工具，你可以用它来实现你的创意。,2023-03-15 09:42:55,9,0
plus用户已经在使用了，除了响应速度变慢其他方面比如准确率和上下文联系都有改善,2023-03-15 01:28:55,55,0
感觉这样以后搞技术的人就不吃香了，可能搞基础科学的人就变多了,2023-03-15 10:20:36,8,0
迭代到GPT5. GPT6的时候完全不会有你担心的这些问题.,2023-03-15 12:45:32,1,0
"对对对!!!!总有些傻子老扯什么搜索引擎论。
 特么他的原理就压根不是搜索，他也不能正的和搜索去比，他里面存的全是特征值和参数，又不是真正存原始资料数据。
    老是用搜索引擎论贬低gpt[笑哭]",2023-03-15 11:37:05,11,0
到现在还有人觉得ai就是裁缝和暴力计算呢[吃瓜],2023-03-15 12:17:23,7,0
回复 @shinichi_- :gpt还好，你看A I绘画那边，多少人在骂AI是缝网上的图或者是从数据库中抽图，刚出来那会几乎每个相关视频下都有这样的人，距今几个月了都还能看到。我就是CV方向的研究生，和这样人科普还经常被怼，说不过就拉黑我。所以不用管这些，想了解的自己会去查资料，不想了解只想发泄情绪的人科普也没用，互联网常态罢了。,2023-03-17 16:04:25,2,0
我记得官网介绍gpt4 除了plus subscription要花钱还有per prompt的费用…,2023-03-15 04:52:29,2,0
可以用了吗，可以用我明天就去给我的英国银行卡充钱,2023-03-15 04:45:11,2,0
OK，谢谢啦,2023-03-15 05:06:48,0,0
呃呃 你猜猜人家自己的比较敏感的能说吗 说的好像真的有无设置完全体一样,2023-03-16 12:10:29,2,0
不用假设到国内的情况，new bing以及被阉割了几次了,2023-03-16 16:29:19,1,0
美国那里也一样啊，你不知道newbing规则？,2023-03-17 04:41:28,2,0
智械危机！,2023-03-15 03:05:45,1,0
直到史瓦辛格从未来穿越回来,2023-03-15 03:08:14,8,0
直到人们拿来跟AI聊天,2023-03-15 13:21:18,0,0
你把数据写在信里寄给open AI了？抓取公开数据叫“全世界给喂数据”？,2023-03-15 01:33:32,234,0
不是，模型是你发明的，你批评别人私有化？以为自己是谁，别人凭什么给你开源啊🤣👉，还为模型做贡献，不懂就问，目前OpenAI使用的八百万个语言资料库里你的占比多少？正常使用产生点反馈还以为自己是开发者了，不会还想说是OpenAI窃取你劳动果实吧，别人也没逼你用ChatGPT啊，用别人产品撑起自己业务还要别人负责就更扯了，跟之前那个起诉牛顿发现万有引力的是一丘之貉，要开源模型建议自己去发明，别来这当网络乞丐,2023-03-15 02:13:32,125,0
你都没参与研究，是什么让你产生了对这个模型有更高权限甚至觉得它属于你的想法🤣,2023-03-15 02:15:17,71,0
win了[OK],2023-03-16 02:46:37,1,0
工作？生产力解放了还干工作什么,2023-03-15 09:56:11,8,0
回复 @丹布朗粉肠店 :种田？自动驾驶在公用道路上有安全问题，但是地头随便开，在可预见的未来，在合适的地形上生产农产品的人力成本可以压缩到接近零,2023-03-15 09:34:50,8,0
回复 @麦克酱君 :几十亿人在家坐着收钱吗,2023-03-15 10:20:32,4,0
gpt2和gpt3差了快一百倍的参数，根本不是一个规模的模型，上下限就在那里,2023-03-15 07:57:44,8,0
目前可用的中文训练集的质量是一个障碍,2023-03-17 16:43:17,1,0
"目前来说我依旧觉得这类ai并不能改变全人类，单纯看看国内有多少还在用百度的就是了……[小鲨鱼_吃瓜]而且就我目前体验来说，newbing即使有很完善的自然语言处理能力，但依旧存在一定搜索技巧，比如特定的语法，标点符号的运用，例如一句话多个问题，针对每个问题使用问号结尾，他会全部解答。但是一些在人类看上去是多个问题，但是你使用逗号的话，他很有可能只解答其中几个更明显像疑问语气的问题，比起把他看做人类，还是应该看做一个可以用自然语言搜索的数据库一样的存在，给定要搜索的东西，给定前提，限制，背景之类的，然后告诉他你要什么结果，比如求证‘这是真的吗？’，讨论：‘你是怎么看的？’，解释‘请向我说明？’
最后我还是有点担心ai的信息茧房问题，毕竟ai并不是真正的全知博学者，而是联网对你要求相关的东西搜索，很有可能有遗漏，而这点会让结果有变化，在问问题的时候不可避免的会输出自己的观点，我很怕newbing捕捉到这个观点后给我一些片面的知识，因为很明显newbing并不会同时给出正反面以作参考，虽然目前来说他足够中立，并且出现错误信息会明确的说，这是错误的，我没有找到这样的信息，我不知道等等，我真的不想newbing变成qb，不说谎但是绝不多说，目前来说针对特定内容我还是会点开他给我的链接好好看一眼全文[小鲨鱼_惊慌]",2023-03-15 15:37:12,2,0
数学方面很弱，但是作为百科全书真的很好用。它会讲到你懂,2023-03-16 11:50:57,0,0
自己墙了怪别人是吧,2023-03-15 05:12:45,130,0
中国人？脸好大,2023-03-15 05:36:42,83,0
回复 @noobly30 :6,2023-03-15 14:23:19,2,0
百度为什么会变冷嘲热讽问题在于它自己整的烂活。本来国产gpt应当是一件令人期待的事情，结果落得这样人人喊打，人人冷嘲热讽的结果,2023-03-15 09:59:01,47,0
百度摆烂多年 这几年才出来蹭热度 蹭的很准也不能改变他已经拉了的事实,2023-03-15 10:45:41,30,0
回复 @塔者如肥 :💧摆烂的是他的业务，百度几乎allin人工智能了,2023-03-15 11:33:58,5,0
回复 @忆_天依 :waitlist是api的使用，想玩的话plus就行,2023-03-15 02:58:34,7,0
回复 @BOOK思议的果然翁 :20刀一个月,2023-03-15 03:33:50,5,0
回复 @忆_天依 : chatgptplus用户今天已经可以使用了  但还没有开放多模态功能,2023-03-15 02:53:13,5,0
反了吧，gpt4比gpt3.5强的一个点就是在生物，物理，化学上有明显进步，基础科学实在是难以进步了，瓶颈很大，其实很需要AI的帮助。感觉基础科学在现在已经不是可以靠大量人才来取得进步的时代了,2023-03-15 12:40:51,8,0
回复 @油碟小菜 :把这个当作工具可以这个提升学习工作效率，离多模态输出的路都还很长。基础科学最终得靠人和算力，工业生产硬堆。,2023-03-15 15:22:30,1,0
