评论,时间,点赞数,标签
很多都是现有技术的整合，但是整合出了一个大招,2023-03-23 16:11:02,3,0
想知道这个可以试用了吗，本打工人这个周末有事儿干了,2023-03-24 05:48:48,2,0
ai生成图不再是魔法召唤，全过程随机，而是全过程可把控,2023-03-22 22:23:41,14,0
反正里面用户协议也增加用这个作图默认被PS拿去炼，版权混乱时代要来临咯[doge],2023-03-23 00:33:22,14,0
这东西以后用的地方太多了，但是现在算力严重不足,2023-03-23 08:46:33,4,0
你们学了麻烦用对行业，别卷死自己了，还害了其它行业，工资还越来越低。设计师都拿着文员的工资。不就是打印机吗？,2023-03-25 00:51:18,1,0
"在18岁高考完选专业时，绝对不要想：“选什么职业都一样，反正行行出状元”
每个行业都能出个天花板，关状元之外的人没什么事 （就是职业之间根本不平等，比如疫情下的旅游）

能坚持下去的只有两个原因，两个都没有就毕业即转行了

1.用爱发电，如游戏开发
2.报酬高，如警察、卷烟厂

不推荐因为想学什么而选专业，或者我高考英语分数高所以我选这专业，而是因为工作而选专业
爱好现在就能做，并不是选了这个专业才能做（比如日语，绝不推荐日语当职业）

某个工作要这个专业，所以我选这个专业 √
我选这个专业，因为这个专业好！X

如某人想当工程师
逛了下招聘网，发现其要求为：计算机，XX六级
然后才开始根据该职业要求选专业

比如电竞， 官方举办比赛，比赛有奖金，为了图奖金才有人电竞，看到有人想图奖金就有人收学费教电竞，这就是行业的发展了
是我要奖金才电竞，而不是被别人教电竞好

如果察觉到自己“我好像喜欢XX”
没搞清就选的话，你喜欢的不是那个职业，而是你想象中的那个职业

看到个专业【游戏艺术设计】，想学游戏策划，结果重点是艺术，是一个天天画素描写真的美术专业

解决方法：
1.找该专业课程表，看【慕课】的网课体验下

2.招聘网看待遇要求【如某职业直接不招男/女，且看要求也能找方向专精】 （工地不招女生，那为啥土木招女生）

3.问已经上班的上班族，【一定要多问，两眼不闻窗外事是绝对错的】

4.豆瓣的后悔小语种小组等

如果是因为分数要求低或者父母选的专业，也是毕业即转行 

（为了上好学校选了个垃圾专业，花了四年时间，最后一看，转行了，但是学历提升了（比如因为分数要求低选电商）

大学最大的缺点就是培养多面手，考完就忘，工作一天能顶学校一年
一年时间学了四个，就算每天都学，平均下来每个也就学了三个月
结果只用到了其中一个，还不如专精学四个月的

【唯一的解决方法就是实习，最好大一就实习，这样就知道自己要干什么了】
如编程，是选择电脑还是手机？网页还是软件？

疫情和双减之后，不推荐【文科】和【艺术】，主要是【师范历史旅游英语日语服装设计产品动漫社会学管理电商新传】【理科不推荐：生化环材食品心理学农学药学游戏】
以及任何在被撤销的专业",2023-03-23 12:42:10,5,0
又一次被美国降维打击了，道阻且长啊,2023-03-23 14:53:06,2,0
以后显卡就是硬通货了,2023-03-23 14:59:24,4,0
如果大家都用同一套Ai方案，生成出来的图不会雷同吗？设计的版权呢？,2023-03-24 12:03:32,1,0
