评论,时间,点赞数,标签
画出来的图片很糊要怎么变清晰啊[大哭],2023-02-24 05:21:03,0,0
我用的protogen2.2，然后canny模型，如果拍的人物全身，距离比较远，脸会崩，有啥好办法解决吗？,2023-02-24 01:33:55,0,0
我用这个模型只能出古神,2023-02-23 12:57:30,1,0
为啥我安装上不是欧美风女人,2023-02-21 15:35:56,0,0
10年前毕业的林肯学长飘过，加油...,2023-02-17 19:03:20,0,0
然后还有5.3和5.8，这些新版会更好用吗哪个老哥用过,2023-02-16 09:44:43,0,0
有个问题，为啥我把下好的模型粘到models-steable diffusion文件夹里以后，画图的时候切换模型里没有我新添加的模型啊,2023-02-15 05:09:08,0,0
那个画图像照片的是哪个模型,2023-02-12 19:04:03,0,0
对显卡有要求么,2023-02-12 15:33:02,0,0
求助，为什么我在本地部署了stable diffusion选择模型后生成的图片没有风格化，生成词和模型网站上是一样的，但生成的图有点像novel ai,2023-02-10 00:37:44,0,0
为什么，我使用对比文档里同样的模型和词条数据，得到的图和UP大大不一样嘞？？[捂脸][捂脸],2023-02-09 09:57:50,1,0
这个是什么web ui 为啥我下的stable-diffusion是白色的界面,2023-02-09 02:52:41,0,0
protogenV22Anime_22.safetensors，前几次正常使用，再用几次好像就调用不了这个模型了是怎么回事？,2023-02-08 09:40:20,0,0
up想问一下这个模型有没有需要配套的vae模型，还是可以直接用自带的vae模型[tv_微笑],2023-02-04 12:39:21,0,0
请教up一个问题，为嘛我更新到最新版的webui后使用safetensors模型生成的图片是噪声图片？使用ckpt格式的模型就正常出图,2023-02-02 08:33:09,0,0
可以nsfw吗？,2023-01-29 08:30:26,0,0
up，请问视频里面展示的几张prompt是什么,2023-01-26 12:26:00,1,0
我看huggingface已经有5.8版本了，是2.2和3.4同一版的升级吗？,2023-01-24 23:23:21,0,0
求助，Stable Diffusion 2.1 本地绿色汉化版 ，求助，我安装了 python-3.12.0a4-amd64、PortableGit-2.39.1-64，运行 显卡显存8G+.bat ，出现了个窗口，几秒后一闪就没了，什么原因啊,2023-01-24 17:19:15,1,0
现在什么模型画二次元最好？,2023-01-24 08:58:31,0,0
换显卡,2023-03-10 08:38:09,0,0
把崩的图片在webui里放大两倍，再传输到重绘，填入之前的正反tags，用蒙版把崩的脸画一下，重新脸部,2023-03-20 06:00:58,0,0
要刷新一下,2023-02-15 11:07:33,0,0
回复 @人工治障 :刷新也没有，是啥问题啊？,2023-03-06 03:11:45,0,0
><,2023-02-09 11:22:45,0,0
设置里面可以设，可以跟着系统设置进黑夜模式,2023-02-09 03:04:35,0,0
可以轻度,2023-02-03 14:10:02,0,0
单独下载 2.2是基于animate训练的 3.4和5.8更接近真人效果,2023-01-25 01:12:50,1,0
回复 @人工治障 :谢谢大大答复,2023-01-25 16:15:26,0,0
这个文件放SD里识别不了啊,2023-01-11 16:19:55,6,0
更新到5.3了,2023-01-12 01:58:13,3,0
回复 @去码头整点薯条637 : 同样识别不了，不知道是识别不了，还是电脑配置原因，无法选中这个模型,2023-03-15 06:10:40,0,0
这个文件放SD里识别不了啊,2023-01-11 16:19:55,6,0
更新到5.3了,2023-01-12 01:58:13,3,0
回复 @去码头整点薯条637 : 同样识别不了，不知道是识别不了，还是电脑配置原因，无法选中这个模型,2023-03-15 06:10:40,0,0
