评论,时间,点赞数,标签
纸啊嗯嗯嗯,2023-03-20 04:28:21,0,0
去啊他妈的ai🤠,2023-03-20 08:50:13,1,0
照着你的思路ai不把你当人，难道ai不会避障吗？路上奇奇怪怪的东西那么多识别不出来是什么东西就直接往上撞是吧,2023-03-14 05:20:43,2,0
所以要多模态模型,2023-03-14 08:26:28,0,0
这都识别不了，就别叫AI,2023-03-20 09:08:10,1,0
ai会进化的，时间问题,2023-03-14 13:09:09,0,0
有时候故意选错一个他也让我过了[tv_目瞪口呆],2023-03-14 16:14:38,0,0
又不是强人工智能，想做坏事方法可太多了,2023-03-14 09:18:51,0,0
咱就说这跟自动驾驶汽车AI算法也不一样啊,2023-03-14 10:41:57,0,0
这个玩意怕不是七八年前的了，但凡考虑了mask都不会是这么方方正正的识别结果,2023-03-20 09:45:00,0,0
这不跟雷达一样吗？只要杂波够多我就能隐身[doge],2023-03-14 17:10:31,0,0
这种一次更新就解决了，但是肯定会有新的攻击手段[doge],2023-03-14 06:16:47,1,0
今天被干扰，明天就不一定了,2023-03-14 10:04:49,0,0
有个特殊案例就是一张白车在车尾绑了个红布结被识别成路障。,2023-03-14 14:44:15,0,0
每个算法的处理都不一样 训练程度也不一样 完全没有可比性,2023-03-14 08:18:00,0,0
现在赶紧学学，以后ai进化成天网了好自保[doge],2023-03-14 15:01:08,0,0
离谱～雷达干嘛的摆设吗,2023-03-20 05:16:02,0,0
去年特斯拉不就把全部自动驾驶的输入全改成摄像头了吗，我总是觉得那样不安全，结果年底他们自己又改回来和雷达共同输入了[捂眼],2023-03-14 14:11:09,0,0
数码迷彩是吧,2023-03-14 03:02:48,1,0
特斯拉就是纯摄像头,2023-03-14 21:31:24,0,0
攻击完了ai直接连你这有个物体都识别不出了,2023-03-14 10:23:46,0,0
ai可以生成深度图，对大部分干扰不敏感,2023-03-14 05:56:00,0,0
