评论,时间,点赞数,标签
总功耗多少？,2023-03-24 11:48:03,0,0
如何驱动？,2023-03-24 02:39:50,0,0
起飞,2023-03-23 17:26:45,0,0
哥帮我算个流体力学的数值解，我电脑太垃圾了跑不出来。,2023-02-19 11:05:50,1,0
可以打游戏吗,2023-02-18 10:29:24,2,0
等十年后我收一张,2023-03-19 03:01:31,0,0
深度挖矿,2023-03-16 11:46:38,0,0
这个排这么密不会影响散热吗？,2023-02-19 04:54:24,1,0
这是干啥用的，服务器吗？,2023-02-19 03:27:28,0,0
这个算力跑出来的色图有每秒24帧吗[脱单doge],2023-03-15 08:40:23,0,0
八块一个？,2023-02-18 13:44:05,1,0
好奇这电源怎么搞？服务器好像最大2400w电源，还是说外置？,2023-03-12 17:03:47,0,0
[蛆音娘_生气]显卡姬只有两分钟的时间，我要给显卡姬完整的一生！,2023-02-20 06:56:31,1,0
v1抬轮 [doge],2023-02-18 13:27:54,1,0
现在有4090的Turbo了？是自己改的吗？怎么采购,2023-03-07 17:40:31,0,0
涡轮4090哪里有,2023-03-07 11:55:53,0,0
什么主板,2023-03-06 12:14:30,0,0
请求起飞！,2023-03-08 16:09:29,0,0
什么是深度学习,2023-03-07 23:12:27,0,0
我想给奥密克戎完整的一生,2023-03-07 23:10:42,0,0
人工智能,2023-02-19 08:11:38,0,0
给你画瑟瑟的好东西,2023-02-20 06:59:33,0,0
