评论,时间,点赞数,标签
已经迭代到第几代了？（错乱[doge]）,2023-02-13 11:34:19,1,0
所以，是你小子把天网引到这儿来的?,2023-02-13 10:58:58,0,0
AI提前玩一个游戏几百遍或许可以找到很多bug并修复[doge],2023-02-11 20:45:27,0,0
emmmm把斜坡堵门不好吗,2023-02-11 19:38:51,0,0
这个bug有点吓人啊，真不小心能把人间接毁灭了,2023-02-11 12:50:26,0,0
如果小红和小蓝上来就躺平一动不动，就该轮到观测者懵逼了[doge],2023-02-09 04:58:49,1,0
ai如果可以被逼迫，某种意义上ai已经踏入智能范畴了，只需要植入一点混沌[doge],2023-02-07 14:15:05,0,0
"机器比人类进化快，更无情更高效。
人在吃饭睡觉情绪化。
AI时时刻刻都在学习。
人类，已经被淘汰了。",2023-02-07 12:21:28,0,0
我咋几个月前看过一模一样的，好像是油管那边大佬做的,2023-02-07 08:41:24,0,0
小红能叠罗汉翻墙吗[doge],2023-02-06 13:20:13,0,0
这小兰是怎么明白被小红碰到是它要极力避免的事呢,2023-02-06 08:39:24,0,0
图恒宇和图丫丫也这样被AI当做电子宠物用来学习人类,2023-02-06 04:51:43,0,0
滴！英特尔开发人员专区在科技区百万视频下打卡成功！对于人工智能感兴趣的小伙伴，英特尔开发人员专区提供了更多的学习机会，欢迎关注[打call],2023-02-05 11:17:24,0,0
"那一天,我睡觉醒来,AI突然跑过来刀了我.",2023-02-05 09:42:42,0,0
总有人认为一串代码就能诞生意识，高中唯物史观白学了是吧。。。,2023-02-05 07:06:37,1,0
可以用AI做各种违法的事情,2023-02-05 06:37:19,1,0
我觉得可以让环境复杂一些,2023-02-03 10:15:43,0,0
想被惩♀️罚,2023-02-03 10:10:19,0,0
就算没工具了 小红可以把另外一个 小红抗到肩膀上呀,2023-02-02 10:37:28,1,0
那就不是几百万次能解决的了,2023-02-03 10:52:16,1,0
