评论,时间,点赞数,标签
你都已经享受视频的红利了，不把别人的论文和代码发出来，我不是很赞同,2023-01-31 08:18:23,16,0
踩过的地方，没踩之前扣出来，遮盖掉踩过时的画面是不是这样,2023-01-31 06:59:44,4,0
谷歌开发的算法真是牛逼,2023-01-31 04:23:29,12,0
不由得联想起8位游戏机里的贴图思路,2023-01-31 03:06:30,4,0
这没人@阿力木？[doge],2023-01-31 02:50:55,4,0
突然感觉我们后期压力好大[笑哭]…,2023-01-31 06:19:13,12,0
现在让我们看看国内曾经和谷歌一起发家的百度在干嘛？,2023-02-17 13:32:33,3,0
什么都能伪造之后，世界将没有证据,2023-02-01 09:39:58,3,0
在哪里可以让我用到这个技术呢？,2023-01-31 17:31:11,3,0
有部英剧 叫真相捕捉 19年的讲的就是这个  可以去看看,2023-01-31 12:23:14,8,0
得，以后造谣传谣的人更有底气了。,2023-01-31 05:34:52,12,0
"我以为这样的技术已经早实现了，只不过是需要好点的cpu,gpu [doge]",2023-01-31 03:10:35,13,0
这是我一直想要的[星星眼],2023-01-31 03:01:32,3,0
pr2023新功能类似于是这个,2023-01-31 02:58:43,8,0
the correction[脱单doge],2023-01-31 02:50:55,3,0
我看成，能让人类完美的消失掉，[doge],2023-01-31 02:39:02,9,0
这个软件叫什么,2023-01-31 02:34:53,3,0
新版攻壳：这我熟[doge],2023-01-31 02:33:32,10,0
科技生产，工业生育。,2023-01-31 02:24:03,3,0
这个算法模型有试用吗,2023-01-31 01:47:45,3,0
会侵犯版权[微笑],2023-02-01 08:35:14,2,0
回复 @Ldiya :我就是说ai，一个视频就更等于很多张画，跟处理画的方法一样,2023-01-31 08:35:40,1,0
对于静止画面来说可以这样，但是我想如果镜头是跟随移动的话，人力工作量就太大了，还是要用到ai,2023-01-31 07:26:07,1,0
那可不，用几千万人测试AI,2023-01-31 04:57:53,5,0
请让证明你不是机器人,2023-01-31 05:02:21,4,0
回复 @潘朵拉2007 :请选中石头带有红花的照片之外的城市风光照片[脱单doge],2023-01-31 07:08:02,2,0
[doge][doge],2023-01-31 06:25:48,0,0
"不止谷歌和百度。
比如最近chatgpt，我们国内根本就做不出来。
别人一开源，就满地都是。",2023-02-18 05:59:40,2,0
在卖广告位,2023-02-17 21:32:55,2,0
😆😆,2023-02-17 15:33:39,0,0
哪个新功能？可以指一下路吗,2023-01-31 07:07:18,0,0
很刑啊[doge],2023-01-31 02:49:27,0,0
