评论,时间,点赞数,标签
后端开发方向，自己的游戏本用Windows + WSL2就基本满足了我现阶段的所有需求，等未来赚钱了再换MacBook Pro 16，Linux感觉还是适合只用命令行。,2023-03-18 14:52:19,5,0
买了一台mac一年多了用起来还是不习惯，而且还变卡了,2023-03-18 15:17:04,2,0
"真的是改善我对Mac的印象，也是把所有系统的问题优点都讲清楚的up了[笑哭][打call]
还有都有大学生了用win的话基本都会玩了吧，那些p2p下崽器什么的应该没那么容易中招了吧[doge]何况有火绒啊，大神的反流氓软件脚本之类的都能保驾护航。最关键的是咱们学计算机的怎么能用软件管家呢[脱单doge]当然是去找官网了，多高大上啊[脱单doge][吃瓜]",2023-03-19 05:08:48,2,0
m1的mac总有些奇奇怪怪的问题[tv_白眼],2023-03-18 14:34:38,3,0
本地有开发环境就行，没有就自己搓一个[doge],2023-03-18 13:46:22,6,0
win需要折腾，我刷了个精简版的，禁用更新就没蓝屏过。,2023-03-18 13:57:44,2,0
想用mac然贵[吃瓜][吃瓜][吃瓜],2023-03-18 13:28:51,3,0
家里台式win，工作生产macbook。各司其职，工作归工作，娱乐归娱乐。,2023-03-18 13:47:03,4,0
都来，一样一个，再开个云，齐活,2023-03-18 13:52:27,3,0
我认为是linux[脱单doge],2023-03-18 13:33:46,3,0
就一个capslock++在Mac上收费让我果断弃mac投win,2023-03-25 12:36:18,0,0
win+虚拟机对初学者已经够了[OK],2023-03-18 13:50:30,2,0
平常比较喜欢看视频，感觉一般的播放器都比较卡，有没有快速的播放器细讲一下[doge],2023-03-20 05:58:55,1,0
我选择Ubuntu[doge],2023-03-18 13:27:55,7,0
学编程建议多看书多敲，玩具整的多厉害都没用,2023-03-20 01:04:27,1,0
鱼皮能聊聊chatgpt吗[微笑][微笑][微笑][微笑],2023-03-18 13:43:15,1,0
直接用linux,2023-03-19 16:25:21,1,0
Linux,2023-03-18 13:29:14,3,0
做为新手，我管它Win还是Mac，能联网打开Google drive，colab，stack overflow就行，我估计Chromebook 都够用了[傲娇],2023-03-19 21:34:32,1,0
要跑xcode和unity只能都要了[嗑瓜子],2023-03-19 16:44:52,1,0
Win+wsl2完全够了，换mac反而有些需求无法覆盖,2023-03-18 17:27:04,0,0
好兄弟，分享一下[喜欢],2023-03-18 14:02:45,0,0
回复 @程序员鱼皮 :无所谓是不是精简版，只要禁用更新就好了。微软官方客服有说怎么禁用自动更新。等白天回我一下，我发链接给你,2023-03-18 16:37:10,2,0
回复 @程序员鱼皮 :https://answers.microsoft.com/zh-hans/windows/forum/windows_10-update/%E5%A6%82%E4%BD%95%E5%85%B3%E9%97%ADwin10%E7%B3%BB/9b324287-0453-4af6-9bc0-0b221ef476f2,2023-03-19 03:49:26,1,0
我才不会说其实我网站都做好了，结果账号被封完了[笑哭],2023-03-18 13:55:50,1,0
学生党建议直接入手win，这可以降低学习成本，一、购买电脑少花钱；二、可以和老师保持一致的开发环境。Mac等你工作再换也不迟，不过Mac本也可以直接双系统，安装也简单，家里经济实力好的随便入手，没关系的，Linux就无所谓了，虚拟机或者云服务器太容易得到了。,2023-03-19 16:33:29,7,0
打卡，学习韩顺平JAVA高级铁铁，,2023-03-21 10:32:26,0,0
老鱼啊别再叫人学程序了，还要从娃娃捉人。。。让他们去种地吧,2023-03-24 06:53:45,0,0
学生党建议直接入手win，这可以降低学习成本，一、购买电脑少花钱；二、可以和老师保持一致的开发环境。Mac等你工作再换也不迟，不过Mac本也可以直接双系统，安装也简单，家里经济实力好的随便入手，没关系的，Linux就无所谓了，虚拟机或者云服务器太容易得到了。,2023-03-19 16:33:29,7,0
打卡，学习韩顺平JAVA高级铁铁，,2023-03-21 10:32:26,0,0
老鱼啊别再叫人学程序了，还要从娃娃捉人。。。让他们去种地吧,2023-03-24 06:53:45,0,0
