评论,时间,点赞数,标签
pdb居然有人用？ide不香吗[喜极而泣],2023-03-14 16:28:02,1,0
一脸懵逼[喜极而泣],2023-03-18 07:08:15,0,0
这段经历上简历，跳槽的时候有大用。,2023-03-18 05:30:52,0,0
6666niu,2023-03-17 03:29:38,0,0
能跑就行[妙啊],2023-03-15 11:10:29,0,0
666[热词系列_知识增加],2023-03-15 09:46:43,0,0
牛,2023-03-15 07:05:21,0,0
tqltql[酸了],2023-03-15 14:09:22,0,0
加油 希望你把gil修了,2023-03-16 06:01:39,0,0
天哥牛呀！,2023-03-13 15:14:37,2,0
天哥牛逼,2023-03-13 12:25:56,2,0
大佬[微笑],2023-03-14 16:13:57,0,0
这不就是ll不仅打印，还会执行源代码吗？,2023-03-15 12:50:00,0,0
up声音很好听，技术也是杆杆滴！[小鸟芋圆_好活],2023-03-14 19:03:29,0,0
虽然用的是C#，但也不能忍受一个get居然会修改数据～,2023-03-15 04:09:34,0,0
太强了,2023-03-14 16:15:12,0,0
太牛了，虽然我听不懂，牛就得了,2023-03-14 17:14:29,0,0
假装听得懂,2023-03-14 15:12:21,0,0
说实话有点听不懂,2023-03-13 10:38:52,5,0
求交流群～,2023-03-14 13:25:43,0,0
都到微软了，还要什么别的啊[呜米_呆滞],2023-03-18 18:07:41,2,0
你看过了视频就会明白不是,2023-03-17 07:29:51,0,0
因为某个函数的原因，在使用ll这个功能的时候会导致所有会把所有原始变量复制过来，你在debug过程中所有的局部变量都变成原始的，debug过程中改的变量白改了。,2023-03-13 11:04:01,12,0
