评论,时间,点赞数,标签
在二本当老师教书挺好的吧，小二十万？还稳定,2023-03-20 04:06:43,0,0
我说了我是工程师之后，让我修这修那，还有拉电线，甚至还让我帮他们做个机器人玩[辣眼睛],2023-03-19 06:48:49,1,0
一辈子就干一件事 不腻吗 人生有什么体验感 学校还没待够吗,2023-03-22 03:53:34,0,0
三十五年两千八百万呀,2023-03-19 14:38:25,0,0
chatGPT出来了，还玩前端呀,2023-03-19 15:55:42,0,0
咋说呢，啊对对对，你咋说都对,2023-03-19 15:52:56,0,0
拿三年八十万抵教书一辈子，值,2023-03-17 15:26:02,1,0
天天下班路过滴滴大楼，里面都没什么人。。。,2023-03-19 17:01:38,0,0
80w一年顶别人八年。体制内差不多10年。凭什么瞧不起。,2023-03-20 00:16:13,0,0
一年顶我十年了,2023-03-17 08:38:54,1,0
"年薪百万的程序员逢年过节有人送礼吗？
年薪十万的医生教师，逢年过节肯定有人送礼！
这就是人情世故啊",2023-03-23 13:40:25,0,0
把亲戚优化掉就可以了[OK][2023][滑稽],2023-03-19 15:19:36,0,0
二本教书，社会地位这块你得加钱，人家地位是真的高,2023-03-17 13:59:08,1,0
卧槽，公立学校本科副教授真有人觉得80w年薪比得上啊，我群里拿过120w年薪前端的他都没觉得他比得上，又不是真的能一直拿，他这两年都降薪多少了，还常被pua，现在34准备拼一波公务员。,2023-03-16 23:32:21,6,0
大学老师有的也很累的，论文，考评，项目，一堆事情压着你，连续几年不行就放到行政部当个文员，一辈子看到头。,2023-03-22 15:14:52,0,0
其实亲戚嘲笑你是因为ta既没有体制也没有八十万，所以ta才会说你哪哪不行。不要管他们,2023-03-19 01:54:41,1,0
二本教书也得是个211博士毕业啊，也很厉害啊，虽然确实是赚不到80w,2023-03-20 01:56:54,0,0
一点热爱没有单纯为了钱也很难拿到80w吧,2023-03-20 01:53:55,0,0
大学老师真的是普通人能上的最高阶级了。,2023-03-20 02:21:34,0,0
小镇做题家侃侃而谈，sac,2023-03-22 00:59:45,0,0
这种忙你帮了没人会觉得这是帮忙。你帮人家小孩儿解决入学问题，稍微懂事的感激你一辈子。,2023-03-19 13:40:34,0,0
chatgpt并不会让所有前端失业，但是肯定会使低端前端失业，在前端领域拿到80w，我相信以他的能力不会被裁,2023-03-19 16:40:03,0,0
看吧，赚120w的不影响他考公务员，他甚至硬是拖到34才愿意去,2023-03-19 13:40:26,0,0
经典我知道的,2023-03-20 01:28:54,0,0
回复 @骨头-帮主 :回你一下表示尊重，你爱怎么想怎么想,2023-03-20 03:30:46,0,0
