评论,时间,点赞数,标签
你不可能教真的，就和中国武术一样，就教个外表,2023-03-19 14:28:27,2,0
本来以为是骗播放的，一看好家伙，你来真的啊！阿真,2023-03-19 14:27:40,2,0
这种视频就应该点赞收藏投币三连,2023-03-19 14:26:32,2,0
娟子姐粉丝报到！,2023-03-19 14:26:15,2,0
感谢杨老师，之前跟着学习，Python已经上岸~,2023-03-19 14:26:04,2,0
不是有300集？,2023-03-19 07:54:35,2,0
已三连，学习,2023-03-22 06:17:38,2,0
已三连，学习,2023-03-22 00:26:32,2,0
已三连，学习,2023-03-21 02:27:06,2,0
已三连,2023-03-20 00:59:39,2,0
我竟然一口气看到了1.9,2023-03-19 16:06:24,2,0
好家伙，传道受业，可谓师也。,2023-03-19 14:31:27,2,0
从入门到放弃[吃瓜],2023-03-19 14:31:01,2,0
坏了，他真想教会我,2023-03-19 14:30:50,2,0
你以为发了我就看的懂了吗[doge],2023-03-19 14:30:38,2,0
人在床上躺，技术心中涨[藏狐],2023-03-19 14:30:24,2,0
你猜一个中学生学完该学的东西和学这个相比哪个时间长,2023-03-19 14:29:48,2,0
虽然没看完，但是看起来牛批轰轰的先收藏了[doge],2023-03-19 14:29:10,2,0
欢迎来到《收藏夹吃灰系列》,2023-03-19 14:29:33,2,0
我三连了，我过来看乐子，我有预感这边以后很热闹,2023-03-19 14:28:39,2,0
师傅领进门，修行靠个人,2023-03-19 16:19:11,0,0
阿珍爱上了阿强[妙啊],2023-03-19 16:17:18,0,0
安排,2023-03-19 16:14:43,0,0
集合打卡[打call],2023-03-19 16:14:38,0,0
很高兴对你有帮助,2023-03-19 16:14:29,0,0
嗯嗯，剪辑ing,2023-03-19 13:18:24,0,0
感谢支持,2023-03-22 06:32:01,0,0
谢谢支持,2023-03-22 03:30:37,0,0
感谢支持,2023-03-21 04:53:46,0,0
谢谢支持，一定要好好学习,2023-03-20 03:21:44,0,0
感觉怎么样？,2023-03-19 16:35:48,0,0
[脱单doge][脱单doge][脱单doge],2023-03-19 16:30:40,0,0
贵在坚持[笑哭],2023-03-19 16:29:30,0,0
[脱单doge],2023-03-19 16:24:29,0,0
[笑哭][笑哭][笑哭],2023-03-19 16:21:18,0,0
涨了涨了,2023-03-19 16:21:08,0,0
中学生哪些是该学的呢[妙啊],2023-03-19 16:20:45,0,0
三连才是真情,2023-03-19 16:19:34,0,0
记得回来看看,2023-03-19 16:20:00,0,0
坐等热评[OK],2023-03-19 16:19:00,0,0
