评论,时间,点赞数,标签
强哥的声音很有特点,2023-03-14 08:43:00,2,0
终于等到你[脱单doge][脱单doge][脱单doge],2023-03-14 07:16:19,2,0
爱你😘而且是最新的,2023-03-14 12:38:41,2,0
已学完，真的是太棒了 我开来1024倍数来看的,2023-03-14 07:07:16,3,0
学完了，但是前端已经死了,2023-03-14 07:04:43,5,0
看到此评论，请主动退出去，什么档次，跟我看一样的视频[doge],2023-03-14 14:58:17,2,0
文本资料去哪儿获得啊,2023-03-14 07:13:10,1,0
老师的笔记怎么获得？,2023-03-20 13:00:26,1,0
开卷开卷[脱单doge],2023-03-21 08:18:30,1,0
强哥出品，必属精品～[热词系列_三连],2023-03-14 06:58:16,2,0
笔记哪里下,2023-03-18 12:49:04,1,0
强哥yyds,2023-03-17 02:18:15,1,0
强无敌,2023-03-17 08:01:26,1,0
强哥威武,2023-03-17 05:40:52,1,0
安装完nvm后，再使用npm命令失效。此时nvm已经把我们之前安装的node删了，现在需要重新下载下来，直接再nvm里面下载再使用就可以了,2023-03-22 04:41:40,1,0
正在找一个复习复习，太好了，尚硅谷[呲牙][打call][打call],2023-03-14 08:04:39,2,0
强哥威武，小弟摩拜,2023-03-14 07:38:53,2,0
10天学完，直接去大厂，干掉后端程序员,2023-03-14 11:50:29,2,0
"相对路径如果使用不好,问题还挺多的[笑哭]",2023-03-17 05:39:46,1,0
今天是打卡成功的第二天，继续努力吧,2023-03-17 04:17:34,1,0
前端死的都是初级或者接近中级的程序员，高级一直都缺,2023-03-14 17:10:09,2,0
回复 @良米良米 :你去招聘软件投几份前端简历，再投几份后端简历对比一下就知道为什么说前端已死了,2023-03-14 16:01:33,2,0
虽然但是，nodejs是后端啊，另外你甚至可以用他来写爬虫，我就是朝这个方向学的,2023-03-14 14:23:32,1,0
居然抢我的台词[嗑瓜子],2023-03-18 10:18:34,0,0
公众号：尚硅谷教育，暗送暗号：课程关键词，例如：前端,2023-03-14 08:07:15,0,0
回复 @尚硅谷 :还要对暗号,2023-03-14 09:34:36,0,0
这是受过伤啊[吃瓜],2023-03-18 10:23:23,0,0
