评论,时间,点赞数,标签
p64 建表的时候咋没有 act hi开头的呢,2023-03-03 06:54:25,4,0
已学完，这个老师讲的真他妈的，什么叫抽丝剥茧，循循渐进，不像有的老师一上来就搞最终过程，根本听不懂，而且老师那还有很多面试题，笔试题我都买了，经过一个月的猛肝，终于在美团面试的时候一把过，美团的福利我就不多说了，免费换电瓶和充电，不说了老板叫我出餐了。,2023-03-01 13:09:11,3,0
已学完，找不到实习，毕业即失业,2023-02-28 13:14:52,5,0
又有新的项目可以卷，尚学苑才刚开始，纠结要不要从这个新项目开始[辣眼睛],2023-02-28 12:34:36,6,0
"已学完，说一下自己的感悟：（
1、教学重难点突出，板书条理清晰。教学步骤设计合理，由浅入深，循序渐进。
2、教师基本功扎实，知识讲解准确，教学设计合理，始终以学生为主体，自主学习，小组交流讨论，上台交流展示等形式，师生配合默契，取得了较好的学习效果。
3、教师教态自然，语调亲切，并不断鼓励学生，充分发挥学生的主体作用。使学生在和谐融洽的课堂氛围中学习，推进了知识的掌握和智力的发展，达到了良好的教学效果。
4、教师准确的把握了设疑的方向，调动了学生学习的兴趣，使学生进入积极的的思维状态。
5、教师组织课堂教学效果好，语言清晰，能注重学法指导，培养学生的创新能力，问题设计富有启发性。
6、教学环节设计安排清晰明了，过渡自然[doge]",2023-02-28 06:59:53,13,0
"p42: 如果有同学树形结构没有被勾选 , 把  getCheckedIds那个方法改一下:
 getCheckedIds (auths, initArr = 【】) {
        return auths.reduce((pre, item) => {
          if (item.select && (item.children == null || item.children.length === 0)) {
            pre.push(item.id)
          } else if (item.children) {
            this.getCheckedIds(item.children, initArr)
          }
          return pre
        }, initArr)",2023-03-15 02:26:27,2,0
看完了，还不错，已经入职美团了。先不说了，要超时了,2023-02-28 06:57:26,14,0
已经学完了，前后端分离项目非常好。并且花了三分钟再学了一次,2023-02-28 07:43:45,4,0
这资料要去哪里找到呀[脱单doge],2023-02-28 13:52:22,1,0
网上都是在制造焦虑，实际上根本没那么严重，我普通二本，一年经验，上海面了8家，拿了4个offer，最高22k，最低17k#(太开心)  #(太开心)  22k是外包，还有个20k的自研可以考虑一下，不说了，明天还要两个面试，#(太开心)  #(太开心)  寒冬年年有，年年都是计算机，结果计算机工资不是还是轻轻松松月入过w， xdm，有一说一，现在不学JAVA，以后就没机会了，趁着现在的红利，狠狠的赚一笔,2023-03-01 16:31:25,3,0
尚硅谷《云尚办公》教程资料在哪里下载，网盘没有,2023-02-28 07:57:41,2,0
居然有工作流！！！！！找了好久[给心心],2023-02-28 15:44:04,4,0
已学完，非常适合新手学习，目前已就职美团，不说了，爆单了,2023-02-28 07:35:33,4,0
看完已经入职美团了，月薪10k+，不说了，来单了。,2023-02-28 10:00:03,4,0
学完啦，就很nice，直接入职美团[星星眼][星星眼][星星眼],2023-02-28 07:50:25,3,0
完结撒花,2023-02-28 06:58:23,3,0
学不完根本学不完[辣眼睛],2023-02-28 07:26:45,5,0
学完了，拿到了大厂offer，一单三块[doge],2023-02-28 12:50:44,3,0
前端看着好像若依,2023-02-28 12:14:52,3,0
加油,2023-02-28 13:50:15,1,0
回复 @java程序员菜鸟 : 修改的时候数据不回显怎么办,2023-03-22 02:56:22,0,0
回复 @大无穷鸡翅 :前后端分离开发，你在B站搜下尚学苑[doge],2023-03-01 09:52:19,0,0
回复 @吾日自省 : 这个是前端项目还是后端呢 感觉很前端啊,2023-03-01 09:45:20,0,0
回复 @java程序员菜鸟 :尚硅谷19年底的项目[嗑瓜子],2023-02-28 13:53:49,0,0
[tv_doge][tv_doge],2023-02-28 07:14:20,0,0
公众号：尚硅谷教育，暗送暗号：课程关键词，例如：SSM项目,2023-03-01 01:53:48,0,0
回复 @c-lipp :你们还真信啊，这是java圣经，反讽的，现在卷得很,2023-03-09 13:53:30,1,0
回复 @韩老魔cc :没办法，已经要被优化了[辣眼睛],2023-03-10 01:51:08,0,0
能透露一下公司吗？,2023-03-09 02:41:59,0,0
回复 @尚硅谷 : 没有相应的文档,2023-02-28 13:47:31,0,0
回复 @尚硅谷 : 不对啊，我回复云尚办公系统给的资料不对,2023-02-28 11:26:04,0,0
回复 @晓苏看世界 :公众号：尚硅谷教育，暗送暗号：课程关键词，例如：SSM项目,2023-02-28 08:33:31,0,0
入职了传说中的java大厂，羡慕了[doge],2023-03-01 10:06:56,0,0
签到打卡，一起学Java，懂的,2023-03-14 16:16:08,0,0
签到打卡，一起学Java，懂的,2023-03-14 16:16:08,0,0
