评论,时间,点赞数,标签
一键三连了[脱单doge],2023-03-13 10:02:39,2,0
我在想ai能不能识别ai诈骗[脱单doge],2023-03-13 06:21:08,2,0
想问一下ai训练声音只要用普通话干声吗？还是方言也可以？,2023-03-13 06:39:10,1,0
多训练一下是不是歌手也不用自己唱了,2023-03-13 04:02:52,1,0
阿哲 你这已经慢了一个多月了[tv_白眼],2023-03-13 09:02:22,3,0
是不是可以训练洛天依,2023-03-16 09:57:00,1,0
做问卷6年了，稳定一天4张左右，但是需要电脑有点枯燥[笑哭],2023-03-14 06:23:30,2,0
老杰克，咱就是说能不能弄个类似语雀这样的，公众号有时候看个内容想再翻看就不见了，b站你更新的有点快[doge]没法天更，GitHub没有魔法可太慢了,2023-03-22 10:22:04,1,0
雾里看花就总是觉得神奇无比,2023-03-13 18:45:39,1,0
让我想到周深与邓丽君合唱那会，是代唱，有ai算法后能大量模拟邓丽君了,2023-03-21 08:26:10,1,0
已三连,2023-03-13 08:43:52,1,0
这个也太棒了  可以用自己声音听唱的好是一种什么感觉,2023-03-15 21:38:11,1,0
这样我是不是可以让我喜欢的歌手唱歌给我听，比如我的1000多位二次元老婆[脱单doge],2023-03-15 17:04:33,1,0
？上来就唱歌 不好吧,2023-03-13 07:34:26,0,0
感谢up指导小偷公司实现转型升级[脱单doge][笑哭],2023-03-13 04:57:09,1,0
已经三连了，[打call],2023-03-13 07:44:08,1,0
[支持][支持]ai generate，ai图像生成，up是目前看过唯一一个翻译正确的，ai小鬼都喜欢夸自己是ai绘画，我寻思美国人也没说ai draw啊……,2023-03-14 12:30:22,1,0
赞！求源码~[呲牙],2023-03-13 03:58:55,1,0
默认都是10000epochs吗？我每跑一个epoch都是70秒左右，大概算了一下要8天，这也太久了吧[笑哭]还是说不用这么长,2023-03-16 08:00:47,1,0
懂了，这下kunkun可以学会唱所有的歌曲了[打call],2023-03-13 09:24:47,3,0
是时候研究一波，ai detect ai技术了,2023-03-13 09:00:29,0,0
应该是可以的,2023-03-13 09:01:45,0,0
创作不行，翻唱目前可以一试,2023-03-13 05:36:32,0,0
你这些视频标题是懂革命的,2023-03-13 09:46:55,0,0
自己人,2023-03-13 09:02:56,0,0
牛,2023-03-13 05:23:34,0,0
他们也有很专业的，不用我科普[笑哭],2023-03-13 05:33:48,0,0
今天晚些发出来～,2023-03-13 04:07:10,1,0
哈哈哈 我要跑12天,2023-03-16 09:42:18,0,0
素材量多少那么快？我3080速度差不多就400s/epoch[笑哭],2023-03-16 15:17:38,0,0
回复 @聖代橋氷織激推し : 一个小时的,2023-03-16 18:24:13,0,0
我直接三连加关注,2023-03-13 10:00:51,2,0
佛祖受我一拜,2023-03-13 11:21:52,3,0
你们搞算法的脑子就是不一样，有点牛批,2023-03-13 14:11:30,2,0
我直接三连加关注,2023-03-13 10:00:51,2,0
佛祖受我一拜,2023-03-13 11:21:52,3,0
你们搞算法的脑子就是不一样，有点牛批,2023-03-13 14:11:30,2,0
