评论,时间,点赞数,标签
"JMeter添加 添加请求头、JSON断言
添加请求头
authorization

2.添加JSON断言",2023-01-10 16:47:20,9,0
"【P25无法启动】
解决方案：hm-dianping项目下载到本地导入后，不仅要修改yaml配置文件，还需修改config下的RedissonConfig配置类，改成自己的redis地址，同时加上端口号，就像下面这样
config.useSingleServer().setAddress(""redis://192.168.89.100:6379"").setPassword(""123"");

可能视频中的项目这个时候还没有RedissonConfig这个配置类，所以不报错",2022-08-09 07:32:09,7,0
有一说一，虽然我一直是某硅谷的忠实粉丝，但是这次redis的课程，黑马真的吊打某硅谷啊,2022-05-10 07:14:34,7,0
"mac 前端导入  
1.安装 nginx 
2.使用brew info nginx查看 安装目录和配置文件的目录
3.把资料的nginx-1.18.0.2里的html文件夹直接覆盖到 nginx的安装目录的HTML文件
4.把资料的Nginx-1.18.0.2里的conf文件夹里的nginx-conf文件 覆盖 你安装的nginx的配置文件里的nginx-conf文件 
5.sudo nginx -s reload重启nginx 再去访问就成功了。",2022-10-14 11:31:19,19,0
"P50:添加优惠卷
{
    ""shopId"": 7,
    ""title"": ""100元代金券"",
    ""subTitle"": ""周一到周日均可使用"",
    ""rules"": ""全场通用\\n无需预约\\n可无限叠加\\不兑现、不找零\\n仅限堂食"",
    ""payValue"": 8000,
    ""actualValue"": 10000,
    ""type"": 1,
    ""stock"": 100,
    ""beginTime"":""2022-07-26T15:40:00"",
    ""endTime"":""2022-07-26T23:40:00""
}",2022-07-26 07:46:47,32,0
"这里做了一下基础篇和实战篇的笔记，需要的兄弟萌可以来看看，如果对你有帮助的话，可不可以把这条评论顶上去[脱单doge]
Redis基础篇：https://cyborg2077.github.io/2022/10/21/RedisBasic/
Redis实战篇：https://cyborg2077.github.io/2022/10/22/RedisPractice/",2023-01-19 03:32:51,17,0
通过单元测试获取1000个登录token,2023-01-05 11:08:56,6,0
当你觉得听完之后什么也没学到 认为自己很废物 时 请你不要妄自菲薄 因为我之前学习springboot也是这样 有的时候 听一遍教程 顶多有了一遍印象 实际做项目的时候 反而遇到以前不懂的地方 变得豁然开朗了就,2022-11-19 10:31:39,17,0
哇哇哇，p33登录后又返回登录页是啥情况啊，我要哭了[大哭],2022-09-03 08:23:44,6,0
"{
    ""shopId"": 1,
    ""title"": ""100元代金券"",
    ""subTitle"": ""周一至周五均可使用"",
    ""rules"": ""全场通用\\n无需预约\\n可无限叠加\\不兑现、不找零\\n仅限堂食"",
    ""payValue"": 8000,
    ""actualValue"": 10000,
    ""type"": 1,
    ""stock"": 100,
    ""beginTime"": ""2022-08-09T10:25:01"",
    ""endTime"": ""2022-08-10T10:25:01""
}",2022-08-09 02:53:30,23,0
本人的博客基于本视频redis，后续会有该视频无bug源码的分享：https://blog.csdn.net/weixin_43715214/article/details/125505311,2022-06-28 09:03:23,6,0
"30P 31P 登录后,直接返回index页面的话,估计是myConfig也就是配置拦截器的类,没有加上注解@Configuration;不知道是不是我没注意,老师好像没在视频加,奇怪了.",2022-03-22 08:04:16,6,0
为啥前端登录后没有me路径的请求一直在登录页面,2022-03-13 07:36:08,6,0
