评论,时间,点赞数,标签
[doge]还好我关注的是小黑子，不是我还不关注,2023-02-19 10:13:22,12,0
99%的老板想招的都是这些人：一是低薪高能（性价比高），二是纯粹服侍好老板的无脑低价工具人（相当于做保姆打杂的），三是真正在行业有地位有声誉的大佬（没多少公司能请得起，给不起那个钱），四是应届毕业生（相当于不用发工资，上面有补贴，当免费工用了几个月就踢）,2023-02-25 15:23:04,1,0
鱼皮还是那个小黑子,2023-02-19 10:11:24,13,0
后面门上贴的是啥,2023-02-19 16:49:32,2,0
这期干货，你币有了！,2023-02-20 10:44:19,2,0
如果，学校不太行，有没有什么机会去实习[tv_呆][tv_呆]大二,2023-02-21 00:45:34,1,0
小黑子是吧[doge],2023-02-19 10:41:53,4,0
鱼皮鱼皮，等一个你的chatgpt开源项目！,2023-03-02 15:09:49,1,0
对不起up主你跳的那一段舞蹈我以为是肩颈复健[tv_笑哭]哈哈哈哈最后才听出来是啥,2023-02-20 11:36:33,2,0
请问一下我已经学完了ssm+springboot，还写了两个项目，可以开始找实习了吗[笑哭],2023-03-04 11:40:36,1,0
鱼皮6级666分太6了，是ikun学习的榜样[doge]。,2023-02-20 10:29:04,1,0
我投简历全是培训机构找我[大哭][大哭][大哭],2023-02-19 11:28:43,5,0
我都没有简历，没实习，直接毕业半年后去了厂子当检验员[滑稽],2023-02-22 15:14:47,1,0
能帮我改改简历吗？鱼皮，我是很菜很菜的那种，实在没得写,2023-02-19 23:48:33,1,0
更新啦！,2023-02-21 12:20:50,1,0
关皆黑,2023-02-19 10:56:14,1,0
鱼皮，我是一位二本信息管理与信息系统的大一学生，我们现在学C#。我打算走编程方向的，我是继续学习C#还是去学JAVA，Python呢，后续的学习也很迷茫,2023-02-26 11:20:10,0,0
谢谢鱼皮,2023-03-19 16:17:59,0,0
人在美国，今年大三，想问up在国外具体要怎么多参加竞赛，多做项目呢？,2023-03-21 01:32:40,0,0
想知道大家现在投实习都是在哪里投的简历呀，是都在官网投的吗[tv_委屈][tv_委屈],2023-02-19 13:15:40,3,0
回复 @小影子R :[doge][妙啊],2023-02-19 13:54:38,0,0
是的，我昨天发现我关注的一个不是，我反手取关拉黑了[doge],2023-02-19 13:28:17,0,0
[脱单doge],2023-02-19 10:11:31,0,0
不知道[脱单doge],2023-02-19 17:41:33,0,0
机会是要自己争取的，多自学做项目，就有机会,2023-02-21 16:27:04,0,0
没有哈，这个是mock示例数据,2023-02-21 16:24:21,0,0
我是销售来找我[大哭][大哭],2023-02-20 13:01:23,1,0
回复 @枫叶红人归否 :同病相怜[大哭][大哭][大哭],2023-02-20 16:30:27,0,0
https://yupi.icu，一对一问答+改简历+项目,2023-02-20 01:09:50,0,0
精辟,2023-02-19 11:03:16,1,0
后端开发java，爬虫/数据分析/大数据/AI 等 python,2023-02-26 12:25:34,0,0
boss直聘，实习僧或者是官网上都能投[doge],2023-02-19 22:25:14,0,0
问一下，大学如果去报网络安全或者信息安全，这两个专业未来就业前景怎么样？考公和考研会好一点吗？[思考],2023-02-21 10:24:10,5,0
回复 @我的剑123 : 看技术吧，谁能想到三年前互联网大厂火热，三年后就互联网寒冬了,2023-03-08 11:22:48,0,0
upup，我想了解一下，就是每个人都有从零开始找第一份实习的过程，在我实践经历没那么丰富的时候我应该如何想办法破局呢，或者说是up在前期大概是怎么破局的[疑惑],2023-03-10 04:05:48,1,0
问一下，大学如果去报网络安全或者信息安全，这两个专业未来就业前景怎么样？考公和考研会好一点吗？[思考],2023-02-21 10:24:10,5,0
回复 @我的剑123 : 看技术吧，谁能想到三年前互联网大厂火热，三年后就互联网寒冬了,2023-03-08 11:22:48,0,0
upup，我想了解一下，就是每个人都有从零开始找第一份实习的过程，在我实践经历没那么丰富的时候我应该如何想办法破局呢，或者说是up在前期大概是怎么破局的[疑惑],2023-03-10 04:05:48,1,0
