评论,时间,点赞数,标签
这个是哪里口音？湖北？,2023-03-01 18:26:55,0,0
拼多多搜索麦克老师算法课，很好,2023-02-23 07:12:08,1,0
感謝老師，講解很詳細，又很容易理解,2023-02-12 11:40:51,0,0
感觉算法题只要掌握150道最经典的，推荐一下blind75,2023-02-08 04:41:17,0,0
@陌微阳 突然给我推送了这个[惊喜]我也看不懂,2023-02-07 13:58:29,0,0
靠算法题大二进字节后端实习了,2023-02-05 09:50:38,0,0
还是得多练,2023-02-03 15:37:17,0,0
[tv_白眼][tv_doge],2023-02-02 03:17:19,0,0
普通牛马谁学这么多啊？（我学我学）[doge],2023-02-01 08:20:41,0,0
声音太轻了,2023-01-31 11:51:56,0,0
这么好的视频，就这播放量，真是可惜,2023-01-29 07:03:01,0,0
一个月学会算法，拜托收起你那一套忽悠人的一套吧。学算法是一个循序渐进的过程，收起培训机构那套吧,2023-01-28 01:41:20,0,0
太牛逼了,2023-01-25 10:21:29,0,0
哇哇 氛围到这了,2023-01-25 02:54:52,0,0
和我预想的差不多、,2023-01-24 20:58:11,0,0
进我收藏夹吃灰吧,2023-01-24 08:27:42,0,0
看视频的都是聪明人,2023-01-23 03:36:10,0,0
先收藏，希望这次别吃灰了,2023-01-22 12:07:11,0,0
就没有用C啪啪的嘛[藏狐],2023-01-22 07:35:03,0,0
o（n）要读成窝een ?,2023-01-20 12:14:49,0,0
有没有一种可能。只有普通牛马才会学的多[藏狐],2023-02-02 16:37:01,1,0
