评论,时间,点赞数,标签
还有人赚这种钱？还有人被这么赚钱？[吃瓜],2023-02-18 10:43:14,0,0
@高兴就不喝水,2023-02-18 13:42:54,0,0
你为么清楚,2023-02-18 14:10:03,0,0
看见一个d一个,2023-02-16 16:20:23,0,0
毕业论文呢，以后是不是不用写了,2023-02-18 23:39:21,0,0
短信不要钱是把,2023-02-18 15:13:05,0,0
致敬韩寒,2023-02-18 09:56:19,0,0
这要是说点有的没的，会不会被记录下来泄露出去。,2023-02-18 22:06:52,0,0
……利用现成的轮子，结合QQ机器人，搭一个GPT聊天机器人10分钟不到。,2023-02-18 21:15:09,0,0
6月1号直接全死，Plus可不是20美金的月费，还有别的费用。,2023-02-16 19:41:55,0,0
可是我想用没有通道啊。。所以黄牛能赚钱,2023-02-18 12:52:31,0,0
为什么技术类网站都要封锁,2023-02-18 03:47:33,0,0
这竟然还能赚钱，身边的人全在玩ChatGPT所以我一直以为是用的人多所以回复慢，原来是有人在做镜像,2023-02-18 14:50:30,0,0
早被封了,2023-02-16 11:20:13,0,0
最大的财路还没来😄。国内啥时候开始搞gpt！他们的钱就会源源不断的进到c和chat的钱包！这场给中国市场留的杀猪盘快开始了,2023-02-19 16:58:06,0,0
这能力 这精力 研发一个不行吗 总是投机取巧,2023-02-16 14:33:57,0,0
挺好，我们负责搞房地产和白酒，那些烧钱的科技产业就让他们做把，直接“拿来”用就好了,2023-02-20 07:34:43,0,0
我不认为小程序会流行起来[吃瓜]，有用户基数没错，但我还是不看好这个东西，总感觉很别扭,2023-02-18 03:30:13,0,0
干啥用的,2023-02-17 19:24:22,0,0
纠正一点，openai不是免费，是赠送18美金额度。按理来说如果名字不侵权，大概率不侵权吧。,2023-02-18 02:08:48,0,0
大论文还是建议自己写吧哪天万一查重加入检测ai调头回来查你论文,2023-02-24 15:03:34,0,0
B站随便搜就有教程，已经出了一个月了，要真关注这玩意，就多看多了解,2023-02-22 01:37:20,0,0
人家那边直接给你封死了[滑稽]你拿中国的手机号注册不了,2023-03-05 03:31:24,0,0
谁封了？人家自己限的,2023-02-19 23:06:55,0,0
一百万个脚本小子也别想研究出GPT,2023-02-16 17:29:49,0,0
回复 @归终-_- :有没有这样一种可能啊，浏览器输个网站就行[脱单doge],2023-02-18 12:16:18,0,0
回复 @归终-_- :多少年了一直不温不火的，也就那样了还大势所趋,2023-02-18 11:46:15,0,0
你觉得别扭罢了，没人喜欢在手机上多下一堆软件，小程序是大势所趋,2023-02-18 07:15:39,0,0
