评论,时间,点赞数,标签
不是年纪大干不动，而是年龄歧视。你的大任务难任务耗时长的任务，在老员工的手下，人家分分钟干掉。三十五岁以上就成了老年人了，必须下岗！这是什么用人逻辑？企业、社会为此损失多大，产生多大的内耗？？,2023-02-14 22:59:27,0,0
不要瞧不起任何岗位的人。因为她有可能是大拿在家闲的帮她儿子或者女婿看公司的[doge],2023-02-14 19:24:02,0,0
演的,2023-02-14 17:12:09,0,0
这就是你的未来，你想到了吗？,2023-02-14 17:07:30,0,0
fly？,2023-02-13 16:51:57,0,0
“不可能错，我的肯定对了，你不懂”,2023-02-11 07:54:43,0,0
达摩院里，扫地僧是神一般的存在。,2023-02-06 03:30:15,0,0
别当真[吃瓜][吃瓜][吃瓜][吃瓜],2023-02-05 15:12:59,0,0
404是路径错误，挺好找的啊,2023-02-02 11:35:24,0,0
[doge][doge][doge],2023-02-15 05:20:59,0,0
只是段子哈,2023-02-15 05:21:45,0,0
啥？,2023-02-14 05:13:56,0,0
[疑惑][疑惑][疑惑],2023-02-11 08:22:56,0,0
小说里的大佬,2023-02-06 05:46:54,0,0
哈哈哈,2023-02-06 05:46:30,0,0
404是资源没找到，也包括路径错误，哈哈哈 你还是你懂,2023-02-02 14:57:00,0,0
