评论,时间,点赞数,标签
x浏览器，kiwi，洋葱浏览器，都能添加脚本,2022-07-06 14:11:30,1,0
问题是大多数的脚本都没有做移动端适配，尝试过，根本不好用，而且其实也没那个必要,2022-07-04 16:59:19,1,0
"油猴。。。油猴。。。呦侯。。。
呦吼！呦吼呦吼呦吼！呦吼吼吼吼！",2022-07-03 11:38:09,3,0
这脚本能和PC网页上的比？,2022-07-03 09:39:34,2,0
via浏览器，首先把默认搜索引擎改了,2022-07-03 07:28:45,2,0
这tm就是个浏览器,2022-07-03 06:41:06,1,0
"firefox nightly通过拓展集可以安装tampermonkey(也就是脚本管理器),比这个浏览器要好很多。而且可以安装其他拓展。",2022-07-02 14:30:26,2,0
都不如电脑,2022-07-02 01:09:15,3,0
确实是，现在基本上没有什么弹窗广告了,2022-07-01 00:27:47,2,0
还是习惯用X，屏蔽广告真的太好了，via和其他的我都试了，x是屏蔽最彻底的,2022-06-30 23:41:56,3,0
推荐网梭浏览器（webshuttle），真正可以上网的浏览器。虽然我日常都用Via。,2022-06-30 23:29:43,1,0
推荐狐猴浏览器[doge],2022-06-30 14:26:02,1,0
safari足够好用,2022-06-30 02:04:36,2,0
请问 油猴到底是什么东西？,2022-06-28 11:44:23,1,0
kiwi也行,2022-06-28 02:30:30,2,0
好是好，就是要特别注意手机安全。最好用备用机。,2022-06-28 00:23:47,4,0
地球书签浏览器就可以用,2022-06-28 00:22:51,1,0
kiwi yandex表示很赞,2022-06-27 20:40:33,1,0
没病毒吧,2022-06-27 09:50:22,2,0
这应该不是官方出的APP吧,2022-06-27 03:04:53,3,0
改成什么呢,2022-07-06 14:22:54,0,0
回复 @Y51O :默认谷歌，改成啥都行，我改的必应,2022-07-07 00:35:52,1,0
x浏览器不稳定，选项不少，功能不全，[大哭][大哭],2022-07-02 08:08:02,0,0
回复 @徽芳 :我只用来看小说，所以只要它屏蔽广告强就行了[原神_欸嘿],2022-07-02 09:08:06,0,0
x最强的是网址留驻，比via强很多，via是极致简洁  x是我用过除了Chrome第二个能留住网址的，我也不知道是设置的问题，大部分的这些浏览器它都不能留住你的网址杀后台再次进入之后基本上都会重进，一般浏览器都会直接清除网址  重新输入才行x和chrome都会都会保留网址，包括增加的。Chrome必须得用加速器才好点  x可以直接使用，单凭这一点，我觉得基本比重和一款浏览器都强,2022-07-16 16:46:22,1,0
开启新世界的钥匙，电脑小白的潘多拉魔盒捏[星星眼],2022-06-30 19:33:52,2,0
几个视频vip破解，腾讯爱奇艺优酷等，广告拦截，加速跳广告，30秒广告2秒就结束了，我研究外国文学也需要,2022-07-14 06:07:36,0,0
回复 @澹台3020 :kiwi是挺折腾，浏览器导入脚本还得需要开启开发者选项。脚本文件下到手机里，还得用文件导入。默认搜索引擎没有百度，只有外网。还得去开发者选项里改去。[吃瓜]有些只在电脑脚本支持但是手机脚本不支持的，还得去专门的工具转换脚本代码才能用，现在kiwi就是开发版的Chrome，但是折腾好了是挺爽的。[doge],2022-06-28 10:22:48,1,0
回复 @會炎拳的鏈鋸人 :搜索引擎有bing，谁还用百毒。电脑上能装的kiwi没有不能装的,2022-06-28 16:52:21,0,0
这个不好说，大公司也是各种信息窃取，这种软件就更说不定了。,2022-06-30 23:29:46,1,0
是的,2022-06-29 14:32:32,0,0
给公众号引流一律拉黑,2022-11-27 02:15:47,21,0
直接在各大应用商店搜油猴就完了，为什么要关注你这公众号？,2022-12-11 14:32:23,12,0
回复 @月面风 :怎么拉黑,2023-01-16 07:32:16,0,0
给公众号引流一律拉黑,2022-11-27 02:15:47,21,0
直接在各大应用商店搜油猴就完了，为什么要关注你这公众号？,2022-12-11 14:32:23,12,0
回复 @月面风 :怎么拉黑,2023-01-16 07:32:16,0,0
