评论,时间,点赞数,标签
"微软：用户觉得这样设计用起来很舒服，所以我们要把它改的巨阴间
微软：用户觉得这样设计巨阴间，所以我们要保留并加大力度",2021-06-18 16:13:58,9,0
我估计11是真的不太行，为了防止直接发布11会和这次苹果的更新一样被喷死，于是提前放出一个取其糟粕的版本[doge],2021-06-18 02:15:22,9,0
草了我所有的程序都是通过磁贴启动的，就是为了保持桌面和任务栏的干净结果给我砍了[辣眼睛],2021-06-17 22:31:15,37,0
"四世同堂的UI
专精的广告页面。[无语]",2021-06-17 13:33:08,50,0
套壳怪，从7开始套，远古时期和近现代的叠加[doge],2021-06-17 12:27:57,9,0
微软现在主攻企业云计算，卖订阅服务，windows bug多其实不奇怪，起码测试人员少了。现在的windows测试就像beta版，普通用户的版本就像RC版，server才是最终的GA版本。,2021-06-17 12:27:00,46,0
4：48,2021-06-17 12:17:13,9,0
UI界面就是Windows12也不可能统一的,2021-06-17 11:49:49,31,0
"xp到win7在到win10在到win11
方形 到 圆形 再到 方形 最后回到圆形
？？？",2021-06-26 08:50:14,8,0
"这个东西好用吗，砍了
这个东西不好用吗，我们将一直保留下去
你们认为我们会按常理出牌按顺序出下一代产品，诶就是玩
你们认为我们不会再继续出的东西，诶它又来了",2021-06-18 01:08:46,28,0
windows11吧主狂喜[doge][doge][doge],2021-06-17 23:09:33,30,0
我想要那个窗口动画2333我还是更喜欢现在的扁平化[吃瓜],2021-06-17 11:59:20,8,0
结尾 真的让我有那个感觉,2021-06-17 11:52:30,8,0
这不是win10x吗？那个专为触控屏单独研发的一个版本……咋套壳成11了,2021-06-17 18:03:27,31,0
问个比较小白的问题。手机厂商都有自己的系统（没比较抠这个字眼），为啥电脑厂商没有？,2021-06-17 13:13:15,15,0
如果真出这种11，外国版会怎么样不知道，但我们这以后负一屏小组件啥得可能都是流氓软件垃圾广告得地盘了，装啥软件一个勾没去掉然后这类地方就会出现点鸡就送屠龙宝刀这种东西,2021-06-17 17:49:23,30,0
"那我100%不會選擇win11了
磁貼其實就是另一種形式的桌面，因為我所有的操作都是用磁貼來完成的，根本不用桌面的我，所以說win11這個操作不是相當於把我頭給砍了？？我還怎麼愉快的用電腦？",2021-06-27 13:04:35,19,0
现在win10天天老更新弄的我都想吐，右下角还多了个win10原生个滚动广告，怎么都去不掉，还都是美国新闻[难过],2021-06-19 08:47:19,7,0
各种地方变了，但是有些界面还是老样子，至于圆角还是直角好看这看个人审美。任务栏也可以让你选择位置，不是强制居中。最大改变是开始菜单变了磁贴消失，现在类似mac和安卓上的应用二级菜单，这样桌面可以清空只用来放文件。中文日文微软输入法无法安装要自己第三方，系统界面汉化不足，lol炸弹人装甲战争无法进战局，steam游戏应该没问题，永劫无双demo可以进，感觉11更流畅了，不知道是不是错觉。这几天下来的感受，建议有游戏需求和不想折腾的等正式版，我现在已经戒游戏了[doge],2021-06-17 16:07:03,7,0
"98:good；me：shit；
xp：good；vista：shit；
7:good；8:shit；
10:good；11:？？？",2021-06-17 15:48:19,7,0
只是把磁铁变成了小图标，并不影响你保持桌面整洁。。,2021-06-18 02:23:56,3,0
开始菜单可以换回win10样式,2021-06-18 04:42:24,2,0
回复 @凄然待你一眼回眸 :他指的桌面整洁是指桌面就只有壁纸,2021-06-27 01:09:02,1,0
微软以前有专门的测试部，现在没有了，各位都是微软的工具人，好一点的电脑看不出，差一点的电脑经常启动硬盘百分百，一看任务管理器就是微软在自己更新东西，小更新根本不询问用户，用户就是小白鼠，还有一帮小白鼠帮洗白。,2021-06-30 13:52:38,4,0
微软现在船大难调头，其实也能理解。,2021-06-17 12:32:49,3,0
回复 @九龙小天赐 :ltsx也蛮好的,2021-06-20 07:47:46,0,0
自信点，Windows2077时候怕是还有win98的图标在里面[doge],2021-06-18 23:32:29,7,0
回复 @nahmsajks1941 :自信点，把2077改成2098[doge],2021-06-20 06:39:05,0,0
前面两条，嗯，从WP8开始的传统艺能了。,2021-06-18 15:52:41,0,0
从棺材里爬出来,2021-06-25 09:26:07,0,0
扁平化好看。。这ui改的，一言难尽,2021-06-17 12:51:32,2,0
"回复 @RalphR :砍掉了 X
套壳 √
[doge]",2021-06-19 05:38:13,3,0
win10x砍掉了[狗子],2021-06-19 00:22:04,0,0
手机厂商底层还是安卓，本质上一家独大没啥区别，唯一的区别就是Windows市场份额大的多，系统代码也多得多，微软自己都不一定能整明白干啥用的，其实Windows一家独大也不一定是坏事，提高了门槛，让垃圾品牌进不来，不像手机，是个东西换个ui就能做系统，还给你塞一堆广告，内置应用，简洁 清算 兼容 才是我喜欢的Windows,2021-06-17 13:40:45,39,0
Win10垄断啊[吃瓜]正版的多贵又不是不知道，又不像安卓那样免费,2021-06-17 13:27:25,15,0
