评论,时间,点赞数,标签
竖屏不能长按3倍速，差评[傲娇],2022-07-31 14:02:58,8,0
最难受的是没有完全去除这个功能的方法,2022-07-31 10:59:07,17,0
我直接把竖屏关了一点都不方便，还是原来的样子好,2022-07-31 03:38:52,8,0
竖版视频的质量不如横版视频，另外，iOS美版b站不支持刷竖版视频[doge],2022-07-30 22:34:05,8,0
play版B站好像不怎么推竖屏[嗑瓜子],2022-07-30 15:47:37,8,0
竖屏操作很难受，而且一股dy味儿。,2022-07-31 10:37:43,16,0
说实话，希望有竖屏模式开关，这样不喜欢的可以关掉,2022-08-11 13:57:48,7,0
我已经因为竖屏误触被吃了好几个币了,2022-08-01 15:51:39,16,0
"关键tube都有短视频了
你觉得叔叔能不想想短视频吗[doge]",2022-08-01 09:59:22,7,0
"竖屏的内容同质化
我上个星期看的竖屏的内容
这个星期我在我兄弟旁边看,除了他的竖屏内容里面有英雄联盟,我的竖屏里面有明日方舟  
其他内容都差不多 感觉都是搬运过来的",2022-08-01 08:14:42,7,0
我用国际版，没有那些花里胡哨,2022-08-01 00:32:51,7,0
竖屏的就是平台喂给你的，管你喜不喜欢，强塞给你，横屏的话可以根据自己的兴趣爱好，不想看的可以直接不看,2022-07-31 08:21:01,16,0
支持把竖屏取消，真正超过10分钟的长视频已经很少了,2022-07-31 04:34:58,16,0
对，像抖音一样恶心,2022-07-31 01:59:37,7,0
其他的都还好。但是那个长按倍数快进，这个移掉是真的有点难受。[保卫萝卜_哭哭][保卫萝卜_哭哭],2022-07-31 01:07:25,16,0
确实，现在几乎每个视频下面都有一个竖屏模式，包括此视频,2022-07-31 00:44:41,16,0
竖屏模式看横屏视频又不能用横屏的操作逻辑，这是哪个天才设计师弄的[辣眼睛],2022-07-30 17:51:00,7,0
我不玩抖音就是因为它是竖屏,2022-07-30 16:39:51,15,0
学学这个学学那个，结果什么都没学好[微笑],2022-08-03 13:18:11,6,0
我的首页已经没有竖屏模式了，所有能关的都关了,2022-08-02 03:04:13,6,0
好像能，长按点赞三连,2022-08-14 23:59:07,0,0
漫游版了解一下[OK],2022-08-24 09:24:06,0,0
其实把B站降级就好了,2022-08-18 01:54:49,0,0
回复 @苡祀和幕廓 :B站也分离过吧，轻视频，可惜停止运行了,2022-08-10 21:50:40,0,0
我现在用港版也没有[脱单doge],2022-07-31 00:36:24,0,0
我没更新，永远不会有,2022-07-30 19:30:27,1,0
我这边还是偶尔有的，版本是3.12.1,2022-08-10 04:18:38,0,0
我甚至play版都不更新，还是老版本好用[笑哭],2022-08-02 02:15:27,0,0
有短视频可以，但别随机切换视频啊,2022-08-10 04:08:36,0,0
这就是我讨厌竖屏的原因,2022-07-31 08:21:13,3,0
"回复 @Brief-rf :和你一样，这也是我讨厌竖屏的最大理由。帮用户做选择，不留余地，这叫什么？
去一个餐馆，刚坐下，老板就把随机的菜端上来了[笑哭]我不吃这菜啊！",2022-08-10 04:17:46,1,0
完了，我现在发现白色的bilibili也有竖屏的了[辣眼睛],2022-08-09 08:04:10,1,0
回复 @实时 :超过10分的都少,2022-08-12 02:36:44,0,0
10分钟都算长吗,2022-08-03 07:44:17,0,0
大家都一样烂，有什么可争的,2022-08-01 15:20:48,1,0
回复 @昵称违规414 :之前还好,2022-08-14 02:42:29,0,0
回复 @昵称违规414 :一个是烂。一个烂之前还要给自己树牌坊[吃瓜],2022-08-12 15:04:35,0,0
对！,2022-07-31 01:08:44,0,0
5.58版本表示不服[doge],2022-08-04 01:33:33,1,0
来自美区哔哩哔哩的我表示根本没有竖屏视频广告[doge],2022-07-31 01:47:54,0,0
轻视频团队,2022-08-01 17:40:42,0,0
回复 @今天也很菜_ :去播放设置里弄，现在最新版本好多东西都设置不了了，所以我都是几个版本的一起用的。左上角最新版本是没办法关掉的,2022-08-02 11:46:05,1,0
回复 @今天也很菜_ :国际版没有,2022-08-05 02:50:43,0,0
回复 @中二泷 :好哒!感谢!![脱单doge],2022-08-03 08:51:26,0,0
