评论,时间,点赞数,标签
感谢支持华为！！！,2021-06-08 00:24:39,2,0
不是 你们公司干嘛的啊[喜极而泣][喜极而泣],2021-06-06 05:30:25,2,0
你的PDF真好用[吃瓜][吃瓜],2021-06-05 17:01:10,2,0
看来用冰箱或者电饭煲剪视频的时代不会太远了[星星眼][星星眼][星星眼],2021-06-05 01:36:08,11,0
有越多的的商家和用户使用鸿蒙操作系统，她完善的就会越来越快。,2021-06-05 00:26:31,8,0
[OK]未来一定是鸿蒙的天下的，干翻iOS！,2021-06-04 17:05:11,6,0
国产软件公司加油！希望万兴借此机会冲破一些国外软件的垄断，开拓市场！,2021-06-04 14:35:32,2,0
万兴其实非常好用，但是就连导出视频都要会员。。。,2021-06-04 10:48:01,2,0
国产加油[打call],2021-06-04 08:46:50,5,0
为啥下载之后登录不了？试了几次都说我验证码错误[疑惑],2021-06-04 08:20:44,2,0
万兴神剪手[doge][doge][doge],2021-06-04 07:15:52,2,0
剪视频有片头吗？,2021-06-04 07:09:37,2,0
干翻lumafushion,2021-06-04 05:31:47,8,0
谢谢您奋战在一线,2021-06-04 04:52:36,9,0
有公司适配就行，真的是松了一口气，谢谢,2021-06-04 03:50:22,5,0
万兴呃呃的产品用着感觉挺不错的。对于业余用户偶尔一用的话还是感觉有点贵[笑哭],2021-06-04 03:52:05,2,0
最惨官方[笑哭],2021-06-03 23:50:57,11,0
"美厨做新美食有些人尝了说好
中厨做新美食有些人不尝直说不好",2021-06-13 14:16:45,5,0
虽然很支持，但是我讨厌预装，不是自己主动安装的我一般都会想法删掉，HarmonyOS也不例外[捂脸],2021-06-23 05:28:06,3,0
国内做专业剪辑软件第一,2021-06-07 11:59:49,0,0
没钱加入鸿蒙，我是穷逼[捂眼],2021-06-05 15:17:53,0,0
感谢亲亲的支持吖[给心心][给心心]悄咪咪地说一句：往后看看哦~~,2021-06-08 03:02:08,0,0
是的我也这样[doge]可能是怕用户太多吧,2021-06-04 08:47:59,0,0
免费版无片头，有水印。付费订阅就好了,2021-06-07 12:01:32,0,0
所以我破解版pr[笑哭],2021-06-06 02:30:57,0,0
冷知识：鸿蒙系统是预装软件[doge],2021-06-24 01:42:09,1,0
