评论,时间,点赞数,标签
有几个跟八年有关的？甚至是这两年才有的，我第一次在热搜看到这种视频[疑惑],2022-04-27 17:02:23,34,0
学习区是得付费充值的，充值了平台就会高额抽成，所以你们知道为什么这个视频能被上热搜吧？,2022-04-27 16:46:14,19,0
你所热爱的，就是你的生活[doge],2022-04-27 16:02:44,19,0
我的评价是大会员没任何用，谁用谁知道[呲牙],2022-04-27 15:49:48,19,0
你在b站，发现一个不喜欢的视频，你居然可以选择不看它！！！,2022-04-27 06:15:43,17,0
疑眼顶真，鉴定为压热搜,2022-04-27 15:41:46,49,0
这种视频也配上热搜，你b真的是烂完了,2022-04-28 03:36:35,27,0
视频为什么能上热搜？肯定是因为优秀的质量，毕竟你所热爱的，就是你的生活[给心心],2022-04-28 01:23:16,33,0
哈哈，丁真是吧,2022-04-27 16:02:48,18,0
隐藏功能：指把番隐藏起来，放出来的疯狂删改,2022-04-27 15:45:20,28,0
我想知道有没有屏蔽某些UP的功能，不喜欢还一直推送,2022-04-27 08:10:26,18,0
好水的视频。。,2022-04-27 07:20:09,21,0
现在番都买不齐，买了也不能按时上，还买个锤锤的大会员[笑],2022-04-27 19:25:38,23,0
直接给个踩好吧，这都能上热搜怕不是给啥事件挡刀来着的,2022-04-27 18:15:41,23,0
没有活可以咬打火机,2022-04-27 17:34:26,17,0
有没有一种可能啊，它最开始是二次元起家的哦，现在科普评价一堆，动画内容都不提了是吧，时代的眼泪了,2022-04-27 13:13:05,17,0
这种烂东西都能上热搜，看来我的大会员不用续了,2022-04-27 17:53:03,63,0
烂中烂,2022-04-27 17:17:59,20,0
哦吼，第一条视频就热搜第一，以后啥样我连想都不敢想。,2022-04-27 17:00:25,19,0
我干嘛听一个2级号瞎叨叨[tv_白眼],2022-04-27 17:30:51,20,0
喜欢我基本停止更新的小黑屋吗，往下划划还能翻到朴秀被封的那条🤣,2022-04-27 18:10:51,0,0
懂的都懂,2022-04-27 16:48:45,1,0
🍒,2022-04-27 16:04:19,0,0
[doge],2022-04-27 16:02:57,0,0
没开大会员都想看，开了大会员什么都不想看或者不知道看什么或者想看的限免了[抠鼻],2022-04-27 18:11:44,2,0
也就看看4k视频了,2022-05-12 02:28:11,0,0
回复 @是空气中的尘埃 :确实 但是想看的都看完了 🌝,2022-05-04 10:49:26,0,0
这也太难发现了吧[doge],2022-04-27 06:16:25,2,0
回复 @李大可爱玩 :一边看自己的视频，一边回复评论区，up主也太屑了,2022-04-27 06:17:38,1,0
要挣钱罢了。不设置成热搜你怎么去付费学习区？不去学习区充值，阿B怎么拿抽成？没人去学习区充值，阿b不赔了吗？,2022-04-27 16:49:36,2,0
评论区啥情况，魔怔人吗？我7年老用户，确实有些新功能不知道，看视频图个乐子罢了，b站这几年风气一直走下坡路，你们在这阴阳怪气有什么用？,2022-04-28 05:43:19,1,0
疑眼顶真，热评密码,2022-04-27 16:42:39,1,0
晋元帝去年亏68e，今年争取亏100e+开始走破产程序😋,2022-04-28 08:19:22,2,0
大环境是这样的，叔叔花钱买的番放不了他比我着急。但是叔叔是厚道的，这个季度在海的那边买了不少番，可以游过去看一看,2022-04-27 16:23:47,5,0
现在国内大环境是这样的,2022-04-27 17:43:13,2,0
播不出来叔叔比我们都急[泠鸢yousa_滑稽],2022-04-27 16:30:17,2,0
回复 @iF丶o :其实没啥用，还是会一直推，哪怕拉黑了都没用，首页还会出现，我之前把观网拉黑了，结果它还是出现在我首页[捂脸],2022-04-27 08:20:09,4,0
拉进黑名单就行了,2022-04-27 15:04:01,0,0
哔哩哔哩Play版，至少能少点,2022-04-27 08:26:59,0,0
回复 @李大可爱玩 :加油加油,2022-04-27 15:02:43,0,0
下次争取做出更好的视频,2022-04-27 08:59:45,0,0
回复 @白糖薇睿曼珠智 :要不是图个弹幕气氛，谁特么在这看啊，外面免费看画质都比这好得多，夸b站几句就真飞了，这不让看那不让看，这和谐那和谐[无语],2022-04-27 19:48:15,1,0
回复 @今天兵长长高了吗 :海的那边才是阵地[doge],2022-04-29 10:03:00,0,0
还不如去海的那边[无语],2022-04-29 09:50:00,0,0
这你就不懂了吧，一般有这种玩意上热搜代表着有什么东西正被压热度,2022-04-27 17:54:07,17,0
回复 @qazcer :现在这个时间可能是同济吧,2022-04-27 18:16:48,2,0
回复 @kitsch00 :什么东西，能私信请教一下吗,2022-04-27 17:54:36,1,0
蹭饭挑战已经不能上热搜了吗 樱桃真的 我哭死,2022-04-27 17:08:05,2,0
我一个3年用户都全知道还8年都不知道，标题党牛[tv_发财][tv_发财],2022-04-27 17:34:51,3,0
要不要调查一下lv6硬核会员对b站的用户满意度🤗,2022-04-28 03:45:03,148,0
回复 @永遠フレンズ :你也太狠了吧，,2022-04-28 09:11:32,17,0
要不要调查一下lv6硬核会员对b站的用户满意度🤗,2022-04-28 03:45:03,148,0
回复 @永遠フレンズ :你也太狠了吧，,2022-04-28 09:11:32,17,0
