评论,时间,点赞数,标签
02:12 这个主屏幕壁纸有没有名字[跪了],2023-01-25 14:40:59,9,0
可是惜移动端只有安卓才有，IOS用户落泪[2023拜年纪_落泪],2023-01-25 08:16:48,28,0
对于这种视频，我只能说，大家没得看了就找你😌,2023-01-28 08:03:07,7,0
所以说原神全员phothon那个壁纸叫什么[脱单doge][脱单doge],2023-01-26 06:01:20,7,0
用资源管理器打开才是好用的打开方式。想传手机，直接在资源器打开时把文件拉出来，通过qq或其他方法，文件移动就是了，根本不需要再下个手机端。,2023-01-25 15:42:12,26,0
对3D视频无感，wallpaper就是3D爱好者的天堂，可对我这种玩家一点感觉都没,2023-01-26 04:26:01,25,0
[脱单doge]我算是知道了，为啥steam好友一到晚上好几个人都是这个壁纸软件了，好家伙集团茵趴是吧,2023-02-16 19:02:19,23,0
后面才知道可以快进，不行了，寸止失败[藏狐],2023-02-01 05:20:21,6,0
使用率最高的Steam软件没有之一[tv_doge],2023-01-26 09:17:08,22,0
我下了个wegame版本的 大怨种,2023-01-26 08:55:16,23,0
我壁纸引擎不知道为什么，有的时候就蒙上了一层白色的还有那个声音一卡一卡的服了。[捂脸]放首歌都不完整。,2023-01-26 02:53:48,6,0
手机端需要更新，还会有屏蔽之类的一系列问题，直接资源管理器打开然后复制到电脑或者手机上更方便，而且保存到本地后还能完美解决视频不能快进的世纪难题[doge],2023-01-25 17:14:18,6,0
有没有老哥懂的，现在是不是霓虹的片子都没有了，我只能搜到3d和2d的动漫,2023-01-25 13:43:48,6,0
带着我的引擎走遍全网[doge],2023-01-27 08:25:22,22,0
不要让它火起来,2023-01-25 12:47:27,8,0
有大佬知道1：10这里是什么壁纸吗[打call],2023-01-25 15:23:22,21,0
这个叫什么啊[脱单doge],2023-01-29 14:14:36,7,0
其实会不会玩也没有太大关系，只要学会年龄分级，和订阅就好了[doge],2023-01-26 03:11:27,18,0
救命！壁纸存的多，steam占用一直都是三百多G，昨天晚上发现一下成了660G。我想了想这两天下载过一个《壁纸获取器》的壁纸，打开是一个插件，就是那种一个窗口，里面有代码的那种，一秒就没了。我没当回事。现在想着不知道是不是因为这玩意的原因[大哭],2023-01-31 05:13:51,17,0
如何快速的触发错误警告，想做steam成就,2023-01-25 16:25:11,5,0
插眼，我也想知道,2023-01-25 15:39:47,0,0
插个眼，有了踢我[抱拳],2023-01-25 16:12:18,0,0
蹲一下,2023-01-25 17:01:25,0,0
用互传，数据线连接电脑手机，然后在wallpaper里面，右键，资源管理器打开，把视频的那个文件拖到互传里就能传到手机[吃瓜]，iOS不知道能不能建议试试[吃瓜],2023-01-25 09:17:12,6,0
如果你是真的要壁纸当我没说[吃瓜],2023-01-25 09:17:50,1,0
回复 @折澜 :感谢你我要下回来试一下[doge],2023-01-25 11:44:41,0,0
@小张同学ztx,2023-01-26 06:01:39,0,0
动漫最多，还有一堆懂的都懂游戏,2023-01-26 09:19:28,0,0
还有真人1g视频哦[脱单doge][支持],2023-01-26 10:35:50,2,0
回复 @白嫖委员会 :全是动漫了，真人全没了,2023-01-26 18:05:06,0,0
主要是🦅啪没叫你是吧,2023-02-19 05:53:56,0,0
过滤器怎么打开呀[保卫萝卜_哭哭],2023-02-02 13:59:11,0,0
666,2023-01-26 09:03:27,0,0
能退款，我已经退了，买的steam版的[doge],2023-01-26 09:43:49,0,0
你是不是还有别的壁纸软件，这俩不能一起开的,2023-01-26 05:13:30,0,0
回复 @yeeeeee风 :不过我确实开了两个一个是engine还有一个是lively（￣▽￣）,2023-01-26 06:07:55,0,0
你是不是设屏幕上了,2023-02-27 14:42:43,0,0
这玩意就是壁纸软件啊，主打动漫视频的。,2023-01-25 13:49:25,0,0
回复 @窗台上的九里香 :那你太年轻了，以前可是啥都有的,2023-01-25 13:50:08,5,0
少了 没什么人上传了而且还容易封号,2023-01-25 13:57:30,3,0
这个使用时间......兄弟你的炮管还好吗？,2023-01-27 13:14:15,3,0
过滤器怎么打开呀[保卫萝卜_哭哭],2023-02-02 13:58:58,0,0
这个时长，开机默认开启壁纸平时经常玩电脑，也不奇怪[doge]要是没有开机默认打开，只有要看的时候才开，用完就退出的话用到这个时长，那绝对是忘者级别[笑哭],2023-02-10 02:09:46,1,0
直达:BV1Fe4y1s7aC,2023-01-25 15:38:34,1,0
回复 @幻殇无痕 :666,2023-01-25 17:10:48,1,0
好问，但没人说[doge],2023-02-13 02:02:09,0,0
回复 @穆清酱sama : 猫娘动态壁纸 Ver.211220,2023-02-13 13:08:14,1,0
我记得她叫桂[滑稽],2023-03-10 05:18:45,1,0
简明扼要的[doge],2023-01-27 18:46:27,0,0
一针见血的[doge],2023-02-07 04:31:22,0,0
非正常关机,2023-01-26 11:42:10,1,0
回复 @泪痕_tears :好的，去试试,2023-01-26 11:56:47,0,0
