评论,时间,点赞数,标签
其实吧，我就想问壁纸哪里下的[doge],2022-11-29 11:26:33,4,0
"推荐火绒，看广告弹窗的运行程序，直接定位或者使用任务管理器定位。

能卸载，删除就删。
不能就用火绒自带的强制删除文件删除这b",2022-11-27 09:27:05,20,0
"你是否不要不下载这些软件？
是/否",2022-11-27 07:10:38,22,0
下载了2345只能格式化了[妙啊],2022-11-27 06:16:11,4,0
自从之前不小心下了个2345，桌面就时不时多一些奇怪的图标，各路杀毒软件检测软件都试过了就是杀不干净。一气之下下了个360绿色版，一个全盘扫描十分钟全给弄干净了，舒服,2022-11-27 00:20:02,21,0
我直接把电脑卖了[吃瓜],2022-11-26 07:41:36,24,0
为什么声音变了，再也不是之前的那个阿飞了[doge][doge][doge],2022-11-26 02:08:31,29,0
能够干掉流氓软件的一定是流氓软件。[偷笑],2022-11-27 08:39:35,20,0
"小白必备电脑软件：
P2P下载器，小鸟壁纸，鲁大师，鲁大师温度监控，360浏览器，360游戏大厅，安全组件-2345，2345浏览器，手机模拟大师，PDF转换器，海螺桌面，金山杀毒，极速输入法，易极数据恢复，讯读PDF转换器，香蕉阅读，密齿私人文件柜，飞压，云上压缩，即刻玩游戏盒，万能压缩，快压，豌豆搜索，迷你新闻，热点新闻，讯读PDF大师，海螺桌面",2022-12-03 11:46:00,9,0
这种视频多了去了，就连视频内容都是一样的，严重怀疑你们是不是有通稿,2022-12-01 14:00:56,19,0
360哪流氓了，用这么多年没觉得啊。自己不会设置，或者就是懒，那怪得了谁。,2022-11-27 04:24:28,39,0
开微软的防火墙就行[doge],2022-11-26 02:02:09,3,0
"这可能是全站最全的清除手段了！


给大家推荐几种，将流氓软件连根拔起的方法过程简单，小白也能轻易学会
 
(*＾-＾*)
❀❀❀❀❀❀❀❀❀
第一  定...",2022-12-01 02:18:38,6,0
话说up视频开头的投票是不是也算弹窗广告？,2022-12-01 09:05:40,13,0
需要DDS安装包和CE修改器下载私聊我,2022-12-01 04:53:54,2,0
我的推荐 火绒 还算不错,2022-12-01 02:32:43,2,0
重装，电脑能被搞成这样子的人，能有什么重要文件不能备份？,2022-12-01 01:32:53,2,0
说实话，比起装乱七八糟的所谓安全管家，不如老老实实学习怎么用操作系统，正常的使用压根儿没有弹窗，究竟怎么来的，还得思考一下。,2022-11-30 21:58:21,2,0
"面对2345和360新手最好的办法：打开控制面板，选卸载应用,直接卸载(win7)，win10就设置，找到应用卸载,保证删的干干净净的[doge]",2022-11-28 10:37:03,12,0
up说的三个软件我全都有唉[doge],2022-11-27 06:07:26,2,0
不行我妈的电脑火绒已经压不住了，只能上360，流氓还得流氓来治,2022-12-01 00:20:33,2,0
火绒属于装个心安的，360是防盗门，火绒就是个老式锁，真来贼挡不住,2022-12-01 01:43:29,1,0
回复 @光滴咖啡菌 :火绒主要还是防弹窗，杀毒这事还是要交给专业的,2022-12-01 14:09:30,0,0
2345老流氓，上次点错中了，各种清理完，最后来个卸载完成再见，你点了就真的半小时后就再见了，那真的是重装二十分钟，清理两小时，果断掏出U盘，DEIE按着不松手,2022-11-28 18:17:15,2,0
双重否定表肯定,2022-11-28 03:07:46,2,0
