评论,时间,点赞数,标签
建议说话声音小小点，我都能听到音乐啦,2022-05-13 04:37:17,8,0
激活了太棒了,2022-05-01 04:50:52,6,0
为啥我的显示是运行非核心版本的计算机上，不行呢，,2022-04-20 04:30:16,3,0
"白嫖方法;
1. 找到设置（win10&11）
2. 找到激活选项
3. 找到疑难解答
4. 在接下来的弹窗里选择“激活 Windows”
5. 等待系统帮我们激活。
6。 OK
（长期使用会再次出现没激活的现象，直接按上面的方法再来即可）",2022-12-11 10:49:27,5,0
激活成功感谢up主[脱单doge][脱单doge][脱单doge],2023-03-06 17:34:14,2,0
"产品密钥:
W269N-WFGWX-YVC9B-4J6C9-T83GX",2023-02-10 14:10:58,4,0
2023-1-3 亲测有效 感谢UP主，三连了[脱单doge][脱单doge],2023-01-03 16:19:39,2,0
大佬！2023年一月3日亲测能用,2023-01-03 11:23:54,2,0
错误，软件授权服务器报告无法激活计算机[囧],2022-12-09 13:55:02,2,0
我试了三天，每天都试几次，就是报错，错误0x80080005 服务器运行失败到底是因为什么[大哭],2022-11-22 16:13:49,2,0
2022.11.2有效,2022-11-02 14:50:47,2,0
十分感谢[打call]，网上一大堆乱七八糟的教程，弄半天激活不了，还不如up主的方法简单有效[打call],2022-10-19 07:19:22,2,0
10.19亲测有用,2022-10-19 02:57:39,2,0
2022.9.20   15:03   非常感谢up[脱单doge],2022-09-20 07:04:11,2,0
漏，我的为啥不行,2022-09-06 14:28:59,2,0
"成功了。谢了。
[脱单doge][脱单doge][脱单doge]",2022-08-13 02:15:10,2,0
这是什么原理呢[脱单doge],2022-08-02 08:05:27,4,0
电脑右下角突然多了个entersafe证书注册器-epass3003 的图标 这是激活的原因嘛？！这是啥 有大佬说下嘛 在线等啊！！！,2022-07-31 09:07:42,4,0
2022.7.30实测还能用，三连谢谢大佬，感觉原理好像是类似公司团购的那种不限量的激活，团体激活,2022-07-30 08:22:41,4,0
我擦，真激活了，跪谢楼主,2022-07-20 07:49:44,2,0
投币感谢,2022-05-22 07:46:18,1,0
现在不行了,2022-05-09 08:51:26,0,0
回复 @RE被注册了 : 可以啊，我刚弄完,2022-07-07 14:27:55,0,0
回复 @RE被注册了 :我刚弄好了[吃瓜],2022-08-29 14:14:59,2,0
嗯呢。我是家庭版,2022-04-20 04:54:58,0,0
我也是。,2022-04-22 15:43:07,0,0
win10专业版也没能激活成功,2022-11-07 12:48:18,1,0
并没用，电脑上还是显示转到设置以激活Windows[微笑],2022-12-27 13:44:36,0,0
"回复 @Kuki没吃药 : 哦，我明白了
哪个系统？听起来是win10",2022-12-27 23:58:35,0,0
感谢,2023-02-10 14:12:29,0,0
"slmgr /ckms
slmgr /ipk W269N-WFGWX-YVC9B-4J6C9-T83GX
slmgr /skms kms.03k.org
slmgr /ato",2023-02-11 15:50:30,0,0
感谢大佬,2023-03-01 05:18:17,1,0
我也是,2022-11-26 16:05:54,0,0
你弄好了吗？,2022-11-26 16:06:00,0,0
回复 @海346733 :没有，后来我找的密钥直接填的,2022-11-26 16:24:56,0,0
就按他这样弄就可以了吗，之前摆弄电脑坏了有点害怕,2022-08-13 03:05:47,0,0
回复 @从此不再伤感 :反正我家这个电脑用了很久了。本来就想换新的。[doge][doge],2022-08-13 03:36:31,0,0
我不行,2022-08-02 11:12:59,0,0
kms服务器激活，服务器随时查看你电脑,2022-08-16 12:52:26,1,0
回复 @颈部胸腔胃部 :这不就被偷窥了吗,2022-08-16 15:27:03,0,0
我最后是什么密钥什么的，你会不,2022-07-30 08:53:47,0,0
不用密钥，其实简介的第二串代码就是密钥,2022-07-30 10:02:31,0,0
我不行啊,2022-08-02 11:12:44,0,0
不行啊我,2022-08-02 11:12:35,0,0
非核心版本的计算机,2022-06-06 01:15:10,34,0
回复 @XxIoOo :我也是的，但是不管他继续输完就行了,2022-08-13 06:40:33,0,0
非核心版本的计算机,2022-06-06 01:15:10,34,0
回复 @XxIoOo :我也是的，但是不管他继续输完就行了,2022-08-13 06:40:33,0,0
