评论,时间,点赞数,标签
win11没有推送之前，我的电脑打电打游戏也只是占内存的百分之五六十，现在推送了没有升级，随便开一个Word文档到百分之八九十,2022-10-07 23:28:57,3,0
好用吗11？我现在用的10,2022-10-07 23:10:57,3,0
我就希望一点，任务栏图标给我展开。好在我的办公老古董还是WIN7。,2022-10-07 23:07:34,3,0
报告指挥室，我已安全返回win10，重复，我已安全返回win10[妙啊],2022-10-07 17:20:45,3,0
一直在用ltsc+office2016，就是不喜欢365全家桶,2022-10-07 16:01:56,7,0
"资源管理器多标签页、系统级别的实时字幕、更方便的窗口分屏、更多彩的输入法……微软的 Windows11 更新到了 22H2，你更了吗？
说明：多桌面的反馈感在笔记本上使用触控板是有的，但使用 Ctrl+Windows+方向键是没有的。",2022-10-07 14:41:57,3,0
"史诗级回滚！
而且还回滚得不彻底。
比如：那个语音控制，早在XP时代就用过了，那时候还支持中文语音控制的。",2022-10-07 14:24:02,9,0
打游戏就暂时别更22H2了。12700+3080 12g前天手欠又更了一次，驱动和系统都更到最新问题还是没解决，打个2042比之前降了20帧左右还时不时卡顿，其他有些游戏帧数也明显不稳定了。已经回退21H2了，可惜那个hdr校准的功能还挺不错的。[初音未来_无语],2022-10-07 14:05:16,8,0
9400用win11卡的一批，win11最好还是12代cpu用比较好,2022-10-07 13:38:27,6,0
我一路更新。越来越卡,2022-10-07 08:45:51,3,0
没啥新的用的dev频道的预览版,2022-10-07 06:09:52,3,0
更新完了，蓝牙没了[辣眼睛]昨天整了一晚上还崩溃一次，重新装系统装完蓝牙还是不能用[热][热][热],2022-10-07 05:16:38,7,0
"Win11稳定了我就更。
现在功能还在不断增加，但是不够稳定",2022-10-07 05:05:09,9,0
我需要win11 LTSC[脱单doge],2022-10-07 04:48:00,9,0
我 还是喜欢Windows10[tv_晕],2022-10-07 04:23:57,8,0
使用者win10系统，发挥着win7的功能，包括我,2022-10-07 04:14:48,6,0
22H2有smb性能影响，对我来说是很致命的bug，不修复不更新,2022-10-07 04:12:07,9,0
"主要是内存占用率太高了
matebook16s 焊死的16g内存，系统启动5个多g内存就没了[笑哭]",2022-10-07 09:31:34,7,0
第一天更新疯狂掉帧，第二天更新补丁好了一点，第三天又恢复了正常[热],2022-10-07 13:51:29,4,0
我想要自定义右键，现在自定义的都藏进右键的更多里了，右键后的快捷键也变少了 [思考],2022-10-07 07:57:34,5,0
难用,2022-10-08 00:54:15,1,0
回复 @lxwzzzc :哦,2022-10-08 08:38:54,0,0
收到收到[脱单doge],2022-10-09 02:49:08,0,0
office 2016特别经典,2022-10-08 14:48:50,0,0
实际上Win11 22H2仍然保留了旧版语音控制，只是你不知道而已[doge],2022-11-29 11:48:09,0,0
退回win10  关闭小核么[墨镜],2022-10-07 15:06:27,2,0
12代用win10体验如何,2022-10-08 01:55:51,0,0
我也暂时不更，一堆vc++和Direct要是重新弄的话，我可受不了[笑哭],2022-10-07 23:32:21,0,0
笔记本的话，建议上该品牌的官网看看有没有对应驱动。,2022-10-07 08:34:40,1,0
回复 @谁会不喜欢迈扣呢 :这我就不清楚了哎，我蓝牙没了的原因是驱动的原因，自己找了了一大堆驱动才好了，之前指纹 屏幕亮度 蓝牙 键盘背光都没有[无语],2022-12-23 06:55:53,0,0
我这边重新连接蓝牙耳机后会没声音[辣眼睛]注意是重新，第一次连接是没问题的，说明不是音频输出设置的问题[辣眼睛] 断开重连就好了，但再断开再连一次 或是换成另一个耳机 又没声音[辣眼睛],2022-12-23 06:18:56,0,0
回复 @火罗国厨师长 :还要等等,2023-01-10 18:58:25,0,0
哥们，现在22H2怎么样了，值得更新吗,2023-01-10 15:32:12,0,0
回复 @丶集中一点 :是的，主要是什么乱七八糟用不到的软件都没有，清爽干净简约,2022-10-08 03:01:04,1,0
估计要等很久，win10的ltsc太香了，开机内存占用才1.7G。系统c盘也小了很多。操作反应都非常快。,2022-10-07 21:24:55,1,0
还我磁贴！,2022-10-07 04:24:26,3,0
回复 @HeptaPeak :没磁贴简直太难用了。这种感觉就像当年7升8（不是8.1）的感觉，菜单需要适应，开机键也乱七八糟的，唉。。。,2022-10-07 04:41:32,2,0
回复 @凌寒___ :太难了,2022-10-12 23:30:23,1,0
我看新闻说到远程桌面有bug,2022-10-07 04:20:58,0,0
回复 @吟游诗人七实 :我更了之后PUBG一打开就闪退，给我整麻了,2022-10-08 17:20:26,0,0
回复 @喜欢恶魔的天使 :我LOL也是掉了近20帧，真的折磨[热],2022-10-08 13:27:15,0,0
回复 @永雏唐菲 :我也是，我英雄联盟锁144，更新后只有120多。,2022-10-08 01:30:36,0,0
Microsoft Store搜索Custom Context Menu,2022-10-07 09:25:05,0,0
+1,2022-10-07 07:58:22,0,0
其实整体运镜还算平稳，虽然观感稍差但也用心了，内容也没问题，个人并没觉得难受[来古-注意],2022-10-07 06:01:36,54,0
没看评论我都没注意是拍的...内容比观感重要。,2022-10-07 07:01:57,41,0
win10有能做到资源管理器多标签的拓展插件吗 很想用这个 但是真的不想升级win11啊[微笑],2022-10-07 08:29:53,4,0
其实整体运镜还算平稳，虽然观感稍差但也用心了，内容也没问题，个人并没觉得难受[来古-注意],2022-10-07 06:01:36,54,0
没看评论我都没注意是拍的...内容比观感重要。,2022-10-07 07:01:57,41,0
win10有能做到资源管理器多标签的拓展插件吗 很想用这个 但是真的不想升级win11啊[微笑],2022-10-07 08:29:53,4,0
