评论,时间,点赞数,标签
感谢老师的教程非常简单易懂，对我很有帮助，很多小细节特别到位，三连了[支持],2023-03-05 00:22:57,0,0
我记得用下载的镜像做启动盘，会碰到install.wim超过4g，fat32不支持的问题，rufus现在会自动解决这个么？,2023-01-04 01:02:21,0,0
谢谢，老师。,2022-12-04 23:46:19,0,0
老师，我想问一下，U盘启动可以选中U盘，但是在进入安装页面时下面加载圆圈转了两圈后卡住，也就是卡在logo了是什么原因[tv_难过],2022-12-27 03:27:46,0,0
是不是就想当重装系统阿 c盘文件记录都清空了,2022-12-18 06:16:57,0,0
这个是所有都格式吗,2023-03-17 07:15:24,0,0
up老师，我因为MySQL数据库安装的时候操作错误，结果用不了，要删干净再安装才能正常使用数据库。可是删不了，我想问问重装系统有用吗，很急，过几天上课需要用了,2023-02-25 17:29:32,0,0
可以的，u盘大于8G。,2023-01-04 01:10:46,0,0
这个可能是安装u盘有问题，可以将u盘格式化，再重新创建一次。,2022-12-27 04:32:03,1,0
回复 @Ma5老师 :不好意思老师，再打扰一下，就是我把这个U盘换到另一个笔记本上，它就可以正常进入安装系统界面，换回来就还是卡住，这是特地新买的U盘，还是一样的问题[tv_难过]这个卡住的笔记本也是去年才买的，配置都正常的,2022-12-27 06:18:06,0,0
全新安装，就会清空的。,2022-12-18 08:05:36,0,0
是的,2023-03-17 08:51:36,0,0
重装系统可以的。,2023-02-25 23:23:18,0,0
这个Rufus U盘创建了能恢复吗,2022-12-04 16:03:03,0,0
回复 @鱼-鱼捏 :恢复以前的数据吗？可能性很小的，估计文件被覆盖了。,2022-12-04 16:27:42,0,0
这装的系统还要激活吗？,2022-12-10 01:30:14,0,0
这个Rufus U盘创建了能恢复吗,2022-12-04 16:03:03,0,0
回复 @鱼-鱼捏 :恢复以前的数据吗？可能性很小的，估计文件被覆盖了。,2022-12-04 16:27:42,0,0
这装的系统还要激活吗？,2022-12-10 01:30:14,0,0
