评论,时间,点赞数,标签
感谢,2023-02-21 09:18:01,1,0
拖动进度条卡是怎么回事，跟机械硬盘有关吗？,2023-02-21 08:46:42,1,0
mpv yyds,2023-02-20 09:50:17,3,0
PotPlayer播放视频有点发白是怎么回事，滤镜和渲染试过好多种了，就是不如win默认播放器颜色鲜艳,2023-02-21 15:17:10,1,0
@瓶子君152 看最后一个,2023-02-20 16:17:44,1,0
用ahk脚本实现potplayer的长按右方向键倍速也挺方便的,2023-02-20 12:34:27,3,0
这个跟完美解码什么关系,2023-02-20 08:24:23,1,0
@我吃饱了啊喂 自动更新可以关掉的[给心心],2023-02-21 02:19:04,1,0
能看中央电视台吗？,2023-02-20 13:34:01,0,0
求一个下载地址,2023-02-20 12:48:56,0,0
你的推荐非常好用,2023-03-20 09:25:44,0,0
为什么我OBS录制的视频在potplayer上只播放了音轨3，没播放音轨2的声音，有大佬解释下吗[大哭],2023-03-20 13:13:46,0,0
小白问个问题，不显示视频缩略图怎么办,2023-03-18 05:48:23,0,0
这个隐藏看片功能是我想要的那个吗？,2023-02-20 11:36:30,2,0
倍帧，yyds,2023-03-16 04:22:06,0,0
有帮助，三连了,2023-03-13 10:20:15,0,0
"谢谢UP主分享，已经投币。
有两个问题请教：
1 播放器边缘部分会“抖动”不知道什么原因。
2 设置字幕时如果场景中出现字幕注解什么的，那个注解会出现在屏幕外面，以前是在最上面，怎么修改？
更新我到是没更新。因为每次更新后重新设置有点麻烦，没想到以后也要加广告……
记得暴风影音就是这么被遗忘……",2023-02-20 02:40:43,4,0
收藏了[妙啊],2023-03-12 05:25:19,0,0
smplayer+mplayer我觉得挺好用 比vlc用的舒服,2023-03-15 01:43:46,0,0
woc 拿哥,2023-03-11 02:23:10,0,0
完美解码整合了potplayer、两个mpc共三个播放器。,2023-02-20 09:24:24,1,0
好！[言和7th_小fafa],2023-02-21 05:26:11,0,0
只有有播放源，就能看，国外台都能看,2023-02-20 13:40:19,0,0
https://potplayer.daum.net/,2023-02-20 13:26:06,0,0
回复 @资源磁场 :好的谢谢up,2023-02-20 16:16:56,0,0
[脱单doge],2023-02-20 16:17:06,0,0
这两个问题听上去都像是bug，建议完全卸载后重装官网版本：https://potplayer.daum.net/,2023-02-20 13:27:33,0,0
回复 @资源磁场 :谢谢回复,2023-02-20 14:10:31,0,0
官方被扒出有广告后门的...还推荐,2023-02-21 08:53:07,53,0
继续下载微软的版本，虽然说不是特别好，但是可以有效减脂一些东西,2023-02-21 12:01:46,9,0
回复 @隔壁acer :细说后门,2023-02-21 14:37:06,3,0
官方被扒出有广告后门的...还推荐,2023-02-21 08:53:07,53,0
继续下载微软的版本，虽然说不是特别好，但是可以有效减脂一些东西,2023-02-21 12:01:46,9,0
回复 @隔壁acer :细说后门,2023-02-21 14:37:06,3,0
