评论,时间,点赞数,标签
姐妹们马上拿去提取小时代来配音，一起发烂发臭惹,2022-07-29 02:29:21,12,0
不是，可以把主音吉他从原曲中分离吗？,2022-08-05 06:45:37,6,0
"试了，效果确实厉害[点赞]
cpu和gpu速度差距真的大，同样曲子默认参数，12700f要1分49秒，3060只需要14秒。。。",2022-09-02 11:53:21,4,0
up主，这个软件提取人声后 ，会把背景音乐的人声一起提取出来，那背景音乐的人声与视频人声该怎么分离,2022-08-13 05:06:00,4,0
N卡音质好！[tv_doge],2022-07-28 11:45:39,4,0
up请问mac用户有办法下载嘛，手动安装完全看不懂阿……,2022-07-30 11:35:20,4,0
为什么一直找不到提取出来的文件啊[tv_大哭][tv_大哭],2023-03-11 13:58:46,2,0
up呀，请问这个软件是不是只适合提取那种真正的人声？我提取的是变形金刚的人声，背景音乐很干净，但是人声纯粹没有[笑哭]，您在视频中的通用教程（速成版）和软件中针对人声提取的图文教材我都试了，但都不行。我在想是不是那种有点合成的人声就不能提取呀？但是自个儿听着确实是人声也没多少电子音呀。[委屈],2023-03-01 04:21:36,2,0
是手机app吗？,2023-02-17 10:04:16,2,0
能去掉人声但保留和声和伴奏吗？,2023-02-13 19:18:56,2,0
"对那种既有人声还有bgm唱歌的会把唱歌的人声也提取出来[保卫萝卜_哭哭]
不知道有没有办法解决",2022-09-22 10:25:59,4,0
"UPUP
启动时显示缺少api-ms-win-core-path-l1-1-0-dll
这怎么办啊，是不是因为电脑是WIN7[脱单doge]",2022-08-16 05:49:05,4,0
只能去除人声吗？比如我录音里有鸭子叫有鸟叫，是否能清除掉鸭子叫鸟叫？如果只是清除人声也太局限啦....貌似AU可以做到选择音源清除...不过需要好好学习下才行,2022-08-12 09:13:23,4,0
一键三连可以吧,2022-08-12 01:23:39,2,0
有大佬能帮打包个macOS吗[大哭],2022-08-08 11:52:02,4,0
靠，123云盘那个链接里的EXE文件有特洛伊木马，一点下载WIN10就弹出病毒,2022-08-06 15:08:07,2,0
"UP主你好 这个软件提取伴奏是真的太牛B了.也是目前最牛B的软件了.
但是UP主 我想请教您一个问题 有些歌曲中有一些类似rap的文字说唱
比如成龙大哥的歌曲(醉拳)中间就有一段类似说唱的 我提取伴奏的时候 
如何保留这段说唱? 求指教.......",2022-08-03 13:56:12,2,0
音乐水印可以去除吗,2022-08-03 07:27:43,4,0
夸克网盘的文件没了[大哭][大哭],2022-08-01 01:35:48,2,0
为啥我电脑处理速度挺快的差不多两分钟就ok了,2022-07-30 23:40:53,4,0
这个不行，但有个叫“团子AI”的可以，但是收费,2022-08-05 15:09:31,3,0
回复 @痕继痕迹 :谢谢up，我去了解下，,2022-08-05 15:40:24,1,0
"回复 @痕继痕迹 :没有免费的软件吗？
鼓组都能提取但是吉他不行，这是歧视吉他吗。。。[笑哭][笑哭][笑哭]",2022-09-25 13:58:17,0,0
这个还不行,2022-08-13 06:53:44,1,0
不是音质好，是算起来快,2022-07-28 17:52:16,0,0
回复 @What_Damon :是cuda核心数多,2022-07-31 22:56:29,0,0
自己下源码呗,2022-07-31 04:23:50,1,0
咱先不说这软件能不能在Mac环境下运行，咱就说Mac这个机能还是算了吧,2022-09-14 10:54:17,2,0
回复 @沈楠风 :？怎么了,2022-09-15 03:36:13,0,0
可以点击“Select Output”右侧的文件夹图标，打开输出文件所在目录,2023-03-11 17:18:11,0,0
