评论,时间,点赞数,标签
我特么在此郑重告诉您09出生的您视频里说的全知道别00后00后了,2022-11-19 16:38:08,8,0
天天00后00后，00年初的我特么已经工作多久了[热],2023-02-24 07:30:49,2,0
其实说成10后更靠谱些，毕竟00后的范围太大了，像00~05后不了解QQ的基本都是少数人,2023-02-18 06:33:32,2,0
这个CatTuber亲测了，不值这个价，刚买的，玩了11分钟就申请退款了[辣眼睛][辣眼睛]，以上内容仅为个人观点,2022-12-21 10:41:10,2,0
没电脑……全剧终！[doge],2022-12-13 08:37:43,3,0
啥也不说了，见叶进[热词系列_三连],2022-12-12 09:30:07,2,0
谁会拒绝一只可爱的熊猫当桌宠呢[脱单doge],2022-12-08 01:43:24,5,0
这文案越想越气，从桌面端回来手机点个踩再走[呆]文案怎么想的，q宠不就是给我们95，00后玩的吗？真当00后还不能上网掌握话语权吗？搞的我们好像一天天没见过世面一样[呆],2022-12-02 12:26:27,5,0
说错一句话，让人唠一辈子,2022-12-01 17:13:26,2,0
这个其实是80 90后比较陌生，毕竟那时候我们很忙。我只记得每次QQ版本更新以后都会出来一只企鹅。而我做的第一件事就是看看怎么把它关掉，第二件事就是怎么让它不再出来。。老子有论文要写，没时间鸟这玩意儿,2022-11-24 17:52:02,4,0
"来个8090后才懂的笑话。
老公某日下班回家，走到家门口，忽然听到家中有男人打呼噜的声音，瞬间思绪万千，一咬牙，与妻子不辞而别。不久，二人再次相遇，妻子哭诉：为何不辞而别？男人质问家中的呼噜声。妻子怒：那TM是瑞星杀毒软件！！[doge]",2022-11-22 07:53:35,2,0
"80后觉的90后是废掉的一代
90后觉的00后是没有情怀的一代[热词系列_知识增加]",2022-11-22 00:05:49,7,0
什么00后，你应该说20后[doge],2022-11-21 05:51:10,9,0
CatTuber 购买后 才发现 没有猫咪桌宠,2022-11-20 08:37:37,2,0
steam上有个lost find，二刺螈桌宠，本质是个游戏，还可以涩涩，就是有点占内存,2022-11-20 06:41:44,2,0
2345看图王你们必须整一个[妙啊],2022-11-20 02:03:23,2,0
你币没了[藏狐],2022-11-20 01:24:32,5,0
俩币给了，QQ宠物真的很怀念[委屈],2022-11-18 16:10:09,7,0
我是雷电将军的狗∪･ω･∪,2023-02-19 10:15:23,1,0
一起打开[脱单doge],2023-01-11 08:32:46,1,0
还是EA阶段的，EA的我现在一般不买，不知道作者能不能最终完成,2023-01-16 23:20:44,1,0
寄,2022-12-13 08:51:40,0,0
就你喜欢熊猫烧香是吧[脱单doge],2023-01-05 07:08:54,2,0
小事，没必要这么生气。人呐，都是年轻的时候不喜欢别人说自己年轻，别人说自己年纪小就气急败坏。而当自己年纪大了，却反过来希望别人说自己年轻，谁要是说我老，我就跟谁急。[OK],2023-01-16 23:06:50,0,0
回复 @oCCFANo :[呆]结尾就是强行升华根本不过脑子,2023-01-17 04:31:29,0,0
没有90后是泡在蜜罐里的一代，我是不认可的,2022-11-22 03:09:49,2,0
瞬间想起 了之前其他游戏存在“夹私”的现象，我还是算了。现在我看任何这类的开发者，都带着怀疑的态度。,2023-01-16 22:17:55,0,0
整了个破解版,2022-12-12 00:54:02,0,0
[委屈],2022-11-20 13:13:15,0,0
课代表竟是我自己[傲娇][傲娇][傲娇][傲娇],2022-11-18 03:10:20,127,0
回复 @雷鸭Fist :时间中间的点改成冒号的话会直接跳转到视频对应时间段的[打call]（被封面万叶吸引进来并乐呵呵抱走了链接，感谢up）,2022-11-20 23:32:39,43,0
课代表竟是我自己[傲娇][傲娇][傲娇][傲娇],2022-11-18 03:10:20,127,0
回复 @雷鸭Fist :时间中间的点改成冒号的话会直接跳转到视频对应时间段的[打call]（被封面万叶吸引进来并乐呵呵抱走了链接，感谢up）,2022-11-20 23:32:39,43,0
